holder,shares,dateReported,change
"Bank Julius Baer & Co. Ltd, Zurich",2132,2025-09-30,-5095
"Toroso Investments, LLC",2118,2025-09-30,261
"Metis Global Partners, LLC",2078,2025-09-30,-100
Legato Capital Management LLC,2050,2025-09-30,0
Atlantic Union Bankshares Corp,2030,2025-09-30,-141
MIRABELLA FINANCIAL SERVICES LLP,2028,2025-09-30,1249
STIFEL FINANCIAL CORP,2009,2025-09-30,-46
TANG CAPITAL MANAGEMENT LLC,1969,2025-09-30,-17531
"SUVRETTA CAPITAL MANAGEMENT, LLC",1964,2025-09-30,0
B. Metzler seel. Sohn & Co. AG,1959,2025-09-30,0
KORNITZER CAPITAL MANAGEMENT INC /KS,1938,2025-09-30,-764
Jefferies Financial Group Inc.,1934,2025-09-30,-7665
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,1919,2025-09-30,-40
"Knollwood Investment Advisory, LLC",1910,2025-09-30,-313
"Sone Capital Management, LLC",1908,2025-09-30,1908
Tsai Capital Corp,1895,2025-09-30,40
"Atria Investments, Inc",1849,2025-09-30,-717
TUDOR INVESTMENT CORP ET AL,1847,2025-09-30,1847
"Cardinal Point Capital Management, ULC",1845,2025-09-30,1845
SeaBridge Investment Advisors LLC,1807,2025-09-30,602
"TWO SIGMA ADVISERS, LP",1800,2025-09-30,-100
Campbell & CO Investment Adviser LLC,1800,2025-09-30,1800
PUBLIC SECTOR PENSION INVESTMENT BOARD,1787,2025-09-30,198
OSSIAM,1779,2025-09-30,499
Choate Investment Advisors,1764,2025-09-30,-64
Capital Group Investment Management Pte. Ltd.,1752,2025-09-30,0
BI Asset Management Fondsmaeglerselskab A/S,1750,2025-09-30,885
OSTRUM ASSET MANAGEMENT,1730,2025-09-30,-157
Federation des caisses Desjardins du Quebec,1718,2025-09-30,153
"Citadel Investment Advisory, Inc.",1710,2025-09-30,0
TORRAY INVESTMENT PARTNERS LLC,1671,2025-09-30,319
BRADLEY FOSTER & SARGENT INC/CT,1634,2025-09-30,59
"Capital Group Private Client Services, Inc.",1613,2025-09-30,-5356
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,1609,2025-09-30,0
Walleye Trading LLC,1574,2025-09-30,376
"CAPSTONE INVESTMENT ADVISORS, LLC",1556,2025-09-30,1556
Meiji Yasuda Asset Management Co Ltd.,1532,2025-09-30,-211
Plato Investment Management Ltd,1524,2025-09-30,0
Generali Asset Management SPA SGR,1515,2025-09-30,64
JLB & ASSOCIATES INC,1514,2025-09-30,0
"Wealthspire Advisors, LLC",1509,2025-09-30,-1527
MIZUHO SECURITIES USA LLC,1500,2025-09-30,60
"Linden Thomas Advisory Services, LLC",1499,2025-09-30,12
ABN AMRO INVESTMENT SOLUTIONS,1489,2025-09-30,0
Cetera Investment Advisers,1479,2025-09-30,144
Schonfeld Strategic Advisors LLC,1433,2025-09-30,58
"Cambridge Investment Research Advisors, Inc.",1414,2025-09-30,331
BESSEMER GROUP INC,1379,2025-09-30,124
"Advisors Asset Management, Inc.",1358,2025-09-30,22
Eukles Asset Management,1346,2025-09-30,16
"MML INVESTORS SERVICES, LLC",1326,2025-09-30,31
"WOLVERINE TRADING, LLC",1322,2025-09-30,1322
Legacy Private Trust Co.,1307,2025-09-30,-129
Vestcor Inc,1307,2025-09-30,-982
Kentucky Retirement Systems,1306,2025-09-30,-28
Snowden Capital Advisors LLC,1301,2025-09-30,-1
"Palisade Asset Management, LLC",1300,2025-09-30,0
Sterling Capital Management LLC,1291,2025-09-30,-125
Avanza Fonder AB,1280,2025-09-30,0
"FULTON BANK, N.A.",1277,2025-09-30,-55
ACADIAN ASSET MANAGEMENT LLC,1253,2025-09-30,-1570
Wealthfront Advisers LLC,1247,2025-09-30,132
ALBERT D MASON INC,1244,2025-09-30,55
Roundview Capital LLC,1213,2025-09-30,-26
HARTFORD INVESTMENT MANAGEMENT CO,1209,2025-09-30,-48
"Pacific Point Advisors, LLC",1172,2025-09-30,21
Liontrust Investment Partners LLP,1135,2025-09-30,254
"Norinchukin Bank, The",1122,2025-09-30,-20
"PATRON PARTNERS, LLC",1122,2025-09-30,-70
Point72 Hong Kong Ltd,1107,2025-09-30,1107
Louisiana State Employees Retirement System,1100,2025-09-30,0
COMMERCE BANK,1086,2025-09-30,-2
"Farringdon Capital, Ltd.",1069,2025-09-30,657
"Vident Advisory, LLC",1069,2025-09-30,-1640
Maryland State Retirement & Pension System,1067,2025-09-30,81
"Baldwin Investment Management, LLC",1061,2025-09-30,0
Vinva Investment Management Ltd,1058,2025-09-30,-263
Investment Management Corp of Ontario,1029,2025-09-30,501
Gulf International Bank (UK) Ltd,1028,2025-09-30,-22
AG2R LA MONDIALE GESTION D'ACTIFS,1025,2025-09-30,0
"SECURIAN ASSET MANAGEMENT, INC",1019,2025-09-30,-114
"Baird Financial Group, Inc.",1007,2025-09-30,-340
PARAGON CAPITAL MANAGEMENT INC,1002,2025-09-30,-33
"BOKF, NA",986,2025-09-30,-96
Machina Capital S.A.S.,966,2025-09-30,966
"CWM, LLC",966,2025-09-30,98
Diversified Trust Co,952,2025-09-30,-73
NEW MEXICO EDUCATIONAL RETIREMENT BOARD,950,2025-09-30,0
"Douglass Winthrop Advisors, LLC",948,2025-09-30,5
TRUIST FINANCIAL CORP,938,2025-09-30,4
"COMMONWEALTH EQUITY SERVICES, LLC",928,2025-09-30,8
S-Bank Fund Management Ltd,927,2025-09-30,-12
"MISSION WEALTH MANAGEMENT, LP",926,2025-09-30,4
"Allspring Global Investments Holdings, LLC",923,2025-09-30,-27
"Merit Financial Group, LLC",920,2025-09-30,101
MONTAG A & ASSOCIATES INC,901,2025-09-30,0
BLAIR WILLIAM & CO/IL,894,2025-09-30,-3
E. Ohman J:or Asset Management AB,890,2025-09-30,0
FIFTH THIRD BANCORP,886,2025-09-30,-2
"Procyon Advisors, LLC",877,2025-09-30,383
"ADVISOR GROUP HOLDINGS, INC.",863,2025-09-30,448
"Gotham Asset Management, LLC",862,2025-09-30,311
SHELL ASSET MANAGEMENT CO,847,2025-09-30,-462
La Banque Postale Asset Management SA,845,2025-09-30,-42
Verition Fund Management LLC,832,2025-09-30,-932
"KESTRA PRIVATE WEALTH SERVICES, LLC",827,2025-09-30,-14
"MOODY LYNN & LIEBERSON, LLC",810,2025-09-30,57
Sierra Legacy Group,809,2025-09-30,0
