date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,recordDate,paymentDate,declarationDate
2022-02-11,689.18,695.76,668.92,671.52,619.37,484102,484102,-17.66,-2.56,681.345,"February 11, 22",-0.0256,,,,,
2022-02-10,705.16,713.61,685.91,687.72,634.31,415737,415737,-17.44,-2.47,698.1,"February 10, 22",-0.0247,,,,,
2022-02-09,703.63,719.56,703.63,718.61,662.8,596717,596717,14.98,2.13,711.3575,"February 09, 22",0.0213,,,,,
2022-02-08,693.04,704.09,689.59,690.52,636.89,750400,750400,-2.52,-0.36362,694.31,"February 08, 22",-0.0036362,,,,,
2022-02-07,702.09,708,695.64,698.15,643.93,400331,400331,-3.94,-0.56118,700.97,"February 07, 22",-0.0056118,,,,,
2022-02-04,705,713.92,700.79,702.15,647.62,400500,400500,-2.85,-0.40426,705.465,"February 04, 22",-0.0040426,,,,,
2022-02-03,710.58,719.03,704.13,712.91,657.55,438742,438742,2.33,0.3279,711.6625,"February 03, 22",0.003279,,,,,
2022-02-02,718.48,723.13,714.44,716.55,660.9,393700,393700,-1.93,-0.26862,718.15,"February 02, 22",-0.0026862,,,,,
2022-02-01,726.75,727.99,707.63,715.29,659.74,508900,508900,-11.46,-1.58,719.415,"February 01, 22",-0.0158,,,,,
2022-01-31,712.64,725.67,708.95,724.9,668.6,679022,679022,12.26,1.72,718.04,"January 31, 22",0.0172,,,,,
2022-01-28,686.03,707.74,673.16,707.56,652.61,619343,619343,21.53,3.14,693.6225,"January 28, 22",0.0314,,,,,
2022-01-27,700.44,705.17,680.5,683.02,629.98,487710,487710,-17.42,-2.49,692.2825,"January 27, 22",-0.0249,,,,,
2022-01-26,720.1,727.67,692.51,695.83,641.79,559700,559700,-24.27,-3.37,709.0275,"January 26, 22",-0.0337,,,,,
2022-01-25,728.16,730.5,715,719.67,663.78,477800,477800,-8.49,-1.17,723.3325,"January 25, 22",-0.0117,,,,,
2022-01-24,720.86,731.68,700.98,730.84,674.08,620535,620535,9.98,1.38,721.09,"January 24, 22",0.0138,,,,,
2022-01-21,735.62,741.74,720.93,721.58,665.54,374600,374600,-14.04,-1.91,729.9675,"January 21, 22",-0.0191,,,,,
2022-01-20,732.96,746.78,728.91,730.51,673.78,425309,425309,-2.45,-0.33426,734.79,"January 20, 22",-0.0033426,,,,,
2022-01-19,742.8,752.15,729.59,730.49,673.76,471400,471400,-12.31,-1.66,738.7575,"January 19, 22",-0.0166,,,,,
2022-01-18,733.3,745.75,726.71,742.94,685.24,460800,460800,9.64,1.31,737.175,"January 18, 22",0.0131,,,,,
2022-01-14,745.09,749.4,730.05,746.76,688.77,510832,510832,1.67,0.22413,742.825,"January 14, 22",0.0022413,,,,,
2022-01-13,767.77,767.9,746.44,748.12,690.02,424802,424802,-19.65,-2.56,757.5575,"January 13, 22",-0.0256,,,,,
2022-01-12,763.85,777.29,762.03,764.46,705.09,343333,343333,0.61,0.07985861,766.9075,"January 12, 22",0.0007985861,,,,,
2022-01-11,759.75,767.65,749.51,766.88,707.32,322600,322600,7.13,0.93847,760.9475,"January 11, 22",0.0093847,,,,,
2022-01-10,756.78,764.56,743.61,764.33,704.97,415335,415335,7.55,0.99765,757.32,"January 10, 22",0.0099765,,,,,
2022-01-07,759.7,783.99,759.7,774.94,714.76,355700,355700,15.24,2.01,769.5825,"January 07, 22",0.0201,,,,,
2022-01-06,781.55,784.45,761.42,775.08,714.89,366730,366730,-6.47,-0.82784,775.625,"January 06, 22",-0.0082784,,,,,
2022-01-05,812.87,814.42,787.66,789.1,727.82,394800,394800,-23.77,-2.92,801.0125,"January 05, 22",-0.0292,,,,,
2022-01-04,832.9,839.05,810.99,814.63,751.37,399000,399000,-18.27,-2.19,824.3925,"January 04, 22",-0.0219,,,,,
2022-01-03,845.68,847.71,819.73,836.11,771.18,351849,351849,-9.57,-1.13,837.3075,"January 03, 22",-0.0113,,,,,
2021-12-31,847.07,853.42,843.4,845.84,780.15,278628,278628,-1.23,-0.14521,847.4325,"December 31, 21",-0.0014521,,,,,
2021-12-30,842.83,847.1,833.56,845.49,779.83,239234,239234,2.66,0.3156,842.245,"December 30, 21",0.003156,,,,,
2021-12-29,840.01,843.9,833.33,842,776.61,248700,248700,1.99,0.2369,839.81,"December 29, 21",0.002369,,,,,
2021-12-28,835.11,842.2,829.89,838.01,772.93,242900,242900,2.9,0.34726,836.3025,"December 28, 21",0.0034726,,,,,
2021-12-27,823.13,835.12,818.42,835.11,770.26,296900,296900,11.98,1.46,827.945,"December 27, 21",0.0146,,,,,
