holder,shares,dateReported,change
"NISA INVESTMENT ADVISORS, LLC",246091,2025-09-30,12221
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,245298,2025-09-30,14220
State of New Jersey Common Pension Fund D,235633,2025-09-30,6339
"COHEN & STEERS, INC.",230286,2025-09-30,3667
UniSuper Management Pty Ltd,225404,2025-09-30,-8582
CAPITAL INTERNATIONAL LTD /CA/,223024,2025-09-30,-23949
Andra AP-fonden,222700,2025-09-30,175300
Illinois Municipal Retirement Fund,221070,2025-09-30,19827
"Glenmede Investment Management, LP",219282,2025-09-30,-33309
Engineers Gate Manager LP,218766,2025-09-30,117872
"Resona Asset Management Co.,Ltd.",216319,2025-09-30,-10265
VICTORY CAPITAL MANAGEMENT INC,214775,2025-09-30,-82461
Lansforsakringar Fondforvaltning AB (publ),214191,2025-09-30,8639
"TSP Capital Management Group, LLC",213660,2025-09-30,-1394
CIBC WORLD MARKET INC.,211979,2025-09-30,3255
"Gotham Asset Management, LLC",206032,2025-09-30,3522
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",204006,2025-09-30,117194
CREDIT AGRICOLE S A,203784,2025-09-30,203784
NATIXIS,203114,2025-09-30,140846
"Baird Financial Group, Inc.",199879,2025-09-30,-6062
Arizona State Retirement System,199304,2025-09-30,-370
Creative Planning,198076,2025-09-30,18345
"CI Private Wealth, LLC",194562,2025-09-30,-5846
"Bridgewater Associates, LP",191216,2025-09-30,137110
STATE OF MICHIGAN RETIREMENT SYSTEM,183710,2025-09-30,-1800
"HighTower Advisors, LLC",182643,2025-09-30,14436
"Banco Santander, S.A.",179664,2025-09-30,179664
S.E.E.D. Planning Group LLC,173570,2025-09-30,9177
"Bank Julius Baer & Co. Ltd, Zurich",172898,2025-09-30,-52053
Czech National Bank,172478,2025-09-30,5732
Calamos Advisors LLC,168968,2025-09-30,0
"MetLife Investment Management, LLC",168578,2025-09-30,-5271
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",167395,2025-09-30,36218
Cetera Investment Advisers,164575,2025-09-30,32242
Varma Mutual Pension Insurance Co,163876,2025-09-30,12900
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,163077,2025-09-30,-4229
FIFTH THIRD BANCORP,155587,2025-09-30,6687
AMERICAN CENTURY COMPANIES INC,153695,2025-09-30,6428
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",151500,2025-09-30,11295
"Rakuten Investment Management, Inc.",150156,2025-09-30,150156
"Callahan Advisors, LLC",149539,2025-09-30,-474
"Mariner, LLC",148585,2025-09-30,16825
ABN AMRO INVESTMENT SOLUTIONS,147600,2025-09-30,-2000
CAPITAL FUND MANAGEMENT S.A.,146153,2025-09-30,146153
Quantbot Technologies LP,145689,2025-09-30,145689
Daiwa Securities Group Inc.,145249,2025-09-30,10943
"COMMONWEALTH EQUITY SERVICES, LLC",144775,2025-09-30,1676
IFM Investors Pty Ltd,144737,2025-09-30,2243
Skandinaviska Enskilda Banken AB (publ),143355,2025-09-30,-2608
FORSTA AP-FONDEN,142900,2025-09-30,8500
DekaBank Deutsche Girozentrale,142530,2025-09-30,0
DnB Asset Management AS,142149,2025-09-30,3301
"XPONANCE, INC.",141943,2025-09-30,-4491
"Ballentine Partners, LLC",139654,2025-09-30,314
AMALGAMATED BANK,138481,2025-09-30,-2913
"NorthCrest Asset Manangement, LLC",137736,2025-09-30,3410
WESTWOOD HOLDINGS GROUP INC,134562,2025-09-30,-8109
HRT FINANCIAL LP,132340,2025-09-30,-260829
ProShare Advisors LLC,132159,2025-09-30,85
Stonebridge Capital Advisors LLC,132083,2025-09-30,217
"Crossmark Global Holdings, Inc.",132002,2025-09-30,83000
TWINBEECH CAPITAL LP,131086,2025-09-30,131086
USS Investment Management Ltd,129128,2025-09-30,0
JONES FINANCIAL COMPANIES LLLP,119068,2025-09-30,17875
AIA Group Ltd,118169,2025-09-30,34502
Janney Montgomery Scott LLC,117964,2025-09-30,-673
BARINGS LLC,117723,2025-09-30,-60550
Magnetar Financial LLC,116713,2025-09-30,116713
"Pathstone Holdings, LLC",113913,2025-09-30,8673
Vontobel Holding Ltd.,113795,2025-09-30,-8151
INTECH INVESTMENT MANAGEMENT LLC,113576,2025-09-30,78025
Utah Retirement Systems,113288,2025-09-30,150
Verition Fund Management LLC,112646,2025-09-30,-44185
"WILEY BROS.-AINTREE CAPITAL, LLC",111922,2025-09-30,10944
"Toroso Investments, LLC",111291,2025-09-30,-12679
Covington Investment Advisors Inc.,111247,2025-09-30,-103
