date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,dividend,recordDate
2021-10-07,39.28,40.03,39.26,39.6,36.81,4854660,4854660,0.32098,0.81466,39.5425,"October 07, 21",0.0081466,,,,,
2021-10-06,39.25,39.55,39.02,39.33,36.56,4019355,4019355,0.082,0.20382,39.2875,"October 06, 21",0.0020382,,,,,
2021-10-05,39.21,39.72,39.18,39.51,36.73,3700255,3700255,0.302,0.76511,39.405,"October 05, 21",0.0076511,,,,,
2021-10-04,39.41,39.88,38.58,39.2,36.44,6981465,6981465,-0.214,-0.53286,39.2675,"October 04, 21",-0.0053286,,,,,
2021-10-01,40.82,40.82,39.87,40.27,37.43,4615550,4615550,-0.544,-1.35,40.445,"October 01, 21",-0.0135,,,,,
2021-09-30,41.39,41.52,40.37,40.52,37.67,4295770,4295770,-0.868,-2.1,40.95,"September 30, 21",-0.021,,,,,
2021-09-29,41.73,41.98,41.43,41.63,38.7,3263510,3263510,-0.104,-0.23964,41.6925,"September 29, 21",-0.0023964,,,,,
2021-09-28,41.97,41.97,41.25,41.41,38.49,3969190,3969190,-0.562,-1.33,41.65,"September 28, 21",-0.0133,,,,,
2021-09-27,42.15,42.56,41.66,42.06,39.1,4461655,4461655,-0.088,-0.21352,42.1075,"September 27, 21",-0.0021352,,,,,
2021-09-24,42.03,42.2,41.62,42.14,39.17,2059660,2059660,0.112,0.26172,41.9975,"September 24, 21",0.0026172,,,,,
2021-09-23,42.65,42.74,41.86,42.02,39.06,3604270,3604270,-0.624,-1.48,42.3175,"September 23, 21",-0.0148,,,,,
2021-09-22,41.68,42.43,41.33,42.37,39.39,3390605,3390605,0.696,1.66,41.9525,"September 22, 21",0.0166,,,,,
2021-09-21,41.42,41.6,40.9,41.4,38.48,2492740,2492740,-0.018,-0.04828585,41.33,"September 21, 21",-0.0004828585,,,,,
2021-09-20,40.94,41.24,40.64,41.12,38.22,4739875,4739875,0.178,0.43967,40.985,"September 20, 21",0.0043967,,,,,
2021-09-17,41.66,41.85,41.2,41.43,38.51,5973430,5973430,-0.224,-0.55209,41.535,"September 17, 21",-0.0055209,,,,,
2021-09-16,41,42.03,40.88,41.88,38.93,3780550,3780550,0.884,2.15,41.4475,"September 16, 21",0.0215,,,,,
2021-09-15,41.02,41.15,40.64,41.01,38.12,4522505,4522505,-0.006,-0.02437835,40.955,"September 15, 21",-0.0002437835,,,,,
2021-09-14,40.59,41.18,40.42,41.05,38.16,3848920,3848920,0.462,1.13,40.81,"September 14, 21",0.0113,,,,,
2021-09-13,41.07,41.24,40.08,40.42,37.57,7475390,7475390,-0.658,-1.58,40.7025,"September 13, 21",-0.0158,,,,,
2021-09-10,40.57,41.51,40.4,40.97,38.08,5247510,5247510,0.398,0.98595,40.8625,"September 10, 21",0.0098595,,,,,
2021-09-09,40,40.47,39.7,40.34,37.5,4080390,4080390,0.336,0.85,40.1275,"September 09, 21",0.0085,,,,,
2021-09-08,39.65,39.95,39.46,39.87,37.06,4012165,4012165,0.224,0.55485,39.7325,"September 08, 21",0.0055485,,,,,
2021-09-07,39.74,39.99,39.41,39.6,36.81,3987360,3987360,-0.138,-0.35229,39.685,"September 07, 21",-0.0035229,,,,,
2021-09-03,39.05,39.79,38.9,39.76,36.96,2327860,2327860,0.71,1.82,39.375,"September 03, 21",0.0182,,,,,
2021-09-02,39.34,39.43,39.04,39.12,36.36,2885870,2885870,-0.224,-0.55923,39.2325,"September 02, 21",-0.0055923,,,,,
2021-09-01,38.81,39.24,38.11,39.11,36.35,3115450,3115450,0.306,0.773,38.8175,"September 01, 21",0.00773,,,,,
2021-08-31,38.83,39.24,38.41,38.85,36.11,4383090,4383090,0.02,0.05150657,38.8325,"August 31, 21",0.0005150657,,,,,
2021-08-30,38.65,39.09,38.55,38.73,36,2380020,2380020,0.078,0.20699,38.755,"August 30, 21",0.0020699,,,,,
2021-08-27,37.93,38.5,37.63,38.48,35.77,2949765,2949765,0.55,1.45,38.135,"August 27, 21",0.0145,,,,,
2021-08-26,38.91,38.91,37.71,37.95,35.28,4168555,4168555,-0.962,-2.47,38.37,"August 26, 21",-0.0247,,,,,
2021-08-25,38.73,38.95,38.5,38.84,36.1,3422655,3422655,0.106,0.28402,38.755,"August 25, 21",0.0028402,,,,,
2021-08-24,39.09,39.26,38.61,38.71,35.98,3282980,3282980,-0.386,-0.97212,38.9175,"August 24, 21",-0.0097212,,,,,
2021-08-23,39.72,39.8,38.96,39,36.25,4712900,4712900,-0.718,-1.81,39.37,"August 23, 21",-0.0181,,,,,
2021-08-20,39,39.83,38.81,39.62,36.83,2915465,2915465,0.618,1.59,39.315,"August 20, 21",0.0159,2021-08-05,0.104,2021-09-08,0.52,2021-08-23
2021-08-19,38.25,39.21,38.21,38.99,36.15,2790480,2790480,0.736,1.93,38.665,"August 19, 21",0.0193,,,,,
2021-08-18,38.25,39.15,38.25,38.6,35.79,2732560,2732560,0.35,0.91503,38.5625,"August 18, 21",0.0091503,,,,,
2021-08-17,38.88,38.9,37.97,38.19,35.41,2446120,2446120,-0.696,-1.77,38.485,"August 17, 21",-0.0177,,,,,
2021-08-16,38.59,39.37,38.5,39.35,36.48,2411555,2411555,0.764,1.97,38.9525,"August 16, 21",0.0197,,,,,
2021-08-13,38.9,38.98,38.6,38.78,35.96,2024555,2024555,-0.112,-0.30848,38.815,"August 13, 21",-0.0030848,,,,,
2021-08-12,38.82,39.09,38.55,38.71,35.89,2689765,2689765,-0.116,-0.28336,38.7925,"August 12, 21",-0.0028336,,,,,
2021-08-11,38.13,39.01,38.11,38.84,36.01,3921840,3921840,0.718,1.86,38.5225,"August 11, 21",0.0186,,,,,
2021-08-10,37.5,38.28,37.45,38.13,35.35,2911235,2911235,0.634,1.68,37.84,"August 10, 21",0.0168,,,,,
2021-08-09,37.38,37.67,37.24,37.52,34.79,2845785,2845785,0.132,0.37453,37.4525,"August 09, 21",0.0037453,,,,,
2021-08-06,37.68,37.91,37.22,37.45,34.72,2676225,2676225,-0.226,-0.6104,37.565,"August 06, 21",-0.006104,,,,,
2021-08-05,37.21,37.68,37.14,37.61,34.87,3879510,3879510,0.404,1.07,37.41,"August 05, 21",0.0107,,,,,
2021-08-04,37.07,37.23,36.81,37.09,34.39,3966430,3966430,0.014,0.05395198,37.05,"August 04, 21",0.0005395198,,,,,
2021-08-03,36.52,37.76,36.34,37.32,34.6,5397210,5397210,0.796,2.19,36.985,"August 03, 21",0.0219,,,,,
2021-08-02,36.33,36.51,36.05,36.16,33.53,5292775,5292775,-0.172,-0.46793,36.2625,"August 02, 21",-0.0046793,,,,,
2021-07-30,36.04,36.62,35.85,36.19,33.55,6389795,6389795,0.146,0.4162,36.175,"July 30, 21",0.004162,,,,,
2021-07-29,36.71,36.74,36.06,36.2,33.56,6152705,6152705,-0.512,-1.39,36.4275,"July 29, 21",-0.0139,,,,,
