date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2023-10-25,"October 25, 23",,,,,,0.31,0.0048287,0.48287,64.99,64.51,3179600,64.31,64.42,3179600,63.98,64.2
2023-10-24,"October 24, 23",,,,,,0.65,0.0102,1.02,65.06,64.67,2511249,64.47,64.4275,2511249,63.96,64.02
2023-10-23,"October 23, 23",,,,,,0.04,0.0006254887,0.06254887,64.54,63.99,2412637,63.79,63.96,2412637,63.36,63.95
2023-10-20,"October 20, 23",,,,,,-1.48,-0.0226,-2.26,65.53,64.05,2575100,63.85,64.7425,2575100,63.86,65.53
2023-10-19,"October 19, 23",0.03,0.03,2023-10-20,2023-11-15,2023-09-22,0.22,0.0033727,0.33727,66.67,65.45,1669200,65.24,65.5475,1669200,64.84,65.23
2023-10-18,"October 18, 23",,,,,,-1.07,-0.0161,-1.61,66.48,65.23,1917700,64.99,65.775,1917700,65.09,66.3
2023-10-17,"October 17, 23",,,,,,0.43,0.0064788,0.64788,67.41,66.8,1596176,66.55,66.6625,1596176,66.07,66.37
2023-10-16,"October 16, 23",,,,,,-0.75,-0.0111,-1.11,67.69,66.88,1951512,66.63,67.1325,1951512,66.33,67.63
2023-10-13,"October 13, 23",,,,,,0.99,0.015,1.5,67.64,67.12,1984299,66.87,66.7375,1984299,66.06,66.13
2023-10-12,"October 12, 23",,,,,,-1.21,-0.0179,-1.79,67.91,66.51,2252117,66.27,67.0775,2252117,66.17,67.72
2023-10-11,"October 11, 23",,,,,,-0.53,-0.0077587,-0.77587,68.31,67.78,2032922,67.53,67.86,2032922,67.04,68.31
2023-10-10,"October 10, 23",,,,,,0.19,0.0027941,0.27941,68.63,68.19,2209178,67.94,68.1075,2209178,67.61,68
2023-10-09,"October 09, 23",,,,,,-0.02,-0.0002948983,-0.02948983,68.08,67.8,1600300,67.55,67.72,1600300,67.18,67.82
2023-10-06,"October 06, 23",,,,,,1.45,0.0216,2.16,68.99,68.46,2319800,68.21,67.7775,2319800,66.65,67.01
2023-10-05,"October 05, 23",,,,,,-0.74,-0.0108,-1.08,68.68,67.6,1894528,67.35,67.8125,1894528,66.63,68.34
2023-10-04,"October 04, 23",,,,,,0.74,0.011,1.1,68.07,67.88,2084505,67.63,67.39,2084505,66.47,67.14
2023-10-03,"October 03, 23",,,,,,-0.37,-0.0054937,-0.54937,67.53,66.98,2726100,66.73,67.065,2726100,66.4,67.35
2023-10-02,"October 02, 23",,,,,,-0.16,-0.0023529,-0.23529,68.66,67.84,1942160,67.59,68.0175,1942160,67.57,68
2023-09-29,"September 29, 23",,,,,,-2.04,-0.0291,-2.91,70.2,68.04,3146200,67.79,69.0625,3146200,67.93,70.08
2023-09-28,"September 28, 23",,,,,,1.04,0.0151,1.51,70.58,69.78,4817700,69.52,69.2775,4817700,68.01,68.74
2023-09-27,"September 27, 23",,,,,,1.91,0.0288,2.88,68.41,68.28,5470000,68.03,67.3025,5470000,66.15,66.37
2023-09-26,"September 26, 23",,,,,,0.02,0.0003021604,0.03021604,67.41,66.21,3620111,65.97,66.4825,3620111,66.12,66.19
2023-09-25,"September 25, 23",,,,,,2.48,0.0388,3.88,67.04,66.48,3214500,66.24,65.38,3214500,64,64
2023-09-22,"September 22, 23",,,,,,0.5,0.0078333,0.78333,64.81,64.33,2278162,64.09,64.1775,2278162,63.74,63.83
2023-09-21,"September 21, 23",,,,,,-0.73,-0.0113,-1.13,64.89,63.89,2174822,63.65,64.2975,2174822,63.79,64.62
2023-09-20,"September 20, 23",,,,,,-1.41,-0.0212,-2.12,66.8,65.01,1797947,64.77,65.7825,1797947,64.9,66.42
2023-09-19,"September 19, 23",,,,,,-0.38,-0.0057143,-0.57143,66.75,66.12,3160581,65.88,66.18,3160581,65.35,66.5
2023-09-18,"September 18, 23",,,,,,0.41,0.0062244,0.62244,66.99,66.28,3205300,66.04,66.2525,3205300,65.87,65.87
2023-09-15,"September 15, 23",,,,,,0.43,0.0065152,0.65152,66.5,66.43,6711139,66.19,66.1275,6711139,65.58,66
2023-09-14,"September 14, 23",,,,,,1.14,0.0176,1.76,66.06,66,3945138,65.76,65.3725,3945138,64.57,64.86
2023-09-13,"September 13, 23",,,,,,-0.59,-0.0090602,-0.90602,65.94,64.53,3612811,64.29,64.95,3612811,64.21,65.12
2023-09-12,"September 12, 23",,,,,,-0.98,-0.0148,-1.48,66.62,65.4,2381800,65.16,65.905,2381800,65.22,66.38
2023-09-11,"September 11, 23",,,,,,1.3,0.0199,1.99,67.35,66.62,3630504,66.37,66.1225,3630504,65.2,65.32
2023-09-08,"September 08, 23",,,,,,-1.02,-0.0155,-1.55,65.99,64.9,3103630,64.66,65.3825,3103630,64.72,65.92
2023-09-07,"September 07, 23",,,,,,-2.19,-0.0322,-3.22,68.17,65.9,2836900,65.66,66.9975,2836900,65.83,68.09
2023-09-06,"September 06, 23",,,,,,-0.53,-0.0078507,-0.78507,68.2,66.98,3140100,66.73,67.1875,3140100,66.06,67.51
2023-09-05,"September 05, 23",,,,,,-1.47,-0.0213,-2.13,69.16,67.66,3773510,67.41,68.34,3773510,67.41,69.13
2023-09-01,"September 01, 23",,,,,,-1.42,-0.0201,-2.01,71.02,69.25,2097300,69,70.01,2097300,69.1,70.67
2023-08-31,"August 31, 23",,,,,,-0.06,-0.0008509431,-0.08509431,71.13,70.45,3573300,70.19,70.4875,3573300,69.86,70.51
2023-08-30,"August 30, 23",,,,,,-0.11,-0.0015603,-0.15603,70.99,70.39,1889200,70.13,70.5275,1889200,70.23,70.5
2023-08-29,"August 29, 23",,,,,,1.15,0.0166,1.66,70.5,70.48,2044326,70.22,69.91,2044326,69.33,69.33
2023-08-28,"August 28, 23",,,,,,0.25,0.00362,0.362,69.66,69.31,2438700,69.05,69.1975,2438700,68.76,69.06
2023-08-25,"August 25, 23",,,,,,0.18,0.0026312,0.26312,68.89,68.59,3096636,68.34,68.375,3096636,67.61,68.41
2023-08-24,"August 24, 23",,,,,,-1.21,-0.0174,-1.74,69.79,68.43,2623200,68.18,69.025,2623200,68.24,69.64
2023-08-23,"August 23, 23",,,,,,0.03,0.0004350348,0.04350348,69.53,68.99,2079500,68.74,69.0725,2079500,68.81,68.96
2023-08-22,"August 22, 23",,,,,,-0.22,-0.0031815,-0.31815,69.4,68.93,2170081,68.68,69.0375,2170081,68.67,69.15
2023-08-21,"August 21, 23",,,,,,-0.36,-0.0051926,-0.51926,69.5,68.97,2807833,68.72,69.1,2807833,68.6,69.33
2023-08-18,"August 18, 23",,,,,,0.16,0.002346,0.2346,68.75,68.36,2929200,68.11,68.3025,2929200,67.9,68.2
2023-08-17,"August 17, 23",,,,,,-2.31,-0.0327,-3.27,70.8,68.39,3791942,68.14,69.5325,3791942,68.24,70.7
2023-08-16,"August 16, 23",,,,,,-0.54,-0.0075832,-0.75832,72.28,70.67,3697400,70.41,71.145,3697400,70.42,71.21
2023-08-15,"August 15, 23",,,,,,-1.21,-0.0169,-1.69,71.75,70.54,2476300,70.28,71.0575,2476300,70.19,71.75
2023-08-14,"August 14, 23",,,,,,0.3,0.0041958,0.41958,71.87,71.8,2601108,71.54,71.505,2601108,70.85,71.5
2023-08-11,"August 11, 23",,,,,,-0.55,-0.0076241,-0.76241,72.14,71.59,2898300,71.33,71.6825,2898300,70.86,72.14
2023-08-10,"August 10, 23",,,,,,-1.95,-0.0263,-2.63,74.58,72.3,3681915,72.03,73.3125,3681915,72.12,74.25
2023-08-09,"August 09, 23",,,,,,0.12,0.001626,0.1626,74.88,73.92,3028421,73.65,74.005,3028421,73.42,73.8
2023-08-08,"August 08, 23",,,,,,-1.36,-0.0181,-1.81,75.47,73.93,2574900,73.66,74.5025,2574900,73.32,75.29
2023-08-07,"August 07, 23",,,,,,-0.51,-0.0067017,-0.67017,76.29,75.59,1668300,75.31,75.7875,1668300,75.17,76.1
2023-08-04,"August 04, 23",,,,,,-0.08,-0.0010529,-0.10529,76.8,75.9,1449828,75.62,76.0775,1449828,75.63,75.98
2023-08-03,"August 03, 23",,,,,,-0.62,-0.0080898,-0.80898,76.69,76.02,2053710,75.74,76.2575,2053710,75.68,76.64
2023-08-02,"August 02, 23",,,,,,-0.73,-0.0094413,-0.94413,77.78,76.59,3073730,76.31,76.96,3073730,76.15,77.32
2023-08-01,"August 01, 23",,,,,,-0.15,-0.001927,-0.1927,78.04,77.69,2127639,77.4,77.6675,2127639,77.1,77.84
2023-07-31,"July 31, 23",,,,,,0.28,0.0036027,0.36027,78.03,78,3917525,77.71,77.505,3917525,76.27,77.72
2023-07-28,"July 28, 23",,,,,,0.63,0.0081564,0.81564,78.32,77.87,2911432,77.58,77.58,2911432,76.89,77.24
2023-07-27,"July 27, 23",,,,,,-1.14,-0.0146,-1.46,78.87,76.86,3224700,76.58,77.495,3224700,76.25,78
2023-07-26,"July 26, 23",,,,,,-2.83,-0.0353,-3.53,80.31,77.43,4148620,77.15,78.8225,4148620,77.29,80.26
2023-07-25,"July 25, 23",,,,,,-0.63,-0.0077932,-0.77932,82.35,80.21,4729500,79.91,80.495,4729500,78.58,80.84
2023-07-24,"July 24, 23",,,,,,-1.85,-0.0224,-2.24,82.68,80.63,4338451,80.33,81.515,4338451,80.27,82.48
2023-07-21,"July 21, 23",,,,,,0.55,0.0067008,0.67008,83.14,82.63,7717732,82.33,82.4675,7717732,82.02,82.08
