date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2023-09-14,86.72,86.81,84.78,85.03,85.03,2629200,2629200,-1.69,-1.95,85.54,"September 14, 23",-0.0195,,,,,
2023-09-13,86.61,86.84,85.57,86.16,86.16,1109600,1109600,-0.45,-0.51957,86.19,"September 13, 23",-0.0051957,,,,,
2023-09-12,87.63,87.63,86.8,86.96,86.96,948800,948800,-0.67,-0.76458,87.13,"September 12, 23",-0.0076458,,,,,
2023-09-11,87.9,88.1,87.3,87.9,87.9,1068400,1068400,0,0,87.76,"September 11, 23",0,,,,,
2023-09-08,88.27,89.78,86.97,87.5,87.5,824000,824000,-0.77,-0.87232,88.08,"September 08, 23",-0.0087232,,,,,
2023-09-07,89.22,89.41,88.17,88.43,88.43,1042800,1042800,-0.79,-0.88545,88.67,"September 07, 23",-0.0088545,,,,,
2023-09-06,87.96,90.1,87.65,89.16,89.16,1775600,1775600,1.2,1.36,88.97,"September 06, 23",0.0136,,,,,
2023-09-05,90.88,90.88,88.01,88.05,88.05,1306800,1306800,-2.83,-3.11,88.98,"September 05, 23",-0.0311,,,,,
2023-09-01,93.18,93.18,89.92,91.17,91.17,1750000,1750000,-2.01,-2.16,91.42,"September 01, 23",-0.0216,,,,,
2023-08-31,94.57,94.57,92.17,92.5,92.5,2200000,2200000,-2.07,-2.19,93.08,"August 31, 23",-0.0219,,,,,
2023-08-30,94.53,95.79,94.53,95.21,95.21,824800,824800,0.68,0.71935,95.18,"August 30, 23",0.0071935,,,,,
2023-08-29,93.54,94.66,93.41,94.53,94.53,1036400,1036400,0.99,1.06,94.2,"August 29, 23",0.0106,,,,,
2023-08-28,93.56,94.22,92.74,93.34,93.34,1057200,1057200,-0.22,-0.23514,93.43,"August 28, 23",-0.0023514,,,,,
2023-08-25,92.52,93.52,91.77,92.85,92.85,750000,750000,0.33,0.35668,92.71,"August 25, 23",0.0035668,,,,,
2023-08-24,93.19,94.06,92.28,92.46,92.46,983600,983600,-0.73,-0.78335,92.93,"August 24, 23",-0.0078335,,,,,
2023-08-23,92.99,94.14,92.73,93.39,93.39,750000,750000,0.4,0.43015,93.42,"August 23, 23",0.0043015,,,,,
2023-08-22,93.25,93.5,92.4,92.54,92.54,620800,620800,-0.71,-0.76139,92.81,"August 22, 23",-0.0076139,,,,,
2023-08-21,92.45,93.22,92.02,93.02,93.02,610000,610000,0.57,0.61655,92.76,"August 21, 23",0.0061655,,,,,
2023-08-18,91.66,92.61,91.11,92.24,92.24,1039600,1039600,0.58,0.63277,91.98,"August 18, 23",0.0063277,,,,,
2023-08-17,93.58,94.86,92.01,92.02,92.02,671200,671200,-1.56,-1.67,92.96,"August 17, 23",-0.0167,,,,,
2023-08-16,93.92,94.84,93.19,93.2,93.2,1196400,1196400,-0.72,-0.76661,93.74,"August 16, 23",-0.0076661,,,,,
2023-08-15,94.19,94.9,93.9,94.25,94.25,1166000,1166000,0.06,0.06370103,94.35,"August 15, 23",0.0006370103,,,,,
2023-08-14,93.55,94.81,93.55,94.48,94.48,1354000,1354000,0.93,0.99412,94.28,"August 14, 23",0.0099412,,,,,
2023-08-11,94.1,94.21,93.05,93.62,93.62,1444400,1444400,-0.48,-0.5101,93.63,"August 11, 23",-0.005101,,,,,
2023-08-10,96.23,97.36,94.44,94.44,94.44,1134000,1134000,-1.79,-1.86,95.41,"August 10, 23",-0.0186,,,,,
2023-08-09,96.23,97.19,95.47,95.77,95.77,846000,846000,-0.46,-0.47802,96.14,"August 09, 23",-0.0047802,,,,,
