date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-11-01,28.14,28.35,27.68,27.97,26.88,4148422,4148422,-0.17,-0.60412,28.035,"November 01, 23",-0.0060412,,,,,
2023-10-31,28.32,28.41,27.97,28.05,26.96,3936146,3936146,-0.27,-0.95339,28.1875,"October 31, 23",-0.0095339,2023-11-01,0.25,2023-10-19,2023-11-09,0.25
2023-10-30,28.37,28.59,28,28.33,26.99,3511473,3511473,-0.04,-0.14099,28.3225,"October 30, 23",-0.0014099,,,,,
2023-10-27,28.1,28.92,27.99,28.09,26.76,5471702,5471702,-0.01,-0.03558719,28.275,"October 27, 23",-0.0003558719,,,,,
2023-10-26,27.71,28.34,27.65,28,26.68,5425219,5425219,0.29,1.05,27.925,"October 26, 23",0.0105,,,,,
2023-10-25,27.71,28.21,27.42,27.7,26.39,6589100,6589100,-0.01,-0.03608805,27.76,"October 25, 23",-0.0003608805,,,,,
2023-10-24,29,29.2,27.3,27.37,26.08,8300045,8300045,-1.63,-5.62,28.2175,"October 24, 23",-0.0562,,,,,
2023-10-23,28.35,29.07,28.22,28.62,27.27,7068457,7068457,0.27,0.95238,28.565,"October 23, 23",0.0095238,,,,,
2023-10-20,28.72,28.95,28.15,28.37,27.03,4711700,4711700,-0.35,-1.22,28.5475,"October 20, 23",-0.0122,,,,,
2023-10-19,29.51,29.8,28.76,28.76,27.4,5585308,5585308,-0.75,-2.54,29.2075,"October 19, 23",-0.0254,,,,,
2023-10-18,30.12,30.23,29.68,29.9,28.49,3755400,3755400,-0.22,-0.73041,29.9825,"October 18, 23",-0.0073041,,,,,
2023-10-17,29.38,30.55,29.3,30.5,29.06,4029934,4029934,1.12,3.81,29.9325,"October 17, 23",0.0381,,,,,
2023-10-16,29.23,29.67,29.05,29.65,28.25,3613600,3613600,0.42,1.44,29.4,"October 16, 23",0.0144,,,,,
2023-10-13,29.67,29.82,28.69,28.87,27.5,3102109,3102109,-0.8,-2.7,29.2625,"October 13, 23",-0.027,,,,,
2023-10-12,29.8,29.8,29,29.43,28.04,2391200,2391200,-0.37,-1.24,29.5075,"October 12, 23",-0.0124,,,,,
2023-10-11,29.88,30.35,29.41,29.66,28.26,2950000,2950000,-0.22,-0.73628,29.825,"October 11, 23",-0.0073628,,,,,
2023-10-10,29.64,30.35,29.45,29.84,28.43,3015461,3015461,0.2,0.67476,29.82,"October 10, 23",0.0067476,,,,,
2023-10-09,28.9,29.52,28.66,29.36,27.97,3308100,3308100,0.46,1.59,29.11,"October 09, 23",0.0159,,,,,
2023-10-06,28.41,29.52,28.41,29.32,27.93,5359847,5359847,0.91,3.2,28.915,"October 06, 23",0.032,,,,,
2023-10-05,28.8,28.94,28.41,28.71,27.35,4578324,4578324,-0.09,-0.3125,28.715,"October 05, 23",-0.003125,,,,,
2023-10-04,29.21,29.31,28.64,29.04,27.67,5137000,5137000,-0.17,-0.58199,29.05,"October 04, 23",-0.0058199,,,,,
2023-10-03,30.09,30.12,28.95,29.1,27.72,5463600,5463600,-0.99,-3.29,29.565,"October 03, 23",-0.0329,,,,,
2023-10-02,30.4,30.67,30.22,30.37,28.93,4200043,4200043,-0.03,-0.09868421,30.415,"October 02, 23",-0.0009868421,,,,,
2023-09-29,30.85,31.09,30.35,30.57,29.12,4908820,4908820,-0.28,-0.90762,30.715,"September 29, 23",-0.0090762,,,,,
2023-09-28,30.22,30.99,30.21,30.87,29.41,3571029,3571029,0.65,2.15,30.5725,"September 28, 23",0.0215,,,,,
2023-09-27,31.23,31.31,29.98,30.18,28.75,5490300,5490300,-1.05,-3.36,30.675,"September 27, 23",-0.0336,,,,,
2023-09-26,31.09,31.52,30.9,31.09,29.62,2645265,2645265,0,0,31.15,"September 26, 23",0,,,,,
