date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,recordDate,dividend
2025-11-06,321,326.35,318.46,319.61,317.57,508100,508100,-1.39,-0.43302,321.355,"November 06, 25",-0.0043302,,,,,
2025-11-05,318.78,324.37,318.44,321.99,319.94,605504,605504,3.21,1.01,320.895,"November 05, 25",0.0101,,,,,
2025-11-04,313.53,318.44,312,317.69,315.67,396280,396280,4.16,1.33,315.415,"November 04, 25",0.0133,,,,,
2025-11-03,311.85,317.56,309.87,313.45,311.45,484800,484800,1.6,0.51307,313.1825,"November 03, 25",0.0051307,,,,,
2025-10-31,312.79,317,309.05,314.52,312.52,638005,638005,1.73,0.55309,313.34,"October 31, 25",0.0055309,,,,,
2025-10-30,311.63,314.4,307.15,309.18,307.21,673022,673022,-2.45,-0.78619,310.59,"October 30, 25",-0.0078619,,,,,
2025-10-29,307,314.32,304.6,309.45,307.48,711277,711277,2.45,0.79805,308.8425,"October 29, 25",0.0079805,,,,,
2025-10-28,325.1,325.1,302.44,304.91,302.97,1557830,1557830,-20.19,-6.21,314.3875,"October 28, 25",-0.0621,,,,,
2025-10-27,348.67,349.96,343.27,343.98,341.79,234541,234541,-4.69,-1.35,346.47,"October 27, 25",-0.0135,,,,,
2025-10-24,349.61,350.39,345.64,348.94,346.72,152031,152031,-0.67,-0.19164,348.645,"October 24, 25",-0.0019164,,,,,
2025-10-23,349.55,352.23,346.77,349.27,347.05,212000,212000,-0.28,-0.08010299,349.455,"October 23, 25",-0.0008010299,,,,,
2025-10-22,349.29,353.58,346.98,348.42,346.2,231749,231749,-0.87,-0.24908,349.5675,"October 22, 25",-0.0024908,,,,,
2025-10-21,350.05,351.14,348.31,349.16,346.94,186004,186004,-0.89,-0.25425,349.665,"October 21, 25",-0.0025425,,,,,
2025-10-20,350.13,352.7,347.41,350.95,348.71,250044,250044,0.82,0.2342,350.2975,"October 20, 25",0.002342,,,,,
2025-10-17,340.78,352.62,340.78,349.13,346.91,463900,463900,8.35,2.45,345.8275,"October 17, 25",0.0245,,,,,
2025-10-16,342.99,346.28,338.93,340.85,338.68,355727,355727,-2.14,-0.62392,342.2625,"October 16, 25",-0.0062392,,,,,
2025-10-15,354.53,358.53,345.73,348.55,346.33,304200,304200,-5.98,-1.69,351.835,"October 15, 25",-0.0169,,,,,
2025-10-14,351.18,356.98,347.96,356.74,354.47,242642,242642,5.56,1.58,353.215,"October 14, 25",0.0158,,,,,
2025-10-13,344.77,351.09,343.95,351.02,348.78,257800,257800,6.25,1.81,347.7075,"October 13, 25",0.0181,,,,,
2025-10-10,352.86,356.14,346.64,346.69,344.48,272638,272638,-6.17,-1.75,350.5825,"October 10, 25",-0.0175,,,,,
2025-10-09,361.65,362.06,349.36,351.77,349.53,372035,372035,-9.88,-2.73,356.21,"October 09, 25",-0.0273,,,,,
2025-10-08,366.97,368.29,359.46,360,357.71,290100,290100,-6.97,-1.9,363.68,"October 08, 25",-0.019,,,,,
2025-10-07,364.39,368.07,361.88,364.86,362.54,299923,299923,0.47,0.12898,364.8,"October 07, 25",0.0012898,,,,,
2025-10-06,360,364.61,358.87,361.56,359.26,252534,252534,1.56,0.43333,361.26,"October 06, 25",0.0043333,,,,,
2025-10-03,350.44,358.95,350.44,356.85,354.58,247538,247538,6.41,1.83,354.17,"October 03, 25",0.0183,,,,,
2025-10-02,350.06,355.05,348.63,351.05,348.81,196701,196701,0.99,0.28281,351.1975,"October 02, 25",0.0028281,,,,,
2025-10-01,351.35,356.29,348.3,353.53,351.28,230900,230900,2.18,0.62046,352.3675,"October 01, 25",0.0062046,,,,,
2025-09-30,345.73,350.95,344.5,350.23,348,234339,234339,4.5,1.3,347.8525,"September 30, 25",0.013,,,,,
2025-09-29,348.86,348.86,343.29,345.49,343.29,346835,346835,-3.37,-0.966,346.625,"September 29, 25",-0.00966,,,,,
2025-09-26,347.56,351.95,343.97,349.11,346.89,359906,359906,1.55,0.44597,348.1475,"September 26, 25",0.0044597,,,,,
2025-09-25,344.7,349.15,341.95,345.21,343.01,409910,409910,0.51,0.14795,345.2525,"September 25, 25",0.0014795,,,,,
2025-09-24,337.87,346.72,333.89,345.54,343.34,428200,428200,7.67,2.27,341.005,"September 24, 25",0.0227,,,,,
2025-09-23,336.72,340.32,334.68,337.93,335.78,302300,302300,1.21,0.35935,337.4125,"September 23, 25",0.0035935,,,,,
2025-09-22,333,336.08,332.65,334.83,332.7,295549,295549,1.83,0.54955,334.14,"September 22, 25",0.0054955,,,,,
2025-09-19,335.76,337.01,332.27,335.38,333.24,1062746,1062746,-0.38,-0.11318,335.105,"September 19, 25",-0.0011318,,,,,
2025-09-18,333.03,336.15,332.5,334.75,332.62,332200,332200,1.72,0.51647,334.1075,"September 18, 25",0.0051647,,,,,
2025-09-17,331.28,338.77,330,333.65,331.52,397000,397000,2.37,0.71541,333.425,"September 17, 25",0.0071541,,,,,
2025-09-16,334.77,336.86,327.35,330.63,328.52,386400,386400,-4.14,-1.24,332.4025,"September 16, 25",-0.0124,,,,,
2025-09-15,348.5,353.47,339.61,339.84,337.68,317776,317776,-8.66,-2.48,345.355,"September 15, 25",-0.0248,,,,,
2025-09-12,349.51,352.45,347.66,349.37,347.14,487609,487609,-0.14,-0.04005608,349.7475,"September 12, 25",-0.0004005608,,,,,
2025-09-11,340.93,349.15,338.5,348.44,346.22,320445,320445,7.51,2.2,344.255,"September 11, 25",0.022,,,,,
2025-09-10,338.94,341.3,335.9,340.03,337.86,274000,274000,1.09,0.32159,339.0425,"September 10, 25",0.0032159,,,,,
2025-09-09,339.76,341.82,338.85,340.61,338.44,332400,332400,0.85,0.25018,340.26,"September 09, 25",0.0025018,,,,,
2025-09-08,338.79,340.3,334.65,339.58,337.42,298620,298620,0.79,0.23318,338.33,"September 08, 25",0.0023318,,,,,
2025-09-05,343.6,345.27,339.39,340,337.83,195439,195439,-3.6,-1.05,342.065,"September 05, 25",-0.0105,,,,,
2025-09-04,350,351.76,344.93,345.26,343.06,341600,341600,-4.74,-1.35,347.9875,"September 04, 25",-0.0135,,,,,
2025-09-03,342,349.74,341.1,348.53,346.31,507950,507950,6.53,1.91,345.3425,"September 03, 25",0.0191,2025-08-14,2,2025-09-19,2025-09-03,2
2025-09-02,341.52,346,339.93,345.35,341.16,445446,445446,3.83,1.12,343.2,"September 02, 25",0.0112,,,,,
2025-08-29,341.31,344.81,341.31,341.88,337.73,220932,220932,0.57,0.167,342.3275,"August 29, 25",0.00167,,,,,
2025-08-28,342.71,344.02,338.51,339.88,335.76,224643,224643,-2.83,-0.82577,341.28,"August 28, 25",-0.0082577,,,,,
2025-08-27,339.31,345.75,337.53,343.34,339.18,252107,252107,4.03,1.19,341.4825,"August 27, 25",0.0119,,,,,
2025-08-26,340.22,341.61,337.81,338.72,334.61,278700,278700,-1.5,-0.44089,339.59,"August 26, 25",-0.0044089,,,,,
2025-08-25,342.7,343.51,340.36,341.32,337.18,202524,202524,-1.38,-0.40268,341.9725,"August 25, 25",-0.0040268,,,,,
2025-08-22,350.88,352.76,343.23,343.94,339.77,260302,260302,-6.94,-1.98,347.7025,"August 22, 25",-0.0198,,,,,
2025-08-21,344,349.24,344,348.06,343.84,385000,385000,4.06,1.18,346.325,"August 21, 25",0.0118,,,,,
2025-08-20,338.27,344.6,338.27,343.52,339.35,305200,305200,5.25,1.55,341.165,"August 20, 25",0.0155,,,,,
2025-08-19,333.28,338.08,332.62,337.79,333.69,193011,193011,4.51,1.35,335.4425,"August 19, 25",0.0135,,,,,
2025-08-18,330.91,333.69,330,331.97,327.94,176400,176400,1.06,0.32033,331.6425,"August 18, 25",0.0032033,,,,,
2025-08-15,338.59,338.75,330.87,331.84,327.81,356000,356000,-6.75,-1.99,335.0125,"August 15, 25",-0.0199,,,,,
2025-08-14,336.01,337.87,334.68,337.12,333.03,260821,260821,1.11,0.33035,336.42,"August 14, 25",0.0033035,,,,,
2025-08-13,328.54,336.95,328.54,336.76,332.68,314300,314300,8.22,2.5,332.6975,"August 13, 25",0.025,,,,,
2025-08-12,331.69,332.23,326.49,328.21,324.23,281131,281131,-3.48,-1.05,329.655,"August 12, 25",-0.0105,,,,,
2025-08-11,329.5,330.62,328.36,330.4,326.39,227600,227600,0.9,0.27314,329.72,"August 11, 25",0.0027314,,,,,
2025-08-08,330,332.56,328.3,329.8,325.8,245615,245615,-0.2,-0.06060606,330.165,"August 08, 25",-0.0006060606,,,,,
2025-08-07,329.34,330.12,325.63,328.15,324.17,263000,263000,-1.19,-0.36133,328.31,"August 07, 25",-0.0036133,,,,,
2025-08-06,330.14,331.8,325.73,328.49,324.51,326923,326923,-1.65,-0.49979,329.04,"August 06, 25",-0.0049979,,,,,
2025-08-05,328.9,330.54,325.15,327.92,323.94,420500,420500,-0.98,-0.29796,328.1275,"August 05, 25",-0.0029796,,,,,
2025-08-04,332.36,333.4,325,326.04,322.09,506209,506209,-6.32,-1.9,329.2,"August 04, 25",-0.019,,,,,
2025-08-01,334.8,341.96,327.99,331.34,327.32,318747,318747,-3.46,-1.03,334.0225,"August 01, 25",-0.0103,,,,,
2025-07-31,341.12,350.87,335.13,335.8,331.73,702500,702500,-5.32,-1.56,340.73,"July 31, 25",-0.0156,,,,,
2025-07-30,330.51,335.53,328.43,332.56,328.53,575414,575414,2.05,0.62025,331.7575,"July 30, 25",0.0062025,,,,,
2025-07-29,333.87,335.69,330.51,332.28,328.25,271533,271533,-1.59,-0.47623,333.0875,"July 29, 25",-0.0047623,,,,,
2025-07-28,335.38,337.3,330.51,331.35,327.33,198400,198400,-4.03,-1.2,333.635,"July 28, 25",-0.012,,,,,
2025-07-25,332.07,336.98,331.74,336.86,332.77,189705,189705,4.79,1.44,334.4125,"July 25, 25",0.0144,,,,,
2025-07-24,333.1,337.3,331.65,331.89,327.86,238100,238100,-1.21,-0.36325,333.485,"July 24, 25",-0.0036325,,,,,
2025-07-23,339.37,339.72,333.57,335.87,331.8,210600,210600,-3.5,-1.03,337.1325,"July 23, 25",-0.0103,,,,,
2025-07-22,331.75,338,330.95,337.02,332.93,312700,312700,5.27,1.59,334.43,"July 22, 25",0.0159,,,,,
2025-07-21,332.58,334.21,329.68,329.97,325.97,313600,313600,-2.61,-0.78477,331.61,"July 21, 25",-0.0078477,,,,,
2025-07-18,334.36,335.43,332.48,333.07,329.03,269600,269600,-1.29,-0.38581,333.835,"July 18, 25",-0.0038581,,,,,
2025-07-17,330.35,334.3,329.5,334,329.95,211130,211130,3.65,1.1,332.0375,"July 17, 25",0.011,,,,,
2025-07-16,331.53,334.75,328.76,331.91,327.88,298800,298800,0.38,0.11462,331.7375,"July 16, 25",0.0011462,,,,,
2025-07-15,339.37,340.95,330.23,330.27,326.26,325000,325000,-9.1,-2.68,335.205,"July 15, 25",-0.0268,,,,,
2025-07-14,338,342.9,337.32,341.05,336.91,334716,334716,3.05,0.90237,339.8175,"July 14, 25",0.0090237,,,,,
2025-07-11,337.5,340.74,336.71,339.35,335.23,294103,294103,1.85,0.54815,338.575,"July 11, 25",0.0054815,,,,,
2025-07-10,338.75,341,337.89,340.45,336.32,300720,300720,1.7,0.50185,339.5225,"July 10, 25",0.0050185,,,,,
2025-07-09,344.14,345,339.54,340.19,336.06,282830,282830,-3.95,-1.15,342.2175,"July 09, 25",-0.0115,,,,,
2025-07-08,332.84,342.79,330,341.42,337.28,520463,520463,8.58,2.58,336.7625,"July 08, 25",0.0258,,,,,
2025-07-07,338.24,339,332.23,334.06,330.01,243605,243605,-4.18,-1.24,335.8825,"July 07, 25",-0.0124,,,,,
2025-07-03,335.54,338.08,333.9,337.48,333.39,295300,295300,1.94,0.57817,336.25,"July 03, 25",0.0057817,,,,,
2025-07-02,340.95,340.95,330.19,334.03,329.98,473300,473300,-6.92,-2.03,336.53,"July 02, 25",-0.0203,,,,,
2025-07-01,340.11,342.41,337.08,340.87,336.74,554300,554300,0.76,0.22346,340.1175,"July 01, 25",0.0022346,,,,,
2025-06-30,337.04,341.11,335,339.85,335.73,387505,387505,2.81,0.83373,338.25,"June 30, 25",0.0083373,,,,,
2025-06-27,337.32,341,335.11,336.78,332.69,499500,499500,-0.54,-0.16009,337.5525,"June 27, 25",-0.0016009,,,,,
2025-06-26,337.56,343.23,336.29,339.41,335.29,216100,216100,1.85,0.54805,339.1225,"June 26, 25",0.0054805,,,,,
2025-06-25,339.49,339.57,334.48,336.44,332.36,273341,273341,-3.05,-0.89841,337.495,"June 25, 25",-0.0089841,,,,,
2025-06-24,342.13,343.42,338.91,340.83,336.7,484231,484231,-1.3,-0.37997,341.3225,"June 24, 25",-0.0037997,,,,,
2025-06-23,338.09,342.6,337.25,341.82,337.67,399439,399439,3.73,1.1,339.94,"June 23, 25",0.011,,,,,
2025-06-20,334.02,340,334,337.3,333.21,1196900,1196900,3.28,0.98198,336.33,"June 20, 25",0.0098198,,,,,
2025-06-18,332.19,335.34,331.17,332.9,328.86,486639,486639,0.71,0.21373,332.9,"June 18, 25",0.0021373,,,,,
2025-06-17,337.83,338.02,330.16,333.02,328.98,525116,525116,-4.81,-1.42,334.7575,"June 17, 25",-0.0142,,,,,
2025-06-16,337.39,340.59,335.61,339.13,335.02,328100,328100,1.74,0.51572,338.18,"June 16, 25",0.0051572,,,,,
2025-06-13,334.62,338.05,333.73,334.61,330.55,430435,430435,-0.01,-0.00298846,335.2525,"June 13, 25",-2.98846e-05,,,,,
2025-06-12,333.51,339.87,333.51,339.82,335.7,311300,311300,6.31,1.89,336.6775,"June 12, 25",0.0189,,,,,
2025-06-11,337.97,338.17,334,335.3,331.23,284900,284900,-2.67,-0.79001,336.36,"June 11, 25",-0.0079001,,,,,
2025-06-10,339.85,339.91,335,336.29,332.21,303521,303521,-3.56,-1.05,337.7625,"June 10, 25",-0.0105,,,,,
2025-06-09,346.2,346.98,332.52,340.62,336.49,365131,365131,-5.58,-1.61,341.58,"June 09, 25",-0.0161,,,,,
2025-06-06,348.62,348.62,344.17,346.18,341.98,186100,186100,-2.44,-0.6999,346.8975,"June 06, 25",-0.006999,,,,,
2025-06-05,346.27,346.27,338.51,343.82,339.65,343752,343752,-2.45,-0.70754,343.7175,"June 05, 25",-0.0070754,,,,,
2025-06-04,350.44,351.44,344.52,344.78,340.6,326400,326400,-5.66,-1.62,347.795,"June 04, 25",-0.0162,,,,,
2025-06-03,350.88,353,345.63,351.22,346.96,379700,379700,0.34,0.09689922,350.1825,"June 03, 25",0.0009689922,,,,,
2025-06-02,343.96,351.84,343.54,351.74,347.47,296018,296018,7.78,2.26,347.77,"June 02, 25",0.0226,,,,,
2025-05-30,344.45,349.27,343.03,347.19,342.98,630817,630817,2.74,0.79547,345.985,"May 30, 25",0.0079547,,,,,
2025-05-29,336.86,346.35,336,346.35,342.15,582031,582031,9.49,2.82,341.39,"May 29, 25",0.0282,,,,,
2025-05-28,340.97,342.4,335.17,335.59,331.52,423905,423905,-5.38,-1.58,338.5325,"May 28, 25",-0.0158,2025-05-15,2,2025-06-13,2025-05-28,2
2025-05-27,338.85,343.81,335.97,343.76,337.61,356500,356500,4.91,1.45,340.5975,"May 27, 25",0.0145,,,,,
2025-05-23,335.05,337.42,331.34,335.94,329.93,421507,421507,0.89,0.26563,334.9375,"May 23, 25",0.0026563,,,,,
2025-05-22,340,340.01,335.53,336.3,330.28,386807,386807,-3.7,-1.09,337.96,"May 22, 25",-0.0109,,,,,
2025-05-21,347.27,347.8,339.58,340.53,334.44,484000,484000,-6.74,-1.94,343.795,"May 21, 25",-0.0194,,,,,
2025-05-20,348.48,349.33,346.37,347.51,341.29,536527,536527,-0.97,-0.27835,347.9225,"May 20, 25",-0.0027835,,,,,
2025-05-19,348.2,349.21,346.2,347.57,341.35,280222,280222,-0.63,-0.18093,347.795,"May 19, 25",-0.0018093,,,,,
2025-05-16,343.91,349.69,343.01,348.08,341.85,417200,417200,4.17,1.21,346.1725,"May 16, 25",0.0121,,,,,
2025-05-15,342.07,344.73,339.96,343.89,337.74,649822,649822,1.82,0.53205,342.6625,"May 15, 25",0.0053205,,,,,
2025-05-14,346.74,347.44,340.89,341,334.9,568000,568000,-5.74,-1.66,344.0175,"May 14, 25",-0.0166,,,,,
2025-05-13,346.81,350.84,345.99,346.15,339.96,419600,419600,-0.66,-0.19031,347.4475,"May 13, 25",-0.0019031,,,,,
2025-05-12,350.55,354.76,342.65,347.8,341.58,529714,529714,-2.75,-0.78448,348.94,"May 12, 25",-0.0078448,,,,,
2025-05-09,349.15,349.93,346.59,348.04,341.81,325200,325200,-1.11,-0.31791,348.4275,"May 09, 25",-0.0031791,,,,,
2025-05-08,343.85,351.95,342.31,347.21,341,544800,544800,3.36,0.97717,346.33,"May 08, 25",0.0097717,,,,,
2025-05-07,345.4,347.7,339.89,342.05,335.93,572100,572100,-3.35,-0.96989,343.76,"May 07, 25",-0.0096989,,,,,
2025-05-06,346.86,350.48,344.55,344.61,338.44,410806,410806,-2.25,-0.64868,346.625,"May 06, 25",-0.0064868,,,,,
2025-05-05,346.83,349.78,344.28,347.36,341.15,402850,402850,0.53,0.15281,347.0625,"May 05, 25",0.0015281,,,,,
2025-05-02,342,349.8,340.28,348.39,342.16,366842,366842,6.39,1.87,345.1175,"May 02, 25",0.0187,,,,,
2025-05-01,325,350.88,325,337.38,331.34,645000,645000,12.38,3.81,334.565,"May 01, 25",0.0381,,,,,
2025-04-30,359.94,359.94,351.26,358.83,352.41,386800,386800,-1.11,-0.30838,357.4925,"April 30, 25",-0.0030838,,,,,
2025-04-29,355.77,359.92,354.43,359.29,352.86,379638,379638,3.52,0.9894,357.3525,"April 29, 25",0.009894,,,,,
2025-04-28,353.15,356.79,352.82,355.03,348.68,354700,354700,1.88,0.53235,354.4475,"April 28, 25",0.0053235,,,,,
2025-04-25,355.07,357.42,348.01,353.15,346.83,256100,256100,-1.92,-0.54074,353.4125,"April 25, 25",-0.0054074,,,,,
2025-04-24,353.49,356.49,350.34,355.19,348.84,357500,357500,1.7,0.48092,353.8775,"April 24, 25",0.0048092,,,,,
2025-04-23,357.65,359.75,353.94,356.2,349.83,393700,393700,-1.45,-0.40542,356.885,"April 23, 25",-0.0040542,,,,,
2025-04-22,348.04,358,347.28,357.2,350.81,305300,305300,9.16,2.63,352.63,"April 22, 25",0.0263,,,,,
2025-04-21,348.85,349.26,340.36,342.87,336.74,318848,318848,-5.98,-1.71,345.335,"April 21, 25",-0.0171,,,,,
2025-04-17,349.08,352.04,346.58,349.93,343.67,355900,355900,0.85,0.2435,349.4075,"April 17, 25",0.002435,,,,,
2025-04-16,351.75,354.5,347.1,347.6,341.38,344246,344246,-4.15,-1.18,350.2375,"April 16, 25",-0.0118,,,,,
2025-04-15,344.91,354.99,344.91,349.85,343.59,292740,292740,4.94,1.43,348.665,"April 15, 25",0.0143,,,,,
2025-04-14,354.4,359.03,351.78,353.02,346.7,337123,337123,-1.38,-0.38939,354.5575,"April 14, 25",-0.0038939,,,,,
2025-04-11,347.07,351.28,337.17,349.54,343.29,383700,383700,2.47,0.71167,346.265,"April 11, 25",0.0071167,,,,,
2025-04-10,345.95,346.74,335.17,341.4,335.29,361934,361934,-4.55,-1.32,342.315,"April 10, 25",-0.0132,,,,,
2025-04-09,326.66,350.05,324.27,348.38,342.15,387405,387405,21.72,6.65,337.34,"April 09, 25",0.0665,,,,,
2025-04-08,337.46,345.85,327.52,332.04,326.1,406500,406500,-5.42,-1.61,335.7175,"April 08, 25",-0.0161,,,,,
2025-04-07,329.16,336.6,320,326.44,320.6,602022,602022,-2.72,-0.82635,328.05,"April 07, 25",-0.0082635,,,,,
2025-04-04,353.77,356.94,335.18,337.02,330.99,682900,682900,-16.75,-4.73,345.7275,"April 04, 25",-0.0473,,,,,
2025-04-03,360.1,363.61,357.5,361.76,355.29,337532,337532,1.66,0.46098,360.7425,"April 03, 25",0.0046098,,,,,
2025-04-02,363.96,365.59,361.28,365.34,358.8,199061,199061,1.38,0.37916,364.0425,"April 02, 25",0.0037916,,,,,
2025-04-01,364.28,367.23,360.87,365.41,358.87,243500,243500,1.13,0.3102,364.4475,"April 01, 25",0.003102,,,,,
2025-03-31,362.7,366.46,358.68,363.33,356.83,324900,324900,0.63,0.1737,362.7925,"March 31, 25",0.001737,,,,,
2025-03-28,368.56,370.21,360.46,361.99,355.51,253509,253509,-6.57,-1.78,365.305,"March 28, 25",-0.0178,,,,,
2025-03-27,367.97,368.94,362.48,367.51,360.94,268330,268330,-0.46,-0.12501,366.725,"March 27, 25",-0.0012501,,,,,
2025-03-26,364.07,369.01,363.9,366.16,359.61,206720,206720,2.09,0.57407,365.785,"March 26, 25",0.0057407,,,,,
2025-03-25,361.01,363.8,357.83,362.25,355.77,300600,300600,1.24,0.34348,361.2225,"March 25, 25",0.0034348,,,,,
2025-03-24,354.96,360.44,352.42,359.13,352.71,463800,463800,4.17,1.17,356.7375,"March 24, 25",0.0117,,,,,
2025-03-21,353.19,356.25,352.18,352.42,346.12,1348612,1348612,-0.77,-0.21801,353.51,"March 21, 25",-0.0021801,,,,,
2025-03-20,355.57,358.09,354.48,354.8,348.45,405600,405600,-0.77,-0.21655,355.735,"March 20, 25",-0.0021655,,,,,
2025-03-19,357.85,360.79,355.59,356.22,349.85,467228,467228,-1.63,-0.4555,357.6125,"March 19, 25",-0.004555,,,,,
2025-03-18,365.57,367.37,359.13,359.62,353.19,340900,340900,-5.95,-1.63,362.9225,"March 18, 25",-0.0163,,,,,
2025-03-17,356.59,368.96,356.45,365.06,358.53,528005,528005,8.47,2.38,361.765,"March 17, 25",0.0238,2025-02-27,2,2025-03-28,2025-03-17,2
2025-03-14,351.66,359.62,351.11,358.66,350.28,353300,353300,7,1.99,355.2625,"March 14, 25",0.0199,,,,,
2025-03-13,349.19,354.43,347.89,349.59,341.42,430600,430600,0.4,0.11455,350.275,"March 13, 25",0.0011455,,,,,
2025-03-12,354.46,354.46,345.43,347.75,339.63,414509,414509,-6.71,-1.89,350.525,"March 12, 25",-0.0189,,,,,
2025-03-11,358.57,358.57,351.71,354.19,345.92,489917,489917,-4.38,-1.22,355.76,"March 11, 25",-0.0122,,,,,
2025-03-10,355,364.72,351.76,357.2,348.86,568225,568225,2.2,0.61972,357.17,"March 10, 25",0.0061972,,,,,
2025-03-07,362.35,366.77,361.57,363.76,355.26,359700,359700,1.41,0.38913,363.6125,"March 07, 25",0.0038913,,,,,
