date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,paymentDate,declarationDate
2022-01-28,452.82,459.76,441.15,459.72,436.61,285615,285615,6.9,1.52,453.3625,"January 28, 22",0.0152,,,,,
2022-01-27,458.61,462.78,449.95,451.75,429.04,322846,322846,-6.86,-1.5,455.7725,"January 27, 22",-0.015,,,,,
2022-01-26,465.46,473.14,447.78,451.26,428.58,319012,319012,-14.2,-3.05,459.41,"January 26, 22",-0.0305,,,,,
2022-01-25,468.5,474.74,455.38,459.99,436.87,409600,409600,-8.51,-1.82,464.6525,"January 25, 22",-0.0182,,,,,
2022-01-24,465,479.8,449.56,477.62,453.61,632600,632600,12.62,2.71,467.995,"January 24, 22",0.0271,,,,,
2022-01-21,476.46,484.25,469.02,470.88,447.21,337146,337146,-5.58,-1.17,475.1525,"January 21, 22",-0.0117,,,,,
2022-01-20,493.8,502.7,475.93,476.43,452.48,277423,277423,-17.37,-3.52,487.215,"January 20, 22",-0.0352,,,,,
2022-01-19,497.36,504.35,490.38,490.66,465.99,244351,244351,-6.7,-1.35,495.6875,"January 19, 22",-0.0135,,,,,
2022-01-18,484.49,497.58,477.13,493.91,469.08,353917,353917,9.42,1.94,488.2775,"January 18, 22",0.0194,,,,,
2022-01-14,501.12,503.83,483,494.1,469.26,332100,332100,-7.02,-1.4,495.5125,"January 14, 22",-0.014,,,,,
2022-01-13,513.47,514.77,502.57,507.23,481.73,434900,434900,-6.24,-1.22,509.51,"January 13, 22",-0.0122,,,,,
2022-01-12,505,520.6,505,512.81,487.03,469223,469223,7.81,1.55,510.8525,"January 12, 22",0.0155,,,,,
2022-01-11,496.31,505.82,488.44,502.06,476.82,386229,386229,5.75,1.16,498.1575,"January 11, 22",0.0116,,,,,
2022-01-10,497.03,497.25,485.29,496.31,471.36,544448,544448,-0.72,-0.14486,493.97,"January 10, 22",-0.0014486,,,,,
2022-01-07,517.82,519.47,502.19,503.17,477.88,316003,316003,-14.65,-2.83,510.6625,"January 07, 22",-0.0283,,,,,
2022-01-06,524.42,532.76,510.76,520.52,494.35,280934,280934,-3.9,-0.74368,522.115,"January 06, 22",-0.0074368,,,,,
2022-01-05,546.03,551.76,528.21,529.38,502.77,278504,278504,-16.65,-3.05,538.845,"January 05, 22",-0.0305,,,,,
2022-01-04,552.14,555.64,546.81,549.89,522.25,200849,200849,-2.25,-0.40751,551.12,"January 04, 22",-0.0040751,,,,,
2022-01-03,566,566,540.24,550.25,522.59,286000,286000,-15.75,-2.78,555.6225,"January 03, 22",-0.0278,,,,,
2021-12-31,560.81,569.21,557.48,566,537.55,145000,145000,5.19,0.92545,563.375,"December 31, 21",0.0092545,,,,,
2021-12-30,566.64,569.46,552.87,560.81,532.62,208512,208512,-5.83,-1.03,562.445,"December 30, 21",-0.0103,,,,,
2021-12-29,563.74,569,558.79,567.63,539.1,180548,180548,3.89,0.69003,564.79,"December 29, 21",0.0069003,,,,,
