date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,recordDate,dividend,adjDividend,paymentDate
2025-12-10,195.31,204.16,194.65,202.62,201.38,952648,952648,7.31,3.74,199.185,"December 10, 25",0.0374,,,,,
2025-12-09,196.01,197.3,193.01,193.4,192.22,605065,605065,-2.61,-1.33,194.93,"December 09, 25",-0.0133,,,,,
2025-12-08,197.82,199.66,195.9,196.79,195.59,861600,861600,-1.03,-0.52068,197.5425,"December 08, 25",-0.0052068,,,,,
2025-12-05,196.35,200.25,195.73,198.48,197.27,890900,890900,2.13,1.08,197.7025,"December 05, 25",0.0108,,,,,
2025-12-04,197.97,199.54,196.33,196.63,195.43,732300,732300,-1.34,-0.67687,197.6175,"December 04, 25",-0.0067687,,,,,
2025-12-03,193.26,198.41,192.66,197.95,196.74,968024,968024,4.69,2.43,195.57,"December 03, 25",0.0243,,,,,
2025-12-02,203.24,203.24,191.65,192.55,191.38,1314000,1314000,-10.69,-5.26,197.67,"December 02, 25",-0.0526,,,,,
2025-12-01,203.49,205.45,202.88,203.24,202,590010,590010,-0.25,-0.12286,203.765,"December 01, 25",-0.0012286,,,,,
2025-11-28,203.07,205.68,201.66,204.07,202.83,292410,292410,1,0.49244,203.62,"November 28, 25",0.0049244,,,,,
2025-11-26,200.68,204.37,200.63,203.49,202.25,498934,498934,2.81,1.4,202.2925,"November 26, 25",0.014,,,,,
2025-11-25,198.88,201.7,197.73,201.26,200.03,545631,545631,2.38,1.2,199.8925,"November 25, 25",0.012,,,,,
2025-11-24,196.35,198.17,195.62,197.32,196.12,749615,749615,0.97,0.49402,196.865,"November 24, 25",0.0049402,,,,,
2025-11-21,192.71,198.5,192.58,197.31,196.11,707434,707434,4.6,2.39,195.275,"November 21, 25",0.0239,,,,,
2025-11-20,195.17,196.37,191.5,191.68,190.51,914617,914617,-3.49,-1.79,193.68,"November 20, 25",-0.0179,,,,,
2025-11-19,196.38,196.69,192.75,194.31,193.13,939803,939803,-2.07,-1.05,195.0325,"November 19, 25",-0.0105,,,,,
2025-11-18,196.22,197.93,194.49,196.63,195.43,608014,608014,0.41,0.20895,196.3175,"November 18, 25",0.0020895,,,,,
2025-11-17,197.21,197.53,194.85,196.67,195.47,896100,896100,-0.54,-0.27382,196.565,"November 17, 25",-0.0027382,,,,,
2025-11-14,198.17,198.66,195.26,197.22,196.02,835017,835017,-0.95,-0.47939,197.3275,"November 14, 25",-0.0047939,,,,,
2025-11-13,200.99,202.93,198.88,199.09,197.88,735430,735430,-1.9,-0.94532,200.4725,"November 13, 25",-0.0094532,,,,,
2025-11-12,203.05,204.11,200.42,200.44,199.22,789400,789400,-2.61,-1.29,202.005,"November 12, 25",-0.0129,,,,,
2025-11-11,201.74,203.34,200.88,203.02,201.78,585841,585841,1.28,0.63448,202.245,"November 11, 25",0.0063448,,,,,
2025-11-10,200.55,201.69,198.48,200.72,199.5,709200,709200,0.17,0.08476689,200.36,"November 10, 25",0.0008476689,,,,,
2025-11-07,198,200.83,195.75,200.55,199.33,573114,573114,2.55,1.29,198.7825,"November 07, 25",0.0129,,,,,
2025-11-06,198.18,200.62,196.67,198.09,196.88,842301,842301,-0.09,-0.04541326,198.39,"November 06, 25",-0.0004541326,,,,,
2025-11-05,197.33,199.6,196.17,199.12,197.91,1337200,1337200,1.79,0.90711,198.055,"November 05, 25",0.0090711,,,,,
2025-11-04,195.16,198.14,194.68,197.16,195.96,841000,841000,2,1.02,196.285,"November 04, 25",0.0102,,,,,
2025-11-03,194.46,195.8,192.82,195.59,194.4,862900,862900,1.13,0.5811,194.6675,"November 03, 25",0.005811,,,,,
2025-10-31,194.98,196.68,193.07,195.76,194.57,835200,835200,0.78,0.40004,195.1225,"October 31, 25",0.0040004,,,,,
2025-10-30,195.57,199.01,194.83,196.16,194.96,825554,825554,0.59,0.30168,196.3925,"October 30, 25",0.0030168,,,,,
2025-10-29,204.78,204.78,195.79,196.65,195.45,996376,996376,-8.13,-3.97,200.5,"October 29, 25",-0.0397,,,,,
2025-10-28,205.88,208.61,205.26,206.16,204.9,468027,468027,0.28,0.136,206.4775,"October 28, 25",0.00136,,,,,
2025-10-27,205.48,208.84,204.84,206.61,205.35,733700,733700,1.13,0.54993,206.4425,"October 27, 25",0.0054993,,,,,
2025-10-24,212.17,215.77,204.23,204.83,203.58,1351400,1351400,-7.34,-3.46,209.25,"October 24, 25",-0.0346,,,,,
2025-10-23,199.35,213.43,198.27,213.26,211.96,1904342,1904342,13.91,6.98,206.0775,"October 23, 25",0.0698,,,,,
2025-10-22,208.99,212.52,207.8,208.74,207.47,1446300,1446300,-0.25,-0.11962,209.5125,"October 22, 25",-0.0011962,,,,,
2025-10-21,206.23,208.62,204.75,208.13,206.86,692817,692817,1.9,0.9213,206.9325,"October 21, 25",0.009213,,,,,
2025-10-20,203.97,206.01,201.89,205.88,204.62,820800,820800,1.91,0.93641,204.4375,"October 20, 25",0.0093641,,,,,
2025-10-17,205.95,207.02,202.37,203.33,202.09,772300,772300,-2.62,-1.27,204.6675,"October 17, 25",-0.0127,,,,,
2025-10-16,209.94,210.38,205.23,205.34,204.09,583700,583700,-4.6,-2.19,207.7225,"October 16, 25",-0.0219,,,,,
2025-10-15,211.12,211.42,207.25,209.65,208.37,659700,659700,-1.47,-0.69629,209.86,"October 15, 25",-0.0069629,,,,,
2025-10-14,206.28,212.3,204.88,210.76,209.47,685400,685400,4.48,2.17,208.555,"October 14, 25",0.0217,,,,,
2025-10-13,208.67,209.81,206.19,207.75,206.48,486300,486300,-0.92,-0.44089,208.105,"October 13, 25",-0.0044089,,,,,
2025-10-10,212.48,212.98,206.58,206.75,205.49,645300,645300,-5.73,-2.7,209.6975,"October 10, 25",-0.027,,,,,
2025-10-09,214.76,214.76,210.4,211.39,210.1,624508,624508,-3.37,-1.57,212.8275,"October 09, 25",-0.0157,,,,,
2025-10-08,210.85,214.26,209.48,213.28,211.98,596249,596249,2.43,1.15,211.9675,"October 08, 25",0.0115,,,,,
2025-10-07,213.33,215.15,210.08,210.55,209.27,413900,413900,-2.78,-1.3,212.2775,"October 07, 25",-0.013,,,,,
2025-10-06,214.11,214.25,211.87,212.93,211.63,590306,590306,-1.18,-0.55112,213.29,"October 06, 25",-0.0055112,,,,,
2025-10-03,215.34,216.95,214.51,214.54,213.23,332141,332141,-0.8,-0.37151,215.335,"October 03, 25",-0.0037151,,,,,
2025-10-02,214.85,216.3,213.04,215.64,214.32,569200,569200,0.79,0.3677,214.9575,"October 02, 25",0.003677,,,,,
2025-10-01,216.93,218.56,214.67,214.85,213.54,663900,663900,-2.08,-0.95883,216.2525,"October 01, 25",-0.0095883,,,,,
2025-09-30,215.55,218.33,215.06,217.93,216.6,591800,591800,2.38,1.1,216.7175,"September 30, 25",0.011,,,,,
2025-09-29,216.59,216.59,214.73,216.27,214.95,506700,506700,-0.32,-0.14774,216.045,"September 29, 25",-0.0014774,,,,,
2025-09-26,213.53,216.06,211.52,215.95,214.63,576800,576800,2.42,1.13,214.265,"September 26, 25",0.0113,,,,,
2025-09-25,214.09,215.12,212.37,213.14,211.84,600000,600000,-0.95,-0.44374,213.68,"September 25, 25",-0.0044374,,,,,
2025-09-24,216.78,217.9,213.88,215.32,214.01,510000,510000,-1.46,-0.67349,215.97,"September 24, 25",-0.0067349,,,,,
2025-09-23,212.54,214.91,212.54,213.71,212.41,422702,422702,1.17,0.55048,213.425,"September 23, 25",0.0055048,,,,,
2025-09-22,212.04,213.44,210.17,212.71,211.41,464101,464101,0.67,0.31598,212.09,"September 22, 25",0.0031598,,,,,
2025-09-19,213.78,213.78,210.52,211.28,209.99,1158000,1158000,-2.5,-1.17,212.34,"September 19, 25",-0.0117,,,,,
2025-09-18,212.16,214.66,210.61,213.96,212.65,571000,571000,1.8,0.84842,212.8475,"September 18, 25",0.0084842,,,,,
2025-09-17,213.94,217.01,211.84,212.08,210.79,577305,577305,-1.86,-0.8694,213.7175,"September 17, 25",-0.008694,,,,,
2025-09-16,210.93,212.19,209.93,211.47,210.18,636200,636200,0.54,0.25601,211.13,"September 16, 25",0.0025601,,,,,
2025-09-15,214.53,215.28,211.52,211.81,210.52,786400,786400,-2.72,-1.27,213.285,"September 15, 25",-0.0127,2025-08-20,2025-09-15,1.25,1.25,2025-10-15
2025-09-12,215.74,216.85,214.91,215.15,212.6,471235,471235,-0.59,-0.27348,215.6625,"September 12, 25",-0.0027348,,,,,
2025-09-11,212.91,217.51,212.52,217.03,214.46,620100,620100,4.12,1.94,214.9925,"September 11, 25",0.0194,,,,,
2025-09-10,213.05,215.73,212.69,213.05,210.53,616608,616608,0,0,213.63,"September 10, 25",0,,,,,
2025-09-09,215.95,216.67,212.86,214.07,211.53,748000,748000,-1.88,-0.87057,214.8875,"September 09, 25",-0.0087057,,,,,
2025-09-08,219.63,220.14,214.84,215.93,213.37,1008600,1008600,-3.7,-1.68,217.635,"September 08, 25",-0.0168,,,,,
2025-09-05,217.32,220.31,217.02,220.25,217.64,873545,873545,2.93,1.35,218.725,"September 05, 25",0.0135,,,,,
2025-09-04,212.54,216.8,211.05,216.72,214.15,725400,725400,4.18,1.97,214.2775,"September 04, 25",0.0197,,,,,
2025-09-03,215.53,216.84,212.8,212.93,210.41,623000,623000,-2.6,-1.21,214.525,"September 03, 25",-0.0121,,,,,
2025-09-02,214.81,216.96,213.61,216.45,213.89,687300,687300,1.64,0.76347,215.4575,"September 02, 25",0.0076347,,,,,
2025-08-29,217.44,219.37,216.7,217.96,215.38,938000,938000,0.52,0.23915,217.8675,"August 29, 25",0.0023915,,,,,
2025-08-28,212.3,217.24,211.06,216.65,214.08,1184624,1184624,4.35,2.05,214.3125,"August 28, 25",0.0205,,,,,
2025-08-27,210.68,212.66,209.41,210.69,208.19,624300,624300,0.01,0.00474654,210.86,"August 27, 25",4.74654e-05,,,,,
2025-08-26,211.38,212.19,210.16,211.62,209.11,1234305,1234305,0.24,0.11354,211.3375,"August 26, 25",0.0011354,,,,,
2025-08-25,212.16,212.55,209.77,212.23,209.72,595000,595000,0.07,0.03299397,211.6775,"August 25, 25",0.0003299397,,,,,
2025-08-22,211.36,216.78,210.01,212.74,210.22,1435500,1435500,1.38,0.65291,212.7225,"August 22, 25",0.0065291,,,,,
2025-08-21,198.91,212.09,198.2,210.35,207.86,2555321,2555321,11.44,5.75,204.8875,"August 21, 25",0.0575,,,,,
2025-08-20,198.6,198.71,196.91,198.12,195.77,564000,564000,-0.48,-0.24169,198.085,"August 20, 25",-0.0024169,,,,,
2025-08-19,195.06,198.29,194.68,198.25,195.9,560220,560220,3.19,1.64,196.57,"August 19, 25",0.0164,,,,,
2025-08-18,193.32,195.05,192.56,194.11,191.81,670938,670938,0.79,0.40865,193.76,"August 18, 25",0.0040865,,,,,
2025-08-15,197.16,197.16,193.17,193.42,191.13,797525,797525,-3.74,-1.9,195.2275,"August 15, 25",-0.019,,,,,
2025-08-14,198.79,198.79,195.27,196.52,194.19,410600,410600,-2.27,-1.14,197.3425,"August 14, 25",-0.0114,,,,,
2025-08-13,199.05,200.88,198.32,200.79,198.41,483907,483907,1.74,0.87415,199.76,"August 13, 25",0.0087415,,,,,
2025-08-12,196.77,199.15,196.29,198.96,196.6,520625,520625,2.19,1.11,197.7925,"August 12, 25",0.0111,,,,,
2025-08-11,196.67,198.21,194.63,196.62,194.29,482216,482216,-0.05,-0.0254233,196.5325,"August 11, 25",-0.000254233,,,,,
2025-08-08,195.36,197.25,194.5,196.43,194.1,440978,440978,1.07,0.54771,195.885,"August 08, 25",0.0054771,,,,,
2025-08-07,193.82,195.62,192.43,194.86,192.55,455500,455500,1.04,0.53658,194.1825,"August 07, 25",0.0053658,,,,,
2025-08-06,193.12,193.12,191.13,192.22,189.94,624543,624543,-0.9,-0.46603,192.3975,"August 06, 25",-0.0046603,,,,,
2025-08-05,193.08,193.93,191.79,193.51,191.22,505600,505600,0.43,0.22271,193.0775,"August 05, 25",0.0022271,,,,,
2025-08-04,191.68,194.4,191.46,193.08,190.79,576300,576300,1.4,0.73038,192.655,"August 04, 25",0.0073038,,,,,
2025-08-01,192.47,192.57,189.03,191.41,189.14,615941,615941,-1.06,-0.55074,191.37,"August 01, 25",-0.0055074,,,,,
2025-07-31,197.42,199.34,193.15,193.75,191.45,1144500,1144500,-3.67,-1.86,195.915,"July 31, 25",-0.0186,,,,,
2025-07-30,202.2,202.2,197.93,198.43,196.08,945157,945157,-3.77,-1.86,200.19,"July 30, 25",-0.0186,,,,,
2025-07-29,205,205.84,202.13,203.06,200.65,652000,652000,-1.94,-0.94634,204.0075,"July 29, 25",-0.0094634,,,,,
2025-07-28,205.59,206.04,203.55,204.18,201.76,516700,516700,-1.41,-0.68583,204.84,"July 28, 25",-0.0068583,,,,,
2025-07-25,206.29,207.75,204.13,206.53,204.08,629946,629946,0.24,0.11634,206.175,"July 25, 25",0.0011634,,,,,
2025-07-24,206.32,212.43,203.95,205.93,203.49,893820,893820,-0.39,-0.18903,207.1575,"July 24, 25",-0.0018903,,,,,
2025-07-23,206.62,207.67,205.53,206.32,203.88,900400,900400,-0.3,-0.14519,206.535,"July 23, 25",-0.0014519,,,,,
2025-07-22,201.69,205.8,201.69,205.29,202.86,813823,813823,3.6,1.78,203.6175,"July 22, 25",0.0178,,,,,
2025-07-21,200.2,204.63,199.47,201.39,199,843300,843300,1.19,0.59441,201.4225,"July 21, 25",0.0059441,,,,,
2025-07-18,202.11,202.44,199.1,199.81,197.44,913600,913600,-2.3,-1.14,200.865,"July 18, 25",-0.0114,,,,,
2025-07-17,202.19,203.63,201.33,202.24,199.84,468417,468417,0.05,0.02472922,202.3475,"July 17, 25",0.0002472922,,,,,
2025-07-16,199.98,202.92,198.6,202.57,200.17,621500,621500,2.59,1.3,201.0175,"July 16, 25",0.013,,,,,
2025-07-15,203.57,204.17,199.64,199.68,197.31,517464,517464,-3.89,-1.91,201.765,"July 15, 25",-0.0191,,,,,
2025-07-14,204.68,205.95,203.27,203.39,200.98,459409,459409,-1.29,-0.63025,204.3225,"July 14, 25",-0.0063025,,,,,
2025-07-11,205.38,206.63,204.5,205.9,203.46,432717,432717,0.52,0.25319,205.6025,"July 11, 25",0.0025319,,,,,
2025-07-10,204.56,209.58,203.06,207.24,204.78,655325,655325,2.68,1.31,206.11,"July 10, 25",0.0131,,,,,
2025-07-09,204.06,204.46,202.33,204.08,201.66,738316,738316,0.02,0.00980104,203.7325,"July 09, 25",9.80104e-05,,,,,
2025-07-08,201.26,204.46,201.24,202.77,200.37,731053,731053,1.51,0.75027,202.4325,"July 08, 25",0.0075027,,,,,
2025-07-07,201.8,202.49,200.12,201.27,198.88,621215,621215,-0.53,-0.26264,201.42,"July 07, 25",-0.0026264,,,,,
2025-07-03,201.69,203.58,200.7,202.29,199.89,393100,393100,0.6,0.29749,202.065,"July 03, 25",0.0029749,,,,,
2025-07-02,203.11,203.69,200.25,201.94,199.55,1033100,1033100,-1.17,-0.57604,202.2475,"July 02, 25",-0.0057604,,,,,
2025-07-01,193.95,204.18,189.88,202.75,200.35,1512158,1512158,8.8,4.54,197.69,"July 01, 25",0.0454,,,,,
2025-06-30,189.27,189.27,187.42,188.45,186.22,734217,734217,-0.82,-0.43324,188.6025,"June 30, 25",-0.0043324,,,,,
2025-06-27,188.46,190.48,187.41,189.41,187.17,673600,673600,0.95,0.50409,188.94,"June 27, 25",0.0050409,,,,,
2025-06-26,187.79,188.38,186.28,187.65,185.43,560620,560620,-0.14,-0.07455136,187.525,"June 26, 25",-0.0007455136,,,,,
2025-06-25,189.6,189.6,186.3,186.84,184.63,423511,423511,-2.76,-1.46,188.085,"June 25, 25",-0.0146,,,,,
2025-06-24,190,191.23,188.74,189.41,187.17,634930,634930,-0.59,-0.31053,189.845,"June 24, 25",-0.0031053,,,,,
2025-06-23,186.63,189.06,184.76,188.7,186.46,773600,773600,2.07,1.11,187.2875,"June 23, 25",0.0111,,,,,
2025-06-20,186.73,188.16,185.94,186.86,184.65,1141935,1141935,0.13,0.06961924,186.9225,"June 20, 25",0.0006961924,,,,,
2025-06-18,186.75,187.7,185.77,186.23,184.02,590100,590100,-0.52,-0.27845,186.6125,"June 18, 25",-0.0027845,,,,,
2025-06-17,189.09,189.3,186.04,186.35,184.14,794511,794511,-2.74,-1.45,187.695,"June 17, 25",-0.0145,,,,,
2025-06-16,188.47,191.37,185.95,189.46,187.21,525889,525889,0.99,0.52528,188.8125,"June 16, 25",0.0052528,,,,,
2025-06-13,190.33,191.41,187.7,188.56,186.33,524269,524269,-1.77,-0.92996,189.5,"June 13, 25",-0.0092996,2025-05-07,2025-06-13,1.25,1.25,2025-07-15
2025-06-12,191.6,193.48,189.94,193.31,189.78,462200,462200,1.71,0.89248,192.0825,"June 12, 25",0.0089248,,,,,
2025-06-11,197.1,197.1,192.25,193.21,189.68,815200,815200,-3.89,-1.97,194.915,"June 11, 25",-0.0197,,,,,
2025-06-10,196.68,197.43,196.13,197.24,193.64,678600,678600,0.56,0.28473,196.87,"June 10, 25",0.0028473,,,,,
2025-06-09,196.64,198.08,196.2,196.59,193,811400,811400,-0.05,-0.02542718,196.8775,"June 09, 25",-0.0002542718,,,,,
2025-06-06,196.49,198.53,195.56,196.4,192.81,703900,703900,-0.09,-0.04580386,196.745,"June 06, 25",-0.0004580386,,,,,
2025-06-05,193.98,195.71,192.9,194.7,191.14,899323,899323,0.72,0.37117,194.3225,"June 05, 25",0.0037117,,,,,
2025-06-04,193.37,196.22,193.24,193.34,189.81,1002705,1002705,-0.03,-0.0155143,194.0425,"June 04, 25",-0.000155143,,,,,
2025-06-03,191.92,194.22,191.21,194.08,190.54,1219100,1219100,2.16,1.13,192.8575,"June 03, 25",0.0113,,,,,
2025-06-02,192.38,192.65,189.18,192.26,188.75,629300,629300,-0.12,-0.06237655,191.6175,"June 02, 25",-0.0006237655,,,,,
2025-05-30,191.81,194.04,191.11,193.17,189.64,1062503,1062503,1.36,0.70903,192.5325,"May 30, 25",0.0070903,,,,,
2025-05-29,193.02,193.41,191.85,193,189.48,810200,810200,-0.02,-0.01036162,192.82,"May 29, 25",-0.0001036162,,,,,
2025-05-28,193.82,194.65,191.63,192.22,188.71,743178,743178,-1.6,-0.82551,193.08,"May 28, 25",-0.0082551,,,,,
2025-05-27,193.23,193.84,191.76,193.82,190.28,543904,543904,0.59,0.30534,193.1625,"May 27, 25",0.0030534,,,,,
2025-05-23,190.02,191.48,189.25,190.7,187.22,594739,594739,0.68,0.35786,190.3625,"May 23, 25",0.0035786,,,,,
2025-05-22,189.87,193.71,189.13,192.53,189.01,783703,783703,2.66,1.4,191.31,"May 22, 25",0.014,,,,,
2025-05-21,191.7,192.69,189.79,190.79,187.31,559900,559900,-0.91,-0.4747,191.2425,"May 21, 25",-0.004747,,,,,
2025-05-20,193.75,194.68,192.61,193.57,190.04,513000,513000,-0.18,-0.09290323,193.6525,"May 20, 25",-0.0009290323,,,,,
2025-05-19,192.13,194.58,191.73,194.44,190.89,681229,681229,2.31,1.2,193.22,"May 19, 25",0.012,,,,,
2025-05-16,190.67,194.58,190,194.22,190.67,829408,829408,3.55,1.86,192.3675,"May 16, 25",0.0186,,,,,
2025-05-15,190.7,192.27,190.23,190.75,187.27,891346,891346,0.05,0.02621919,190.9875,"May 15, 25",0.0002621919,,,,,
2025-05-14,188.56,193.45,185.73,191.91,188.41,1397250,1397250,3.35,1.78,189.9125,"May 14, 25",0.0178,,,,,
2025-05-13,190,191.09,188.51,188.79,185.34,722088,722088,-1.21,-0.63684,189.5975,"May 13, 25",-0.0063684,,,,,
2025-05-12,188.71,193.57,187.28,190.39,186.91,1128019,1128019,1.68,0.89025,189.9875,"May 12, 25",0.0089025,,,,,
2025-05-09,181.68,182.77,178.32,181.42,178.11,617100,617100,-0.26,-0.14311,181.0475,"May 09, 25",-0.0014311,,,,,
2025-05-08,181.5,184.53,180.61,183.42,180.07,884323,884323,1.92,1.06,182.515,"May 08, 25",0.0106,,,,,
2025-05-07,181.28,182.14,179.6,180,176.71,551914,551914,-1.28,-0.70609,180.755,"May 07, 25",-0.0070609,,,,,
2025-05-06,180.39,180.91,178.3,180.12,176.83,792800,792800,-0.27,-0.14968,179.93,"May 06, 25",-0.0014968,,,,,
2025-05-05,184.79,184.79,178.56,181.22,177.91,1046400,1046400,-3.57,-1.93,182.34,"May 05, 25",-0.0193,,,,,
2025-05-02,186.74,187.8,185.3,187.42,184,551714,551714,0.68,0.36414,186.815,"May 02, 25",0.0036414,,,,,
2025-05-01,185.02,187.26,183.15,183.37,180.02,719200,719200,-1.65,-0.8918,184.7,"May 01, 25",-0.008918,,,,,
2025-04-30,183.25,185.94,180.46,185.61,182.22,715109,715109,2.36,1.29,183.815,"April 30, 25",0.0129,,,,,
2025-04-29,185.54,187.13,183.99,185.98,182.58,740412,740412,0.44,0.23715,185.66,"April 29, 25",0.0023715,,,,,
2025-04-28,185.13,188.72,184.21,186.39,182.99,845002,845002,1.26,0.6806,186.1125,"April 28, 25",0.006806,,,,,
2025-04-25,188.21,188.43,183.18,184.82,181.45,679946,679946,-3.39,-1.8,186.16,"April 25, 25",-0.018,,,,,
2025-04-24,183.21,190.56,183.21,188.71,185.26,1088155,1088155,5.5,3,186.4225,"April 24, 25",0.03,,,,,
2025-04-23,179.54,192.19,176.45,184.69,181.32,1694231,1694231,5.15,2.87,183.2175,"April 23, 25",0.0287,,,,,
2025-04-22,182.78,187.01,182.78,186.42,183.02,1387214,1387214,3.64,1.99,184.7475,"April 22, 25",0.0199,,,,,
2025-04-21,185.64,185.64,179.72,182.07,178.75,868141,868141,-3.57,-1.92,183.2675,"April 21, 25",-0.0192,,,,,
2025-04-17,187.62,189.32,186.5,187.19,183.77,506944,506944,-0.43,-0.22919,187.6575,"April 17, 25",-0.0022919,,,,,
2025-04-16,188.34,189.26,185.52,186.74,183.33,856406,856406,-1.6,-0.84953,187.465,"April 16, 25",-0.0084953,,,,,
2025-04-15,189.59,191.8,188.13,188.71,185.26,447513,447513,-0.88,-0.46416,189.5575,"April 15, 25",-0.0046416,,,,,
2025-04-14,192.72,193.53,187.8,190.65,187.17,649857,649857,-2.07,-1.07,191.175,"April 14, 25",-0.0107,,,,,
2025-04-11,184.28,189.76,182.21,188.94,185.49,830700,830700,4.66,2.53,186.2975,"April 11, 25",0.0253,,,,,
2025-04-10,186.47,187.28,180,185.45,182.06,1100200,1100200,-1.02,-0.547,184.8,"April 10, 25",-0.00547,,,,,
2025-04-09,173.35,191.02,172.72,189.44,185.98,1301018,1301018,16.09,9.28,181.6325,"April 09, 25",0.0928,,,,,
2025-04-08,185.39,185.51,173.03,175.97,172.76,1392000,1392000,-9.42,-5.08,179.975,"April 08, 25",-0.0508,,,,,
2025-04-07,177.58,187.46,173.71,181.04,177.73,1432542,1432542,3.46,1.95,179.9475,"April 07, 25",0.0195,,,,,
2025-04-04,185.05,187.24,178.85,183.42,180.07,1554714,1554714,-1.63,-0.88084,183.64,"April 04, 25",-0.0088084,,,,,
2025-04-03,197.22,197.22,186.5,189.16,185.71,1537469,1537469,-8.06,-4.09,192.525,"April 03, 25",-0.0409,,,,,
2025-04-02,197.78,202.47,197.23,201.36,197.68,680100,680100,3.58,1.81,199.71,"April 02, 25",0.0181,,,,,
2025-04-01,198.31,200.1,195.64,199.93,196.28,669900,669900,1.62,0.8169,198.495,"April 01, 25",0.008169,,,,,
2025-03-31,195.14,198.83,193.13,198.02,194.4,776902,776902,2.88,1.48,196.28,"March 31, 25",0.0148,,,,,
2025-03-28,198.36,198.42,194.69,195.5,191.93,493203,493203,-2.86,-1.44,196.7425,"March 28, 25",-0.0144,,,,,
2025-03-27,198.52,201.38,197.2,198.27,194.65,505913,505913,-0.25,-0.12593,198.8425,"March 27, 25",-0.0012593,,,,,
2025-03-26,198.01,200.85,197.98,199.5,195.86,821218,821218,1.49,0.75249,199.085,"March 26, 25",0.0075249,,,,,
2025-03-25,201.87,202.03,197.16,198.76,195.13,999426,999426,-3.11,-1.54,199.955,"March 25, 25",-0.0154,,,,,
2025-03-24,195.35,201.09,195.35,200.81,197.14,1002869,1002869,5.46,2.79,198.15,"March 24, 25",0.0279,,,,,
2025-03-21,195.32,195.88,192.49,194.41,190.86,2535164,2535164,-0.91,-0.4659,194.525,"March 21, 25",-0.004659,,,,,
2025-03-20,196.85,199.41,196.53,197.18,193.58,929517,929517,0.33,0.16764,197.4925,"March 20, 25",0.0016764,,,,,
2025-03-19,197.31,199.73,196.87,198.49,194.87,817818,817818,1.18,0.59804,198.1,"March 19, 25",0.0059804,,,,,
2025-03-18,198.42,198.92,196.64,197.61,194,563322,563322,-0.81,-0.40822,197.8975,"March 18, 25",-0.0040822,,,,,
2025-03-17,197.58,199.71,197.24,198.51,194.89,796300,796300,0.93,0.4707,198.26,"March 17, 25",0.004707,,,,,
2025-03-14,192.31,197.39,190.8,196.8,193.21,1416613,1416613,4.49,2.33,194.325,"March 14, 25",0.0233,2025-02-26,2025-03-14,1.25,1.25,2025-04-15
2025-03-13,197.8,197.8,191.27,192.03,187.3,815635,815635,-5.77,-2.92,194.725,"March 13, 25",-0.0292,,,,,
2025-03-12,199.11,199.33,196.86,197.3,192.44,686851,686851,-1.81,-0.90905,198.15,"March 12, 25",-0.0090905,,,,,
2025-03-11,199.86,199.86,196.1,197.45,192.59,879100,879100,-2.41,-1.21,198.3175,"March 11, 25",-0.0121,,,,,
