symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
EVRG,2025-10-20,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-17,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-16,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-15,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-14,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-13,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-10,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-09,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-08,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-07,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-06,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-03,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-02,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-01,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-09-30,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-29,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-26,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-25,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-24,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-23,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
