date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,paymentDate,recordDate
2025-04-03,72.16,73.42,70.65,70.73,69.12,6681250,6681250,-1.43,-1.98,71.74,"April 03, 25",-0.0198,,,,,
2025-04-02,71.12,73.11,71.12,72.84,71.18,4726853,4726853,1.72,2.42,72.0475,"April 02, 25",0.0242,,,,,
2025-04-01,71.09,71.68,70.35,71.56,69.93,5649824,5649824,0.47,0.66113,71.17,"April 01, 25",0.0066113,,,,,
2025-03-31,69.95,71.64,69.74,71.36,69.73,5007500,5007500,1.41,2.02,70.6725,"March 31, 25",0.0202,,,,,
2025-03-28,70.48,70.5,69.62,69.73,68.14,3114300,3114300,-0.75,-1.06,70.0825,"March 28, 25",-0.0106,,,,,
2025-03-27,70.5,70.72,69.92,70.06,68.46,4412700,4412700,-0.44,-0.62411,70.3,"March 27, 25",-0.0062411,,,,,
2025-03-26,69.35,70.98,69.3,70.77,69.16,5304636,5304636,1.42,2.05,70.1,"March 26, 25",0.0205,,,,,
2025-03-25,70.26,70.26,68.77,69.11,67.53,4456152,4456152,-1.15,-1.64,69.6,"March 25, 25",-0.0164,,,,,
2025-03-24,70.01,70.76,69.71,70.26,68.66,4073989,4073989,0.25,0.35709,70.185,"March 24, 25",0.0035709,,,,,
2025-03-21,69.72,70.22,69.17,69.54,67.96,7235943,7235943,-0.18,-0.25818,69.6625,"March 21, 25",-0.0025818,,,,,
2025-03-20,70.19,70.89,69.69,70,68.4,6093400,6093400,-0.19,-0.27069,70.1925,"March 20, 25",-0.0027069,2025-02-25,0.645,0.645,2025-04-15,2025-03-20
2025-03-19,70.91,71.2,70.33,71.09,68.84,5920449,5920449,0.18,0.25384,70.8825,"March 19, 25",0.0025384,,,,,
2025-03-18,70.44,71.33,70.11,70.75,68.51,3915110,3915110,0.305,0.44009,70.6575,"March 18, 25",0.0044009,,,,,
2025-03-17,70.21,71.81,70,71.06,68.81,4759431,4759431,0.85,1.21,70.77,"March 17, 25",0.0121,,,,,
2025-03-14,68.5,70.35,67.88,70.21,67.99,5795800,5795800,1.71,2.5,69.235,"March 14, 25",0.025,,,,,
2025-03-13,68.48,69.38,67.6,67.85,65.7,4990245,4990245,-0.63,-0.91998,68.3275,"March 13, 25",-0.0091998,,,,,
2025-03-12,69.11,69.86,68.48,68.95,66.77,4422150,4422150,-0.16,-0.23151,69.1,"March 12, 25",-0.0023151,,,,,
2025-03-11,69.69,70.7,68.47,68.79,66.61,6969900,6969900,-0.9,-1.29,69.4125,"March 11, 25",-0.0129,,,,,
2025-03-10,69.1,69.72,67.46,69.47,67.27,9239595,9239595,0.37,0.53546,68.9375,"March 10, 25",0.0053546,,,,,
