date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-05-30,204.1,209.39,202.7,208.65,208.65,4853711,4853711,4.55,2.23,206.21,"May 30, 25",0.0223
2025-05-29,208.8,209.2,202.68,204.58,204.58,3080832,3080832,-4.22,-2.02,206.315,"May 29, 25",-0.0202
2025-05-28,204.75,210.71,204.24,206.59,206.59,6635010,6635010,1.84,0.89866,206.5725,"May 28, 25",0.0089866
2025-05-27,205.44,208.56,202.52,204.89,204.89,5325200,5325200,-0.55,-0.26772,205.3525,"May 27, 25",-0.0026772
2025-05-23,197.62,207.22,197.25,206.15,206.15,4365898,4365898,8.53,4.32,202.06,"May 23, 25",0.0432
2025-05-22,204.5,206.54,200.66,200.87,200.87,3169735,3169735,-3.63,-1.78,203.1425,"May 22, 25",-0.0178
2025-05-21,202.49,209.64,201.5,204.77,204.77,5674308,5674308,2.28,1.13,204.6,"May 21, 25",0.0113
2025-05-20,200.9,206,198.51,205.18,205.18,6046526,6046526,4.28,2.13,202.6475,"May 20, 25",0.0213
2025-05-19,198.78,203.42,198.75,202.18,202.18,3337130,3337130,3.41,1.71,200.7825,"May 19, 25",0.0171
2025-05-16,198,202.63,196.83,202,202,4188500,4188500,4,2.02,199.865,"May 16, 25",0.0202
2025-05-15,195.58,199.47,194.96,197.1,197.1,3558528,3558528,1.52,0.77718,196.7775,"May 15, 25",0.0077718
2025-05-14,197.17,199.27,195.95,196.84,196.84,3505346,3505346,-0.33,-0.16737,197.3075,"May 14, 25",-0.0016737
2025-05-13,192.09,198.45,191.78,197.8,197.8,3844543,3844543,5.71,2.97,195.03,"May 13, 25",0.0297
2025-05-12,191.61,192.83,185.9,192.1,192.1,4918100,4918100,0.49,0.25573,190.61,"May 12, 25",0.0025573
2025-05-09,183.19,185.59,180.58,183.52,183.52,3423236,3423236,0.33,0.18014,183.22,"May 09, 25",0.0018014
2025-05-08,180.46,183.75,178.36,182.96,182.96,4158800,4158800,2.5,1.39,181.3825,"May 08, 25",0.0139
2025-05-07,189.76,190.09,175.5,176.99,176.99,8627906,8627906,-12.77,-6.73,183.085,"May 07, 25",-0.0673
2025-05-06,193.75,195.42,185.25,190.11,190.11,9580800,9580800,-3.64,-1.88,191.1325,"May 06, 25",-0.0188
2025-05-05,203.22,207.23,201.05,205.4,205.4,5617500,5617500,2.19,1.07,204.225,"May 05, 25",0.0107
2025-05-02,200.07,205.89,199.43,205.09,205.09,4488220,4488220,5.02,2.51,202.62,"May 02, 25",0.0251
2025-05-01,194.41,197.75,192.66,196.2,196.2,4151610,4151610,1.79,0.92073,195.255,"May 01, 25",0.0092073
2025-04-30,186.19,193.3,183.76,192.89,192.89,3169900,3169900,6.7,3.6,189.035,"April 30, 25",0.036
2025-04-29,186.15,191.85,185.85,191.23,191.23,2853500,2853500,5.08,2.73,188.77,"April 29, 25",0.0273
2025-04-28,188.81,190.69,186.55,187.88,187.88,3083900,3083900,-0.93,-0.49256,188.4825,"April 28, 25",-0.0049256
