date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-12-31,77.81,78.31,77.36,77.53,77.529999,514668,514700,-0.28,-0.35985,77.72,"December 31, 21",-0.0035985
2021-12-30,78.06,78.67,77.8,77.95,77.949997,499655,499700,-0.11,-0.14092,78.06,"December 30, 21",-0.0014092
2021-12-29,76.6357,78.419,76.6357,78.06,78.059998,560654,560700,1.4243,1.86,78.03,"December 29, 21",0.0186
2021-12-28,76.18,77.17,76.18,76.87,76.87,454340,454300,0.69,0.90575,76.77,"December 28, 21",0.0090575
2021-12-27,75.29,76.28,74.99,76.24,76.239998,317118,317100,0.95,1.26,75.92,"December 27, 21",0.0126
2021-12-23,74.4,75.17,74.315,74.93,74.93,380163,380200,0.53,0.71237,74.87,"December 23, 21",0.0071237
2021-12-22,73.08,74.51,72.98,74.33,74.33,407309,407300,1.25,1.71,74.09,"December 22, 21",0.0171
2021-12-21,73.46,74.24,72.55,72.96,72.959999,660769,660800,-0.5,-0.68064,73.17,"December 21, 21",-0.0068064
2021-12-20,73.14,73.35,71.42,72.88,72.879997,652945,652900,-0.26,-0.35548,72.53,"December 20, 21",-0.0035548
2021-12-17,74.04,75.09,73.27,73.75,73.75,1441002,1440800,-0.29,-0.39168,73.91,"December 17, 21",-0.0039168
2021-12-16,73.84,75.51,73.54,73.63,73.629997,655061,655100,-0.21,-0.2844,74.17,"December 16, 21",-0.002844
2021-12-15,74.61,74.61,72.67,73.51,73.51,822629,822600,-1.1,-1.47,73.35,"December 15, 21",-0.0147
2021-12-14,74.96,76.23,74.43,74.55,74.55,900274,900300,-0.41,-0.54696,74.96,"December 14, 21",-0.0054696
2021-12-13,75.65,76.29,74.16,75.16,75.16,757578,757600,-0.49,-0.64772,75,"December 13, 21",-0.0064772
2021-12-10,76,76.36,74.76,75.68,75.68,792035,792000,-0.32,-0.42105,75.55,"December 10, 21",-0.0042105
2021-12-09,74.97,76.6,74.79,75.76,75.76,1079194,1079200,0.79,1.05,75.99,"December 09, 21",0.0105
2021-12-08,74.84,75.62,72.28,75.03,75.029999,986216,986200,0.19,0.25387,74.96,"December 08, 21",0.0025387
2021-12-07,73.22,74.975,73,74.58,74.58,1458621,1458600,1.36,1.86,74.26,"December 07, 21",0.0186
2021-12-06,71.88,73.12,71.36,72.89,72.889999,1876194,1876200,1.01,1.41,72.44,"December 06, 21",0.0141
2021-12-03,71.85,72.115,70.62,71.16,71.16,816104,816100,-0.69,-0.96033,71.25,"December 03, 21",-0.0096033
2021-12-02,70.49,72.04,70.25,71.51,71.51,886187,886200,1.02,1.45,71.36,"December 02, 21",0.0145
2021-12-01,71.52,72.27,70.3,70.34,70.339996,1045203,1045200,-1.18,-1.65,71.23,"December 01, 21",-0.0165
2021-11-30,73.02,73.15,70.51,71.06,71.059998,1388580,1388600,-1.96,-2.68,71.36,"November 30, 21",-0.0268
2021-11-29,74,74.36,73.16,73.77,73.769997,635528,635500,-0.23,-0.31081,73.79,"November 29, 21",-0.0031081
2021-11-26,74.173,75.58,73.49,73.64,73.639999,687369,687400,-0.533,-0.71859,74.27,"November 26, 21",-0.0071859
2021-11-24,76.99,77.41,75.6,75.9,75.9,579761,579800,-1.09,-1.42,76.12,"November 24, 21",-0.0142
2021-11-23,76.07,77.27,75.83,76.9,76.9,563100,563100,0.83,1.09,76.8,"November 23, 21",0.0109
2021-11-22,76.16,76.71,75.36,76.21,76.209999,483910,483900,0.05,0.06565126,76.17,"November 22, 21",0.0006565126
2021-11-19,77.1,77.8,75.82,76.14,76.139999,552350,552400,-0.96,-1.25,76.52,"November 19, 21",-0.0125
2021-11-18,77.42,77.42,76.32,76.97,76.97,434209,434200,-0.45,-0.58125,76.78,"November 18, 21",-0.0058125
2021-11-17,77.69,78.1799,76.95,77.51,77.51,357307,357300,-0.18,-0.23169,77.67,"November 17, 21",-0.0023169
