date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2023-10-26,5379.73,5475.92,5379.73,5426.82,5426.82,19586,19600,47.09,0.87532,5431.25,"October 26, 23",0.0087532,,,,,
2023-10-25,5353.5,5458.76,5210.49,5377.29,5377.29,26120,26100,23.79,0.44438,5368.95,"October 25, 23",0.0044438,,,,,
2023-10-24,5505.66,5539.8,5341.26,5385.52,5385.52,25851,25900,-120.14,-2.18,5394.41,"October 24, 23",-0.0218,,,,,
2023-10-23,5513.25,5619.95,5471.48,5505.69,5505.69,41022,41000,-7.56,-0.13712,5516.67,"October 23, 23",-0.0013712,,,,,
2023-10-20,5625,5640,5452.085,5488.1,5488.1,65524,65500,-136.9,-2.43,5495.38,"October 20, 23",-0.0243,,,,,
2023-10-19,5743.51,5788.63,5550,5563.55,5563.55,31179,31200,-179.96,-3.13,5605.5,"October 19, 23",-0.0313,,,,,
2023-10-18,5800,5858.82,5736.46,5746.59,5746.59,28707,28700,-53.41,-0.92086,5780.13,"October 18, 23",-0.0092086,,,,,
2023-10-17,5865.83,5939,5839.76,5840,5840,34278,34300,-25.83,-0.44035,5889.13,"October 17, 23",-0.0044035,,,,,
2023-10-16,5981.32,6004.08,5898.89,5916.22,5916.22,34784,34800,-65.1,-1.09,5941.48,"October 16, 23",-0.0109,,,,,
2023-10-13,5925,5999.99,5882.0381,5932.1,5932.1,23651,23700,7.1,0.11983,5934.46,"October 13, 23",0.0011983,,,,,
2023-10-12,6138,6162.55,5863,5896.22,5896.22,29341,29300,-241.78,-3.94,5948.12,"October 12, 23",-0.0394,,,,,
2023-10-11,6158,6280,6142.42,6178.66,6178.66,26727,26700,20.66,0.3355,6170.1,"October 11, 23",0.003355,,,,,
2023-10-10,6167,6271.61,6111.67,6112.83,6112.83,30850,30900,-54.17,-0.87838,6184.89,"October 10, 23",-0.0087838,,,,,
2023-10-09,6030,6185.61,6000,6164.97,6164.97,23744,23700,134.97,2.24,6135.27,"October 09, 23",0.0224,,,,,
2023-10-06,5930.22,6106.01,5872.375,6049.21,6049.21,22984,23000,118.99,2.01,6033.87,"October 06, 23",0.0201,,,,,
