date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-06-11,151.43,154.43,149.25,151.11,151.11,718900,718900,-0.32,-0.21132,151.555,"June 11, 25",-0.0021132
2025-06-10,149.4,152.43,147.37,151,151,780810,780810,1.6,1.07,150.05,"June 10, 25",0.0107
2025-06-09,146.56,149.03,144.89,147.46,147.46,925265,925265,0.9,0.61408,146.985,"June 09, 25",0.0061408
2025-06-06,143.12,145.65,143.12,144.7,144.7,938040,938040,1.58,1.1,144.1475,"June 06, 25",0.011
2025-06-05,143.36,144.88,140.78,141.2,141.2,735200,735200,-2.16,-1.51,142.555,"June 05, 25",-0.0151
2025-06-04,138.9,145.93,138.81,143.22,143.22,849443,849443,4.32,3.11,141.715,"June 04, 25",0.0311
2025-06-03,135.23,139.73,132.65,138.49,138.49,654200,654200,3.26,2.41,136.525,"June 03, 25",0.0241
2025-06-02,134.8,135.44,132.58,135.04,135.04,514100,514100,0.24,0.17804,134.465,"June 02, 25",0.0017804
2025-05-30,136.42,136.94,134.08,135.63,135.63,807120,807120,-0.79,-0.57909,135.7675,"May 30, 25",-0.0057909
2025-05-29,138.22,138.6,135.78,137.7,137.7,497648,497648,-0.52,-0.37621,137.575,"May 29, 25",-0.0037621
2025-05-28,137.96,138.89,136.12,136.25,136.25,621515,621515,-1.71,-1.24,137.305,"May 28, 25",-0.0124
2025-05-27,140.11,140.65,138.61,138.65,138.65,802824,802824,-1.46,-1.04,139.505,"May 27, 25",-0.0104
2025-05-23,134.21,137,133.85,136.73,136.73,775603,775603,2.52,1.88,135.4475,"May 23, 25",0.0188
2025-05-22,133.79,136.26,133.34,135.6,135.6,1306516,1306516,1.81,1.35,134.7475,"May 22, 25",0.0135
2025-05-21,141.39,141.71,134.86,134.98,134.98,825891,825891,-6.41,-4.53,138.235,"May 21, 25",-0.0453
2025-05-20,141.37,143.82,140.34,143.53,143.53,956400,956400,2.16,1.53,142.265,"May 20, 25",0.0153
2025-05-19,138,141.5,137.72,141.38,141.38,792300,792300,3.38,2.45,139.65,"May 19, 25",0.0245
2025-05-16,138.99,142.6,137.68,140.97,140.97,1521114,1521114,1.98,1.42,140.06,"May 16, 25",0.0142
2025-05-15,138.2,139.38,135.11,138.89,138.89,964340,964340,0.69,0.49928,137.895,"May 15, 25",0.0049928
2025-05-14,146,146.43,138.78,138.95,138.95,1595652,1595652,-7.05,-4.83,142.54,"May 14, 25",-0.0483
2025-05-13,142.23,145.64,141.19,144.02,144.02,1294891,1294891,1.79,1.26,143.27,"May 13, 25",0.0126
2025-05-12,145.45,147.64,139.99,143.08,143.08,2343806,2343806,-2.37,-1.63,144.04,"May 12, 25",-0.0163
2025-05-09,141.21,143.46,138.46,138.79,138.79,920300,920300,-2.42,-1.71,140.48,"May 09, 25",-0.0171
2025-05-08,140.7,143.86,137,141.36,141.36,2330447,2330447,0.66,0.46908,140.73,"May 08, 25",0.0046908
2025-05-07,141.03,144.77,131.3,136.97,136.97,4234882,4234882,-4.06,-2.88,138.5175,"May 07, 25",-0.0288
2025-05-06,117.44,120.02,113.89,115.41,115.41,2089478,2089478,-2.03,-1.73,116.69,"May 06, 25",-0.0173
2025-05-05,118.67,120.89,117.13,119.44,119.44,970644,970644,0.77,0.64886,119.0325,"May 05, 25",0.0064886
2025-05-02,120.22,121.81,118.25,118.46,118.46,938413,938413,-1.76,-1.46,119.685,"May 02, 25",-0.0146
2025-05-01,119.38,120.14,114.24,116.89,116.89,990000,990000,-2.49,-2.09,117.6625,"May 01, 25",-0.0209
2025-04-30,115.62,118.69,114.75,118.62,118.62,1499127,1499127,3,2.59,116.92,"April 30, 25",0.0259
2025-04-29,114.71,117.86,113.94,117.29,117.29,1347461,1347461,2.58,2.25,115.95,"April 29, 25",0.0225
2025-04-28,115.01,117.16,112.39,115.08,115.08,1372649,1372649,0.075,0.06086427,114.91,"April 28, 25",0.0006086427
2025-04-25,113.85,115.25,112.12,114.66,114.66,1516231,1516231,0.81,0.71146,113.97,"April 25, 25",0.0071146
2025-04-24,110.42,115.94,108.1,115.76,115.76,2633500,2633500,5.34,4.84,112.555,"April 24, 25",0.0484
2025-04-23,109.22,116.06,107.6,109,109,2077855,2077855,-0.215,-0.20143,110.47,"April 23, 25",-0.0020143
2025-04-22,103.42,107.29,101,106.89,106.89,1647200,1647200,3.47,3.36,104.65,"April 22, 25",0.0336
2025-04-21,103.9,103.91,99.8,102.67,102.67,2087503,2087503,-1.23,-1.18,102.57,"April 21, 25",-0.0118
2025-04-17,105,106.23,102.65,106.05,106.05,1658424,1658424,1.05,1,104.9825,"April 17, 25",0.01
2025-04-16,105.78,107.23,103.12,104.25,104.25,1862231,1862231,-1.53,-1.45,105.095,"April 16, 25",-0.0145
2025-04-15,106.1,107.58,104.69,105.92,105.92,2845224,2845224,-0.18,-0.16965,106.0725,"April 15, 25",-0.0016965
2025-04-14,104.08,107.67,100.22,106.6,106.6,3985300,3985300,2.52,2.42,104.6425,"April 14, 25",0.0242
2025-04-11,98.33,101.36,91.86,99.75,99.75,11604923,11604923,1.42,1.44,97.825,"April 11, 25",0.0144
2025-04-10,136.27,136.59,95.97,99.95,99.95,6599400,6599400,-36.32,-26.65,117.195,"April 10, 25",-0.2665
