date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,adjDividend,paymentDate,dividend
2025-12-15,67.66,68.3,66.99,68.25,68.25,1315300,1315300,0.59,0.87201,67.8,"December 15, 25",0.0087201,2025-12-15,2025-10-27,0.755,2026-01-06,0.755
2025-12-12,67.92,68.25,67.58,67.76,67,1015329,1015329,-0.16,-0.23557,67.8775,"December 12, 25",-0.0023557,,,,,
2025-12-11,67.5,67.98,67.25,67.76,67,1702144,1702144,0.26,0.38519,67.6225,"December 11, 25",0.0038519,,,,,
2025-12-10,67.9,68.24,67.1,67.2,66.45,1714330,1714330,-0.7,-1.03,67.61,"December 10, 25",-0.0103,,,,,
2025-12-09,68.24,68.95,67.62,67.79,67.03,848300,848300,-0.45,-0.65944,68.15,"December 09, 25",-0.0065944,,,,,
2025-12-08,68.64,68.69,67.79,67.87,67.11,971900,971900,-0.77,-1.12,68.2475,"December 08, 25",-0.0112,,,,,
2025-12-05,69.03,69.27,68.62,68.7,67.93,1007600,1007600,-0.33,-0.47805,68.905,"December 05, 25",-0.0047805,,,,,
2025-12-04,68.94,69.75,68.92,69.07,68.3,1381628,1381628,0.13,0.18857,69.17,"December 04, 25",0.0018857,,,,,
2025-12-03,70.11,70.36,69.43,69.94,69.16,762910,762910,-0.175,-0.24248,69.96,"December 03, 25",-0.0024248,,,,,
2025-12-02,70.9,71.18,69.61,70.03,69.25,742900,742900,-0.87,-1.23,70.43,"December 02, 25",-0.0123,,,,,
2025-12-01,70.73,71.32,70.7,70.84,70.05,882621,882621,0.11,0.15552,70.8975,"December 01, 25",0.0015552,,,,,
2025-11-28,71.26,71.75,71,71.16,70.37,576633,576633,-0.1,-0.14033,71.2925,"November 28, 25",-0.0014033,,,,,
2025-11-26,70.83,71.57,70.64,71.26,70.47,1488000,1488000,0.43,0.60709,71.075,"November 26, 25",0.0060709,,,,,
2025-11-25,71.31,71.88,70.98,71.07,70.28,1187300,1187300,-0.24,-0.33656,71.31,"November 25, 25",-0.0033656,,,,,
2025-11-24,70.89,71.35,70.32,71.17,70.38,2346800,2346800,0.28,0.39498,70.9325,"November 24, 25",0.0039498,,,,,
2025-11-21,69.41,71.14,69.22,70.87,70.08,1184012,1184012,1.46,2.1,70.16,"November 21, 25",0.021,,,,,
2025-11-20,69.75,70.34,69.16,69.41,68.64,1062415,1062415,-0.34,-0.48746,69.665,"November 20, 25",-0.0048746,,,,,
2025-11-19,69.53,69.88,68.97,69.09,68.32,797012,797012,-0.44,-0.63282,69.3675,"November 19, 25",-0.0063282,,,,,
2025-11-18,69.49,69.82,69.09,69.49,68.72,799351,799351,0,0,69.4725,"November 18, 25",0,,,,,
2025-11-17,69.78,70.15,68.86,69.13,68.36,709700,709700,-0.65,-0.9315,69.48,"November 17, 25",-0.009315,,,,,
2025-11-14,69.94,70.19,69.25,69.59,68.82,1012200,1012200,-0.35,-0.50043,69.7425,"November 14, 25",-0.0050043,,,,,
2025-11-13,69.64,70.32,69.64,69.82,69.05,963350,963350,0.18,0.25847,69.855,"November 13, 25",0.0025847,,,,,
2025-11-12,70.98,71.24,69.96,70,69.23,1203300,1203300,-0.98,-1.38,70.545,"November 12, 25",-0.0138,,,,,
2025-11-11,70.33,71.44,69.7,71.26,70.47,979801,979801,0.93,1.32,70.6825,"November 11, 25",0.0132,,,,,
2025-11-10,69.77,70.46,69.42,70.09,69.31,1097900,1097900,0.32,0.45865,69.935,"November 10, 25",0.0045865,,,,,
2025-11-07,69.03,69.79,68.52,69.77,69,941530,941530,0.74,1.07,69.2775,"November 07, 25",0.0107,,,,,
2025-11-06,69.21,69.44,68.62,68.72,67.96,951608,951608,-0.49,-0.70799,68.9975,"November 06, 25",-0.0070799,,,,,
2025-11-05,69.38,69.84,68.72,69.42,68.65,1784648,1784648,0.04,0.0576535,69.34,"November 05, 25",0.000576535,,,,,
2025-11-04,69.3,69.92,68.67,69.12,68.35,1699300,1699300,-0.18,-0.25974,69.2525,"November 04, 25",-0.0025974,,,,,
2025-11-03,68.36,69.33,67.27,68.91,68.15,1564930,1564930,0.55,0.80456,68.4675,"November 03, 25",0.0080456,,,,,
2025-10-31,69.1,69.87,68.66,68.95,68.19,1099000,1099000,-0.15,-0.21708,69.145,"October 31, 25",-0.0021708,,,,,
2025-10-30,69.35,73.69,69.24,69.39,68.62,2045800,2045800,0.04,0.05767844,70.4175,"October 30, 25",0.0005767844,,,,,
2025-10-29,70.53,71.68,69.1,69.35,68.58,1313525,1313525,-1.18,-1.67,70.165,"October 29, 25",-0.0167,,,,,
2025-10-28,72.94,73.11,71.22,71.54,70.75,1464000,1464000,-1.4,-1.92,72.2025,"October 28, 25",-0.0192,,,,,
2025-10-27,73.08,73.36,72.52,73.18,72.37,1187401,1187401,0.1,0.13684,73.035,"October 27, 25",0.0013684,,,,,
2025-10-24,72.48,73.12,72.48,72.64,71.84,728200,728200,0.16,0.22075,72.68,"October 24, 25",0.0022075,,,,,
2025-10-23,72.73,72.85,71.75,72.48,71.68,1013000,1013000,-0.25,-0.34374,72.4525,"October 23, 25",-0.0034374,,,,,
2025-10-22,72.34,72.79,72.11,72.6,71.8,1128200,1128200,0.26,0.35941,72.46,"October 22, 25",0.0035941,,,,,
2025-10-21,72.22,72.83,71.94,72.16,71.36,853472,853472,-0.06,-0.08307948,72.2875,"October 21, 25",-0.0008307948,,,,,
2025-10-20,72.31,72.89,71.52,72.21,71.41,697729,697729,-0.1,-0.13829,72.2325,"October 20, 25",-0.0013829,,,,,
2025-10-17,71.95,72.54,71.75,72.24,71.44,989408,989408,0.29,0.40306,72.12,"October 17, 25",0.0040306,,,,,
2025-10-16,72.6,72.6,71.44,71.72,70.93,716300,716300,-0.88,-1.21,72.09,"October 16, 25",-0.0121,,,,,
2025-10-15,71.7,72.98,71.61,72.43,71.63,814500,814500,0.73,1.02,72.18,"October 15, 25",0.0102,,,,,
2025-10-14,71.35,72.09,71.19,71.81,71.02,966400,966400,0.46,0.64471,71.61,"October 14, 25",0.0064471,,,,,
2025-10-13,70.37,71.64,69.81,71.48,70.69,873500,873500,1.11,1.58,70.825,"October 13, 25",0.0158,,,,,
2025-10-10,71.42,71.69,70.25,70.37,69.59,669849,669849,-1.05,-1.47,70.9325,"October 10, 25",-0.0147,,,,,
2025-10-09,71.49,71.71,70.89,71.33,70.54,701530,701530,-0.16,-0.22381,71.355,"October 09, 25",-0.0022381,,,,,
2025-10-08,71.19,71.36,70.72,71.26,70.47,650431,650431,0.07,0.09832842,71.1325,"October 08, 25",0.0009832842,,,,,
2025-10-07,71.05,71.7,70.8,71.48,70.69,916300,916300,0.43,0.60521,71.2575,"October 07, 25",0.0060521,,,,,
2025-10-06,72.32,72.32,71.04,71.14,70.35,1104400,1104400,-1.18,-1.63,71.705,"October 06, 25",-0.0163,,,,,
2025-10-03,71.89,72.76,71.63,71.68,70.89,999326,999326,-0.21,-0.29211,71.99,"October 03, 25",-0.0029211,,,,,
2025-10-02,71.85,72.05,71.12,71.88,71.08,912400,912400,0.03,0.04175365,71.725,"October 02, 25",0.0004175365,,,,,
2025-10-01,73.1,73.45,71.94,72.09,71.29,1250833,1250833,-1.01,-1.38,72.645,"October 01, 25",-0.0138,,,,,
2025-09-30,72.05,73,71.57,72.9,72.09,1308900,1308900,0.85,1.18,72.38,"September 30, 25",0.0118,,,,,
2025-09-29,71.57,72.36,71.21,72.22,71.42,1060800,1060800,0.65,0.9082,71.84,"September 29, 25",0.009082,,,,,
2025-09-26,71.41,71.9,71.09,71.52,70.73,678033,678033,0.11,0.15404,71.48,"September 26, 25",0.0015404,,,,,
2025-09-25,71.63,71.85,70.95,71.07,70.28,962345,962345,-0.56,-0.7818,71.375,"September 25, 25",-0.007818,,,,,
2025-09-24,71.45,71.74,70.87,71.38,70.59,1259500,1259500,-0.07,-0.09797061,71.36,"September 24, 25",-0.0009797061,,,,,
2025-09-23,70.78,71.66,70.76,71.48,70.69,1077417,1077417,0.7,0.98898,71.17,"September 23, 25",0.0098898,,,,,
2025-09-22,70.44,70.95,69.68,70.73,69.95,1132700,1132700,0.29,0.4117,70.45,"September 22, 25",0.004117,,,,,
2025-09-19,70.56,70.67,69.8,70.27,69.49,2344501,2344501,-0.29,-0.411,70.325,"September 19, 25",-0.00411,,,,,
2025-09-18,69.61,70.53,69.45,70.33,69.55,1067200,1067200,0.72,1.03,69.98,"September 18, 25",0.0103,,,,,
2025-09-17,70.37,71.14,69.63,69.76,68.99,986500,986500,-0.61,-0.86685,70.225,"September 17, 25",-0.0086685,,,,,
2025-09-16,70.73,71.1,70.23,70.38,69.6,1129745,1129745,-0.35,-0.49484,70.61,"September 16, 25",-0.0049484,,,,,
2025-09-15,71.44,71.48,70.58,70.97,70.18,1210511,1210511,-0.47,-0.65789,71.1175,"September 15, 25",-0.0065789,,,,,
2025-09-12,71.91,72.29,71.3,71.34,70.55,1193500,1193500,-0.57,-0.79266,71.71,"September 12, 25",-0.0079266,,,,,
2025-09-11,71.63,72.46,71.44,72.24,71.44,1291445,1291445,0.61,0.8516,71.9425,"September 11, 25",0.008516,2025-09-11,2025-08-05,0.705,2025-10-02,0.705
2025-09-10,72.11,72.36,71.75,72.09,70.59,1202505,1202505,-0.02,-0.0277354,72.0775,"September 10, 25",-0.000277354,,,,,
2025-09-09,72.79,73.08,72.26,72.39,70.88,899062,899062,-0.4,-0.54953,72.63,"September 09, 25",-0.0054953,,,,,
2025-09-08,73.44,73.58,72.43,73.08,71.56,1097800,1097800,-0.36,-0.4902,73.1325,"September 08, 25",-0.004902,,,,,
2025-09-05,73.7,74.44,72.71,73.68,72.15,848800,848800,-0.02,-0.02713704,73.6325,"September 05, 25",-0.0002713704,,,,,
2025-09-04,72.55,73.6,72.08,73.56,72.03,1220000,1220000,1.01,1.39,72.9475,"September 04, 25",0.0139,,,,,
2025-09-03,71.95,72.53,71.84,72.23,70.73,771228,771228,0.28,0.38916,72.1375,"September 03, 25",0.0038916,,,,,
2025-09-02,72.3,73,71.93,72.33,70.82,1744524,1744524,0.03,0.04149378,72.39,"September 02, 25",0.0004149378,,,,,
2025-08-29,72.34,72.68,72.23,72.5,70.99,1029800,1029800,0.16,0.22118,72.4375,"August 29, 25",0.0022118,,,,,
2025-08-28,72.47,72.54,71.49,72.21,70.71,876329,876329,-0.26,-0.35877,72.1775,"August 28, 25",-0.0035877,,,,,
2025-08-27,72.1,72.54,71.97,72.47,70.96,1003035,1003035,0.37,0.51318,72.27,"August 27, 25",0.0051318,,,,,
2025-08-26,71.9,72.45,71.67,72.07,70.57,1406000,1406000,0.17,0.23644,72.0225,"August 26, 25",0.0023644,,,,,
2025-08-25,72.16,72.44,71.75,71.92,70.42,1113445,1113445,-0.24,-0.33259,72.0675,"August 25, 25",-0.0033259,,,,,
2025-08-22,71.66,72.79,71.66,72.35,70.84,1314938,1314938,0.69,0.96288,72.115,"August 22, 25",0.0096288,,,,,
2025-08-21,71.32,71.91,71.1,71.22,69.74,977600,977600,-0.1,-0.14021,71.3875,"August 21, 25",-0.0014021,,,,,
2025-08-20,72.08,72.63,71.48,71.73,70.24,1261849,1261849,-0.35,-0.48557,71.98,"August 20, 25",-0.0048557,,,,,
2025-08-19,70.34,71.84,70.34,71.78,70.29,1244100,1244100,1.44,2.05,71.075,"August 19, 25",0.0205,,,,,
2025-08-18,71.13,71.39,70.3,70.34,68.88,755441,755441,-0.79,-1.11,70.79,"August 18, 25",-0.0111,,,,,
2025-08-15,71.25,71.36,70.92,71.02,69.54,1118802,1118802,-0.23,-0.32281,71.1375,"August 15, 25",-0.0032281,,,,,
2025-08-14,71.62,71.62,70.66,71.11,69.63,921008,921008,-0.51,-0.71209,71.2525,"August 14, 25",-0.0071209,,,,,
2025-08-13,72.01,72.21,70.93,72.02,70.52,1592600,1592600,0.01,0.01388696,71.7925,"August 13, 25",0.0001388696,,,,,
2025-08-12,71.57,71.94,71.03,71.88,70.38,1205719,1205719,0.31,0.43314,71.605,"August 12, 25",0.0043314,,,,,
2025-08-11,71.91,72.53,71.51,71.54,70.05,1058516,1058516,-0.37,-0.51453,71.8725,"August 11, 25",-0.0051453,,,,,
2025-08-08,72.52,72.83,71.61,71.92,70.42,746743,746743,-0.6,-0.82736,72.22,"August 08, 25",-0.0082736,,,,,
2025-08-07,73.45,73.6,71.97,72.54,71.03,929700,929700,-0.91,-1.24,72.89,"August 07, 25",-0.0124,,,,,
2025-08-06,74,74.35,73.03,73.2,71.68,2733900,2733900,-0.8,-1.08,73.645,"August 06, 25",-0.0108,,,,,
2025-08-05,72.1,73.91,71.96,73.81,72.27,1552106,1552106,1.71,2.37,72.945,"August 05, 25",0.0237,,,,,
2025-08-04,70.71,72.21,70.62,72.18,70.68,1161800,1161800,1.47,2.08,71.43,"August 04, 25",0.0208,,,,,
2025-08-01,72.24,72.24,70.35,70.48,69.01,1141645,1141645,-1.76,-2.44,71.3275,"August 01, 25",-0.0244,,,,,
2025-07-31,72.15,72.44,71.21,71.4,69.91,1369500,1369500,-0.75,-1.04,71.8,"July 31, 25",-0.0104,,,,,
2025-07-30,73.2,74.01,71.77,72.31,70.81,1755415,1755415,-0.89,-1.22,72.8225,"July 30, 25",-0.0122,,,,,
2025-07-29,70.38,71.86,69.87,71.76,70.27,1735215,1735215,1.38,1.96,70.9675,"July 29, 25",0.0196,,,,,
2025-07-28,71.05,71.05,69.89,70.04,68.58,999232,999232,-1.01,-1.42,70.5075,"July 28, 25",-0.0142,,,,,
2025-07-25,71.72,71.88,70.58,71.18,69.7,898039,898039,-0.54,-0.75293,71.34,"July 25, 25",-0.0075293,,,,,
2025-07-24,71.3,72.21,70.99,71.53,70.04,1331800,1331800,0.23,0.32258,71.5075,"July 24, 25",0.0032258,,,,,
2025-07-23,71.66,71.84,71.05,71.47,69.98,913306,913306,-0.19,-0.26514,71.505,"July 23, 25",-0.0026514,,,,,
2025-07-22,69.95,71.72,69.75,71.66,70.17,833647,833647,1.71,2.44,70.77,"July 22, 25",0.0244,,,,,
2025-07-21,69.93,70.39,69.6,69.76,68.31,894403,894403,-0.17,-0.2431,69.92,"July 21, 25",-0.002431,,,,,
2025-07-18,70.1,70.58,69.5,69.87,68.42,979600,979600,-0.23,-0.3281,70.0125,"July 18, 25",-0.003281,,,,,
2025-07-17,69.24,70.02,68.89,69.9,68.45,606229,606229,0.66,0.95321,69.5125,"July 17, 25",0.0095321,,,,,
2025-07-16,68.73,69.57,68.61,69.43,67.99,1024809,1024809,0.7,1.02,69.085,"July 16, 25",0.0102,,,,,
2025-07-15,69.87,69.87,68.53,68.62,67.19,944238,944238,-1.25,-1.79,69.2225,"July 15, 25",-0.0179,,,,,
2025-07-14,69.16,69.95,69.07,69.93,68.47,912400,912400,0.77,1.11,69.5275,"July 14, 25",0.0111,,,,,
2025-07-11,68.93,69.54,68.62,69.34,67.9,1380400,1380400,0.41,0.59481,69.1075,"July 11, 25",0.0059481,,,,,
2025-07-10,69.09,70,68.81,69.26,67.82,1060100,1060100,0.17,0.24606,69.29,"July 10, 25",0.0024606,,,,,
2025-07-09,69.67,70.03,68.85,69.02,67.58,1627200,1627200,-0.65,-0.93297,69.3925,"July 09, 25",-0.0093297,,,,,
2025-07-08,69.57,69.99,69.21,69.56,68.11,991600,991600,-0.01,-0.01437401,69.5825,"July 08, 25",-0.0001437401,,,,,
2025-07-07,70.83,71.48,69.72,69.92,68.46,1095600,1095600,-0.91,-1.28,70.4875,"July 07, 25",-0.0128,,,,,
2025-07-03,70.62,71.1,70.51,70.79,69.32,684300,684300,0.17,0.24073,70.755,"July 03, 25",0.0024073,,,,,
2025-07-02,70.79,71.07,69.93,70.8,69.33,1460600,1460600,0.01,0.01412629,70.6475,"July 02, 25",0.0001412629,,,,,
2025-07-01,70.93,72.54,70.69,71.11,69.63,1283404,1283404,0.18,0.25377,71.3175,"July 01, 25",0.0025377,,,,,
2025-06-30,70.54,71.34,69.42,71.23,69.75,1526737,1526737,0.69,0.97817,70.6325,"June 30, 25",0.0097817,,,,,
2025-06-27,70.77,71.32,70.29,70.54,69.07,1302200,1302200,-0.23,-0.325,70.73,"June 27, 25",-0.00325,,,,,
2025-06-26,70.16,70.6,69.95,70.54,69.07,1199233,1199233,0.38,0.54162,70.3125,"June 26, 25",0.0054162,,,,,
2025-06-25,71.36,71.64,69.98,70.03,68.57,1049242,1049242,-1.33,-1.86,70.7525,"June 25, 25",-0.0186,,,,,
2025-06-24,72.43,72.68,71.54,71.66,70.17,1085233,1085233,-0.77,-1.06,72.0775,"June 24, 25",-0.0106,,,,,
2025-06-23,71.33,72.31,71.24,72.27,70.77,792044,792044,0.94,1.32,71.7875,"June 23, 25",0.0132,,,,,
2025-06-20,70.95,71.65,70.83,71.14,69.66,1949000,1949000,0.19,0.26779,71.1425,"June 20, 25",0.0026779,,,,,
2025-06-18,70.04,71.11,69.83,70.72,69.25,810600,810600,0.68,0.97087,70.425,"June 18, 25",0.0097087,,,,,
2025-06-17,70.29,70.96,69.8,70.14,68.68,1390900,1390900,-0.15,-0.2134,70.2975,"June 17, 25",-0.002134,,,,,
2025-06-16,70.42,70.77,69.93,70.4,68.93,1278518,1278518,-0.02,-0.02840102,70.38,"June 16, 25",-0.0002840102,,,,,
2025-06-13,70.74,71.07,69.75,70.25,68.79,1452037,1452037,-0.49,-0.69268,70.4525,"June 13, 25",-0.0069268,,,,,
2025-06-12,70.84,71.07,70.42,71.06,69.58,896016,896016,0.22,0.31056,70.8475,"June 12, 25",0.0031056,,,,,
2025-06-11,72.13,72.52,70.77,71.01,69.53,1035133,1035133,-1.12,-1.55,71.6075,"June 11, 25",-0.0155,2025-06-11,2025-05-06,0.705,2025-07-02,0.705
2025-06-10,72.47,73.03,72.19,72.67,70.47,1057540,1057540,0.2,0.27598,72.59,"June 10, 25",0.0027598,,,,,
2025-06-09,71.85,72.57,71.36,72.16,69.98,853033,853033,0.31,0.43145,71.985,"June 09, 25",0.0043145,,,,,
2025-06-06,71.44,72.13,70.67,72.01,69.83,1144800,1144800,0.57,0.79787,71.5625,"June 06, 25",0.0079787,,,,,
2025-06-05,71.45,71.52,70.72,71.24,69.08,990714,990714,-0.21,-0.29391,71.2325,"June 05, 25",-0.0029391,,,,,
2025-06-04,71.39,71.84,71.16,71.67,69.5,791800,791800,0.28,0.39221,71.515,"June 04, 25",0.0039221,,,,,
2025-06-03,71.11,71.96,71.11,71.54,69.37,873002,873002,0.43,0.6047,71.43,"June 03, 25",0.006047,,,,,
2025-06-02,71.6,72.25,70.91,71.95,69.77,749800,749800,0.35,0.48883,71.6775,"June 02, 25",0.0048883,,,,,
2025-05-30,72.35,72.57,71.66,72.15,69.97,2067620,2067620,-0.2,-0.27643,72.1825,"May 30, 25",-0.0027643,,,,,
2025-05-29,71.62,72.52,71.45,72.39,70.2,728200,728200,0.77,1.08,71.995,"May 29, 25",0.0108,,,,,
2025-05-28,72.23,72.37,71.16,71.62,69.45,793000,793000,-0.61,-0.84452,71.845,"May 28, 25",-0.0084452,,,,,
2025-05-27,71.67,72.42,71.23,72.14,69.96,1079300,1079300,0.47,0.65578,71.865,"May 27, 25",0.0065578,,,,,
2025-05-23,70.93,71.29,70.57,71.01,68.86,972200,972200,0.08,0.11279,70.95,"May 23, 25",0.0011279,,,,,
2025-05-22,71.31,71.51,70.53,71.08,68.93,930800,930800,-0.23,-0.32254,71.1075,"May 22, 25",-0.0032254,,,,,
2025-05-21,72.57,72.94,71.18,71.34,69.18,822200,822200,-1.23,-1.69,72.0075,"May 21, 25",-0.0169,,,,,
2025-05-20,73.44,73.9,72.85,73.13,70.92,869600,869600,-0.31,-0.42211,73.33,"May 20, 25",-0.0042211,,,,,
2025-05-19,73.16,74.27,73.16,74.05,71.81,1887800,1887800,0.89,1.22,73.66,"May 19, 25",0.0122,,,,,
2025-05-16,72.9,73.86,72.57,73.82,71.59,962901,962901,0.92,1.26,73.2875,"May 16, 25",0.0126,,,,,
2025-05-15,72.41,72.79,72.11,72.59,70.39,1167434,1167434,0.18,0.24858,72.475,"May 15, 25",0.0024858,,,,,
2025-05-14,72.21,72.58,71.56,72.2,70.01,1430132,1430132,-0.01,-0.0138485,72.1375,"May 14, 25",-0.000138485,,,,,
2025-05-13,74.04,74.16,72.59,73.05,70.84,1091233,1091233,-0.99,-1.34,73.46,"May 13, 25",-0.0134,,,,,
2025-05-12,72.93,73.86,72.66,73.83,71.6,757618,757618,0.9,1.23,73.32,"May 12, 25",0.0123,,,,,
2025-05-09,71.7,72.69,71.5,72.38,70.19,789000,789000,0.68,0.9484,72.0675,"May 09, 25",0.009484,,,,,
2025-05-08,72.04,72.65,71.28,71.9,69.72,867700,867700,-0.14,-0.19434,71.9675,"May 08, 25",-0.0019434,,,,,
2025-05-07,72.19,72.75,71.83,72.01,69.83,890300,890300,-0.18,-0.24934,72.195,"May 07, 25",-0.0024934,,,,,
2025-05-06,72.48,72.54,71.4,71.98,69.8,918817,918817,-0.5,-0.68985,72.1,"May 06, 25",-0.0068985,,,,,
2025-05-05,73.03,73.09,72.31,72.48,70.29,525060,525060,-0.55,-0.75312,72.7275,"May 05, 25",-0.0075312,,,,,
2025-05-02,73.37,74.3,72.6,73.03,70.82,617800,617800,-0.34,-0.4634,73.325,"May 02, 25",-0.004634,,,,,
2025-05-01,73,73.2,71.81,72.42,70.23,910336,910336,-0.58,-0.79452,72.6075,"May 01, 25",-0.0079452,,,,,
2025-04-30,72.19,72.94,69.96,72.18,70,1836523,1836523,-0.01,-0.01385233,71.8175,"April 30, 25",-0.0001385233,,,,,
2025-04-29,71.75,72.27,70.85,71.85,69.68,1388330,1388330,0.1,0.13937,71.68,"April 29, 25",0.0013937,,,,,
2025-04-28,70.91,71.99,70.9,71.83,69.66,1045233,1045233,0.92,1.3,71.4075,"April 28, 25",0.013,,,,,
2025-04-25,71.72,71.88,70.51,71.42,69.26,1053600,1053600,-0.3,-0.41829,71.3825,"April 25, 25",-0.0041829,,,,,
2025-04-24,71.77,72.22,71.39,71.45,69.29,673800,673800,-0.32,-0.44587,71.7075,"April 24, 25",-0.0044587,,,,,
2025-04-23,72.2,73.27,71.24,71.96,69.78,1093020,1093020,-0.24,-0.33241,72.1675,"April 23, 25",-0.0033241,,,,,
2025-04-22,71.78,72.74,71.16,72.32,70.13,787800,787800,0.54,0.7523,72,"April 22, 25",0.007523,,,,,
2025-04-21,70.92,72.01,69.85,70.78,68.64,585049,585049,-0.14,-0.19741,70.89,"April 21, 25",-0.0019741,,,,,
2025-04-17,70.6,72.24,70.5,71.66,69.49,635249,635249,1.06,1.5,71.25,"April 17, 25",0.015,,,,,
2025-04-16,70.67,71.24,69.93,70.21,68.08,651742,651742,-0.46,-0.65091,70.5125,"April 16, 25",-0.0065091,,,,,
2025-04-15,70.88,71.1,70.23,70.36,68.23,1003600,1003600,-0.52,-0.73363,70.6425,"April 15, 25",-0.0073363,,,,,
2025-04-14,69.34,70.8,69.34,70.41,68.28,882503,882503,1.07,1.54,69.9725,"April 14, 25",0.0154,,,,,
2025-04-11,67.75,69.69,67.01,69.4,67.3,908517,908517,1.65,2.44,68.4625,"April 11, 25",0.0244,,,,,
2025-04-10,68.99,70.2,66.68,68.42,66.35,1386300,1386300,-0.57,-0.82621,68.5725,"April 10, 25",-0.0082621,,,,,
2025-04-09,64.12,70,63.44,69.66,67.55,2341507,2341507,5.54,8.64,66.805,"April 09, 25",0.0864,,,,,
2025-04-08,68.6,68.94,64.78,65.48,63.5,2605139,2605139,-3.12,-4.55,66.95,"April 08, 25",-0.0455,,,,,
2025-04-07,67.89,69.62,65.98,67.54,65.5,2036727,2036727,-0.35,-0.51554,67.7575,"April 07, 25",-0.0051554,,,,,
2025-04-04,72.79,72.79,68.69,68.77,66.69,2644038,2644038,-4.02,-5.52,70.76,"April 04, 25",-0.0552,,,,,
2025-04-03,74.19,74.59,71.01,72.09,69.91,1612610,1612610,-2.1,-2.83,72.97,"April 03, 25",-0.0283,,,,,
2025-04-02,73.33,74.99,72.99,74.74,72.48,1205007,1205007,1.41,1.92,74.0125,"April 02, 25",0.0192,,,,,
2025-04-01,73.65,74,72.7,73.57,71.34,1411644,1411644,-0.08,-0.10862,73.48,"April 01, 25",-0.0010862,,,,,
2025-03-31,73.23,74,72.72,73.76,71.53,1986560,1986560,0.53,0.72375,73.4275,"March 31, 25",0.0072375,,,,,
2025-03-28,72.98,73.05,71.9,72.87,70.66,915700,915700,-0.11,-0.15073,72.7,"March 28, 25",-0.0015073,,,,,
2025-03-27,73.03,73.45,72.3,72.39,70.2,598210,598210,-0.64,-0.87635,72.7925,"March 27, 25",-0.0087635,,,,,
2025-03-26,72.36,73.04,72.27,72.83,70.63,555100,555100,0.47,0.64953,72.625,"March 26, 25",0.0064953,,,,,
2025-03-25,72.48,72.83,71.69,72.18,70,1045700,1045700,-0.3,-0.41391,72.295,"March 25, 25",-0.0041391,,,,,
2025-03-24,72.12,72.65,71.73,72.44,70.25,1075900,1075900,0.32,0.4437,72.235,"March 24, 25",0.004437,,,,,
2025-03-21,71.95,71.95,70.76,71.5,69.34,1509100,1509100,-0.45,-0.62543,71.54,"March 21, 25",-0.0062543,,,,,
2025-03-20,72.18,72.5,71.6,72.04,69.86,1078300,1078300,-0.14,-0.19396,72.08,"March 20, 25",-0.0019396,,,,,
2025-03-19,71.84,72.5,70.77,72.08,69.9,818900,818900,0.24,0.33408,71.7975,"March 19, 25",0.0033408,,,,,
2025-03-18,71.33,72.1,71.05,71.42,69.26,1117300,1117300,0.09,0.12617,71.475,"March 18, 25",0.0012617,,,,,
2025-03-17,71.09,71.91,71.09,71.43,69.27,787700,787700,0.34,0.47827,71.38,"March 17, 25",0.0047827,,,,,
2025-03-14,70.98,71.47,70.38,71.07,68.92,969300,969300,0.09,0.1268,70.975,"March 14, 25",0.001268,,,,,
