date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,paymentDate,recordDate,adjDividend
2025-12-05,232.86,232.86,229.6,231.08,231.08,398062,398062,-1.78,-0.76441,231.6,"December 05, 25",-0.0076441,,,,,
2025-12-04,229.1,232.31,228,230.59,230.59,475638,475638,1.49,0.65037,230,"December 04, 25",0.0065037,,,,,
2025-12-03,238.44,238.44,229.83,230.15,230.15,602101,602101,-8.29,-3.48,234.215,"December 03, 25",-0.0348,,,,,
2025-12-02,243.69,244.59,237.33,238.68,238.68,858700,858700,-5.01,-2.06,241.0725,"December 02, 25",-0.0206,,,,,
2025-12-01,242.35,245.52,239.43,239.43,239.43,900423,900423,-2.92,-1.2,241.6825,"December 01, 25",-0.012,0.2,2025-11-18,2025-12-15,2025-12-01,0.2
2025-11-28,244.83,246,241.64,243.63,243.43,541200,541200,-1.2,-0.49014,244.025,"November 28, 25",-0.0049014,,,,,
2025-11-26,243.03,246.33,243.03,244.18,243.98,425300,425300,1.15,0.47319,244.1425,"November 26, 25",0.0047319,,,,,
2025-11-25,238.46,245.44,238,243.74,243.54,645700,645700,5.28,2.21,241.41,"November 25, 25",0.0221,,,,,
2025-11-24,235.96,239.88,234,236.95,236.76,924115,924115,0.99,0.41956,236.6975,"November 24, 25",0.0041956,,,,,
2025-11-21,227.5,235.48,227.45,231.92,231.73,679500,679500,4.42,1.94,230.5875,"November 21, 25",0.0194,,,,,
2025-11-20,228.88,230.93,225.19,225.38,225.19,1011039,1011039,-3.5,-1.53,227.595,"November 20, 25",-0.0153,,,,,
2025-11-19,229.07,229.99,223.1,227.94,227.75,711100,711100,-1.13,-0.4933,227.525,"November 19, 25",-0.004933,,,,,
2025-11-18,226.03,229.35,224.2,228.84,228.65,686031,686031,2.81,1.24,227.105,"November 18, 25",0.0124,,,,,
2025-11-17,223.9,229.23,221.7,226.5,226.31,862200,862200,2.6,1.16,225.3325,"November 17, 25",0.0116,,,,,
2025-11-14,227.95,227.98,223.51,225.04,224.86,524017,524017,-2.91,-1.28,226.12,"November 14, 25",-0.0128,,,,,
2025-11-13,228.35,230.33,224.02,227.57,227.38,492500,492500,-0.78,-0.34158,227.5675,"November 13, 25",-0.0034158,,,,,
2025-11-12,224.35,231.37,224.08,228.42,228.23,494133,494133,4.07,1.81,227.055,"November 12, 25",0.0181,,,,,
2025-11-11,223.83,226.23,221.51,224.41,224.23,505548,505548,0.58,0.25913,223.995,"November 11, 25",0.0025913,,,,,
2025-11-10,218.5,224.14,217.26,222.64,222.46,976300,976300,4.14,1.89,220.635,"November 10, 25",0.0189,,,,,
2025-11-07,227.08,229.76,225.3,229.23,229.04,573200,573200,2.15,0.9468,227.8425,"November 07, 25",0.009468,,,,,
2025-11-06,226.13,228.26,224.25,226.39,226.2,418809,418809,0.26,0.11498,226.2575,"November 06, 25",0.0011498,,,,,
2025-11-05,222.44,228.08,221.25,227.95,227.76,650800,650800,5.51,2.48,224.93,"November 05, 25",0.0248,,,,,
2025-11-04,220.07,226.88,219.6,224.19,224.01,763422,763422,4.12,1.87,222.685,"November 04, 25",0.0187,,,,,
2025-11-03,220.23,220.76,216.09,220.7,220.52,695100,695100,0.47,0.21341,219.445,"November 03, 25",0.0021341,,,,,
2025-10-31,217.78,220.14,215.64,217.01,216.83,507900,507900,-0.77,-0.35357,217.6425,"October 31, 25",-0.0035357,,,,,
2025-10-30,224.25,227.16,218.16,218.69,218.51,657800,657800,-5.56,-2.48,222.065,"October 30, 25",-0.0248,,,,,
2025-10-29,217.8,227.22,217.7,225.3,225.12,1020200,1020200,7.5,3.44,222.005,"October 29, 25",0.0344,,,,,
2025-10-28,220.1,226.72,211.65,219.32,219.14,1422400,1422400,-0.78,-0.35438,219.4475,"October 28, 25",-0.0035438,,,,,
2025-10-27,211.43,214.28,210.03,214.03,213.85,925200,925200,2.6,1.23,212.4425,"October 27, 25",0.0123,,,,,
2025-10-24,211.86,214.1,200.7,210.68,210.51,943200,943200,-1.18,-0.55697,209.335,"October 24, 25",-0.0055697,,,,,
2025-10-23,208.1,211.14,207.21,208.63,208.46,500951,500951,0.53,0.25469,208.77,"October 23, 25",0.0025469,,,,,
2025-10-22,207.19,211.14,207.19,210.4,210.23,531600,531600,3.22,1.55,208.98,"October 22, 25",0.0155,,,,,
2025-10-21,207.49,208.65,206.27,206.8,206.63,331946,331946,-0.69,-0.33255,207.3025,"October 21, 25",-0.0033255,,,,,
2025-10-20,205.5,208.16,204.63,207.24,207.07,297052,297052,1.74,0.84672,206.3825,"October 20, 25",0.0084672,,,,,
2025-10-17,204.07,205.31,201.84,204.56,204.39,377408,377408,0.49,0.24011,203.945,"October 17, 25",0.0024011,,,,,
2025-10-16,205.08,205.75,203.71,204.24,204.07,369200,369200,-0.84,-0.4096,204.695,"October 16, 25",-0.004096,,,,,
2025-10-15,203.81,205.53,202.3,205,204.83,422933,422933,1.19,0.58388,204.16,"October 15, 25",0.0058388,,,,,
2025-10-14,196.85,204.4,195.76,203.81,203.64,433900,433900,6.96,3.54,200.205,"October 14, 25",0.0354,,,,,
2025-10-13,198.47,199.77,195.98,197.76,197.6,548719,548719,-0.71,-0.35774,197.995,"October 13, 25",-0.0035774,,,,,
2025-10-10,202.57,202.93,195.95,196.11,195.95,720800,720800,-6.46,-3.19,199.39,"October 10, 25",-0.0319,,,,,
2025-10-09,206.08,206.53,201.26,201.6,201.43,739500,739500,-4.48,-2.17,203.8675,"October 09, 25",-0.0217,,,,,
2025-10-08,209.12,209.65,204.65,205.2,205.03,496803,496803,-3.92,-1.87,207.155,"October 08, 25",-0.0187,,,,,
2025-10-07,208.88,212.87,207.65,209.7,209.53,536025,536025,0.82,0.39257,209.775,"October 07, 25",0.0039257,,,,,
2025-10-06,207.17,209.73,206.52,206.84,206.67,588703,588703,-0.33,-0.15929,207.565,"October 06, 25",-0.0015929,,,,,
2025-10-03,206.21,208.64,205.52,207.24,207.07,585600,585600,1.03,0.49949,206.9025,"October 03, 25",0.0049949,,,,,
2025-10-02,202.76,207.32,202.65,205.54,205.37,597767,597767,2.78,1.37,204.5675,"October 02, 25",0.0137,,,,,
2025-10-01,203.95,204.71,200.9,203.51,203.34,581220,581220,-0.44,-0.21574,203.2675,"October 01, 25",-0.0021574,,,,,
2025-09-30,201.21,205.74,201,204.44,204.27,671838,671838,3.23,1.61,203.0975,"September 30, 25",0.0161,,,,,
2025-09-29,200.5,201.7,198.73,201.07,200.91,770632,770632,0.57,0.28429,200.5,"September 29, 25",0.0028429,,,,,
2025-09-26,198.74,201.07,197.02,200.85,200.69,452100,452100,2.11,1.06,199.42,"September 26, 25",0.0106,,,,,
2025-09-25,199.95,200.15,194.02,197.62,197.46,759624,759624,-2.33,-1.17,197.935,"September 25, 25",-0.0117,,,,,
2025-09-24,194.32,200.71,194.32,199.7,199.54,776533,776533,5.38,2.77,197.2625,"September 24, 25",0.0277,,,,,
2025-09-23,194.14,197.54,193,194.72,194.56,670200,670200,0.58,0.29875,194.85,"September 23, 25",0.0029875,,,,,
2025-09-22,189.69,194.81,188.48,194.16,194,720600,720600,4.47,2.36,191.785,"September 22, 25",0.0236,,,,,
2025-09-19,187.92,189.19,186.78,188.64,188.49,1396400,1396400,0.72,0.38314,188.1325,"September 19, 25",0.0038314,,,,,
2025-09-18,187.41,188.94,186.44,188.11,187.96,562500,562500,0.7,0.37351,187.725,"September 18, 25",0.0037351,,,,,
2025-09-17,186.88,191.17,185,187.39,187.24,518505,518505,0.51,0.2729,187.61,"September 17, 25",0.002729,,,,,
2025-09-16,190.35,191.53,185.74,186.26,186.11,636200,636200,-4.09,-2.15,188.47,"September 16, 25",-0.0215,,,,,
2025-09-15,191.54,192.18,188.24,189.58,189.42,657960,657960,-1.96,-1.02,190.385,"September 15, 25",-0.0102,,,,,
2025-09-12,189.58,193.13,188.28,191.72,191.56,736600,736600,2.14,1.13,190.6775,"September 12, 25",0.0113,,,,,
2025-09-11,186.75,191.2,186.17,190.79,190.63,675400,675400,4.04,2.16,188.7275,"September 11, 25",0.0216,,,,,
2025-09-10,186.57,187.83,181.89,186.06,185.91,1086000,1086000,-0.51,-0.27336,185.5875,"September 10, 25",-0.0027336,,,,,
2025-09-09,184.84,186.81,180.55,186.43,186.28,461425,461425,1.59,0.8602,184.6575,"September 09, 25",0.008602,,,,,
2025-09-08,190,190,184.54,185.76,185.61,637069,637069,-4.24,-2.23,187.575,"September 08, 25",-0.0223,,,,,
2025-09-05,186.34,190.82,185.91,190.12,189.96,654905,654905,3.78,2.03,188.2975,"September 05, 25",0.0203,,,,,
2025-09-04,182.24,186.49,180.96,185.68,185.53,742700,742700,3.44,1.89,183.8425,"September 04, 25",0.0189,,,,,
2025-09-03,180.89,181.95,180.42,181.57,181.42,520810,520810,0.68,0.37592,181.2075,"September 03, 25",0.0037592,,,,,
2025-09-02,180.33,183.05,180.1,181.51,181.36,533846,533846,1.18,0.65436,181.2475,"September 02, 25",0.0065436,0.2,2025-07-16,2025-09-16,2025-09-02,0.2
2025-08-29,180.95,182.37,180.43,181.58,181.23,599500,599500,0.63,0.34816,181.3325,"August 29, 25",0.0034816,,,,,
2025-08-28,182.36,182.43,180.46,181.22,180.87,945400,945400,-1.13,-0.62514,181.6175,"August 28, 25",-0.0062514,,,,,
2025-08-27,181.53,183.59,180.32,182.41,182.06,672600,672600,0.88,0.48477,181.9625,"August 27, 25",0.0048477,,,,,
2025-08-26,183.21,184,181.18,181.45,181.1,978007,978007,-1.76,-0.96065,182.46,"August 26, 25",-0.0096065,,,,,
2025-08-25,184.95,185.63,182.69,183.88,183.53,793548,793548,-1.07,-0.57853,184.2875,"August 25, 25",-0.0057853,,,,,
2025-08-22,184.33,186.19,182.5,185.58,185.22,627249,627249,1.25,0.67813,184.65,"August 22, 25",0.0067813,,,,,
2025-08-21,184.88,186.05,183.88,183.95,183.59,657448,657448,-0.93,-0.50303,184.69,"August 21, 25",-0.0050303,,,,,
2025-08-20,182.96,185.23,182.64,184.7,184.34,792400,792400,1.74,0.95103,183.8825,"August 20, 25",0.0095103,,,,,
2025-08-19,178.54,182.67,178.16,182.56,182.21,745811,745811,4.02,2.25,180.4825,"August 19, 25",0.0225,,,,,
2025-08-18,178.79,179.54,177.44,177.61,177.27,675665,675665,-1.18,-0.65999,178.345,"August 18, 25",-0.0065999,,,,,
2025-08-15,179.51,179.51,175.84,178.47,178.13,747960,747960,-1.04,-0.57935,178.3325,"August 15, 25",-0.0057935,,,,,
2025-08-14,177.11,179.31,175,178.74,178.4,611522,611522,1.63,0.92033,177.54,"August 14, 25",0.0092033,,,,,
2025-08-13,176.04,179.34,175.56,178.51,178.17,777126,777126,2.47,1.4,177.3625,"August 13, 25",0.014,,,,,
2025-08-12,172.69,175.77,172.46,175.21,174.87,605709,605709,2.52,1.46,174.0325,"August 12, 25",0.0146,,,,,
2025-08-11,172.54,175,171.24,171.66,171.33,853416,853416,-0.88,-0.51003,172.61,"August 11, 25",-0.0051003,,,,,
2025-08-08,169.4,172.62,167.88,172.3,171.97,606400,606400,2.9,1.71,170.55,"August 08, 25",0.0171,,,,,
2025-08-07,164.2,169.42,164.2,169.02,168.69,926034,926034,4.82,2.94,166.71,"August 07, 25",0.0294,,,,,
2025-08-06,165.19,166.26,163.47,163.48,163.16,715922,715922,-1.71,-1.04,164.6,"August 06, 25",-0.0104,,,,,
2025-08-05,165.37,166.77,164.27,164.7,164.38,613900,613900,-0.67,-0.40515,165.2775,"August 05, 25",-0.0040515,,,,,
2025-08-04,162.97,166.22,160.97,164.68,164.36,868000,868000,1.71,1.05,163.71,"August 04, 25",0.0105,,,,,
2025-08-01,166.98,168.53,162.02,162.98,162.67,1130500,1130500,-4,-2.4,165.1275,"August 01, 25",-0.024,,,,,
2025-07-31,166.2,169.65,164.62,166.45,166.13,1529411,1529411,0.25,0.15042,166.73,"July 31, 25",0.0015042,,,,,
2025-07-30,162.11,166.5,161.18,165.44,165.12,1797503,1797503,3.33,2.05,163.8075,"July 30, 25",0.0205,,,,,
2025-07-29,153.79,163.53,152.33,162.82,162.51,1917800,1917800,9.03,5.87,158.1175,"July 29, 25",0.0587,,,,,
2025-07-28,156.29,158.36,154.1,154.95,154.65,1478100,1478100,-1.34,-0.85738,155.925,"July 28, 25",-0.0085738,,,,,
2025-07-25,154.99,156.95,152.96,155.6,155.3,1187587,1187587,0.61,0.39357,155.125,"July 25, 25",0.0039357,,,,,
2025-07-24,164.01,164.01,155.26,155.46,155.16,1500954,1500954,-8.55,-5.21,159.685,"July 24, 25",-0.0521,,,,,
2025-07-23,165.31,166.04,162.04,164.82,164.5,1113000,1113000,-0.49,-0.29641,164.5525,"July 23, 25",-0.0029641,,,,,
2025-07-22,170.49,174.38,160.9,162.68,162.37,1734200,1734200,-7.81,-4.58,167.1125,"July 22, 25",-0.0458,,,,,
2025-07-21,169.41,170.46,167.87,168.75,168.42,479100,479100,-0.66,-0.38959,169.1225,"July 21, 25",-0.0038959,,,,,
2025-07-18,171.1,171.32,168.36,168.94,168.61,630500,630500,-2.16,-1.26,169.93,"July 18, 25",-0.0126,,,,,
2025-07-17,169.74,171.84,169.56,170.82,170.49,786916,786916,1.08,0.63627,170.49,"July 17, 25",0.0063627,,,,,
2025-07-16,176.01,176.93,168.61,170.28,169.95,1250400,1250400,-5.72,-3.26,172.9575,"July 16, 25",-0.0326,,,,,
2025-07-15,183.5,185,176,176.94,176.6,582300,582300,-6.56,-3.57,180.36,"July 15, 25",-0.0357,,,,,
2025-07-14,182.8,184.64,180.89,183.45,183.1,493200,493200,0.65,0.35558,182.945,"July 14, 25",0.0035558,,,,,
2025-07-11,182.19,183.31,181.36,182.52,182.17,402500,402500,0.33,0.18113,182.345,"July 11, 25",0.0018113,,,,,
2025-07-10,181.68,186.2,180.31,184.05,183.69,700900,700900,2.37,1.3,183.06,"July 10, 25",0.013,,,,,
2025-07-09,184.05,184.05,180.9,182.56,182.21,660800,660800,-1.49,-0.80956,182.89,"July 09, 25",-0.0080956,,,,,
2025-07-08,180.62,184.32,179.87,182.25,181.9,518646,518646,1.63,0.90245,181.765,"July 08, 25",0.0090245,,,,,
2025-07-07,184.43,185,180.52,181.52,181.17,800831,800831,-2.91,-1.58,182.8675,"July 07, 25",-0.0158,,,,,
2025-07-03,186.01,187.42,182.44,184.53,184.17,665323,665323,-1.48,-0.79566,185.1,"July 03, 25",-0.0079566,,,,,
2025-07-02,186.6,187.49,182.94,184.47,184.11,1048891,1048891,-2.13,-1.14,185.375,"July 02, 25",-0.0114,,,,,
2025-07-01,180.98,189.39,180.3,188.94,188.58,1351400,1351400,7.96,4.4,184.9025,"July 01, 25",0.044,,,,,
2025-06-30,177.67,182.56,176.49,181.15,180.8,1165400,1165400,3.48,1.96,179.4675,"June 30, 25",0.0196,,,,,
2025-06-27,177.75,181.64,177.66,178.08,177.74,1088833,1088833,0.33,0.18565,178.7825,"June 27, 25",0.0018565,,,,,
2025-06-26,180.58,184.41,177.23,177.43,177.09,874400,874400,-3.15,-1.74,179.9125,"June 26, 25",-0.0174,,,,,
2025-06-25,175.68,176.06,172.02,175.69,175.35,891900,891900,0.01,0.00569217,174.8625,"June 25, 25",5.69217e-05,,,,,
2025-06-24,174.26,176.05,170.84,175.2,174.86,946603,946603,0.94,0.53942,174.0875,"June 24, 25",0.0053942,,,,,
2025-06-23,172.09,174.18,169.31,173.52,173.19,1065295,1065295,1.43,0.83096,172.275,"June 23, 25",0.0083096,,,,,
2025-06-20,171.35,175.89,171.35,171.7,171.37,1572650,1572650,0.35,0.20426,172.5725,"June 20, 25",0.0020426,,,,,
2025-06-18,171.77,173.04,170.1,171.24,170.91,986800,986800,-0.53,-0.30855,171.5375,"June 18, 25",-0.0030855,,,,,
2025-06-17,167.99,172.68,166.1,171.76,171.43,1358100,1358100,3.77,2.24,169.6325,"June 17, 25",0.0224,,,,,
2025-06-16,172.69,175.48,163.21,170.36,170.03,1946345,1946345,-2.33,-1.35,170.435,"June 16, 25",-0.0135,,,,,
2025-06-13,171.79,173.38,170.59,171.07,170.74,667819,667819,-0.72,-0.41912,171.7075,"June 13, 25",-0.0041912,,,,,
2025-06-12,172.26,173.91,171.14,173.66,173.32,684018,684018,1.4,0.81272,172.7425,"June 12, 25",0.0081272,,,,,
2025-06-11,172.89,175.64,171.31,172.29,171.96,746300,746300,-0.6,-0.34704,173.0325,"June 11, 25",-0.0034704,,,,,
2025-06-10,177.41,177.41,168.65,172.67,172.34,1550407,1550407,-4.74,-2.67,174.035,"June 10, 25",-0.0267,,,,,
2025-06-09,188.57,188.57,169.79,177.77,177.43,1333167,1333167,-10.8,-5.73,181.175,"June 09, 25",-0.0573,,,,,
2025-06-06,189.34,191,188.6,189.39,189.02,379400,379400,0.05,0.02640752,189.5825,"June 06, 25",0.0002640752,,,,,
2025-06-05,188.65,190.62,188.14,189.09,188.73,538700,538700,0.44,0.23324,189.125,"June 05, 25",0.0023324,,,,,
2025-06-04,191.44,191.95,188.44,188.65,188.29,497438,497438,-2.79,-1.46,190.12,"June 04, 25",-0.0146,,,,,
2025-06-03,186.63,189.31,186.24,188.81,188.45,534538,534538,2.18,1.17,187.7475,"June 03, 25",0.0117,,,,,
2025-06-02,189.83,189.9,184.9,187.38,187.02,707836,707836,-2.45,-1.29,188.0025,"June 02, 25",-0.0129,0.2,2025-05-14,2025-06-16,2025-06-02,0.2
2025-05-30,190.08,191.96,188.78,190.35,189.78,814900,814900,0.27,0.14205,190.2925,"May 30, 25",0.0014205,,,,,
2025-05-29,191.66,193.64,190.62,191.05,190.48,407900,407900,-0.61,-0.31827,191.7425,"May 29, 25",-0.0031827,,,,,
2025-05-28,191.56,193.8,190.1,190.39,189.82,634500,634500,-1.17,-0.61077,191.4625,"May 28, 25",-0.0061077,,,,,
2025-05-27,189.04,193.16,187.83,192.42,191.84,973300,973300,3.38,1.79,190.6125,"May 27, 25",0.0179,,,,,
2025-05-23,184.69,186.74,183.66,186.21,185.65,439400,439400,1.52,0.823,185.325,"May 23, 25",0.00823,,,,,
2025-05-22,188.58,190.39,186.36,186.65,186.09,462405,462405,-1.93,-1.02,187.995,"May 22, 25",-0.0102,,,,,
2025-05-21,194.75,195.63,190.07,190.15,189.58,495600,495600,-4.6,-2.36,192.65,"May 21, 25",-0.0236,,,,,
2025-05-20,196.54,197.13,194.58,195.73,195.14,553100,553100,-0.81,-0.41213,195.995,"May 20, 25",-0.0041213,,,,,
2025-05-19,196.34,197.96,194.97,196.82,196.23,470000,470000,0.48,0.24447,196.5225,"May 19, 25",0.0024447,,,,,
2025-05-16,196.32,198.19,193.7,197.94,197.35,766100,766100,1.62,0.82518,196.5375,"May 16, 25",0.0082518,,,,,
2025-05-15,186.85,196.17,186.1,195.88,195.29,930600,930600,9.03,4.83,191.25,"May 15, 25",0.0483,,,,,
2025-05-14,191.57,192.14,187.71,187.83,187.27,721195,721195,-3.74,-1.95,189.8125,"May 14, 25",-0.0195,,,,,
2025-05-13,190.55,193.72,190.14,192.17,191.6,733451,733451,1.62,0.85017,191.645,"May 13, 25",0.0085017,,,,,
2025-05-12,183.93,199.03,183.93,191.55,190.98,1105290,1105290,7.62,4.14,189.61,"May 12, 25",0.0414,,,,,
2025-05-09,184.01,184.36,181.09,181.78,181.24,828400,828400,-2.23,-1.21,182.81,"May 09, 25",-0.0121,,,,,
2025-05-08,186.71,187.98,183.68,183.77,183.22,755808,755808,-2.94,-1.57,185.535,"May 08, 25",-0.0157,,,,,
2025-05-07,184.01,187.56,181.03,186.59,186.03,773800,773800,2.58,1.4,184.7975,"May 07, 25",0.014,,,,,
2025-05-06,177.68,186.89,175.41,184.16,183.61,1609013,1609013,6.48,3.65,181.035,"May 06, 25",0.0365,,,,,
2025-05-05,178.62,180.61,177.18,178.19,177.66,489326,489326,-0.43,-0.24073,178.65,"May 05, 25",-0.0024073,,,,,
2025-05-02,176.95,179.35,176.75,178.74,178.21,588900,588900,1.79,1.01,177.9475,"May 02, 25",0.0101,,,,,
2025-05-01,176.33,179.25,174.29,174.63,174.11,608200,608200,-1.7,-0.9641,176.125,"May 01, 25",-0.009641,,,,,
2025-04-30,172.21,177.37,169.06,177.07,176.54,1048541,1048541,4.86,2.82,173.9275,"April 30, 25",0.0282,,,,,
2025-04-29,168.4,173.84,161.65,171.88,171.37,1499000,1499000,3.48,2.07,168.9425,"April 29, 25",0.0207,,,,,
2025-04-28,170.96,173.71,170.04,172.91,172.39,942596,942596,1.95,1.14,171.905,"April 28, 25",0.0114,,,,,
2025-04-25,175.92,175.92,170.36,171.68,171.17,1009000,1009000,-4.24,-2.41,173.47,"April 25, 25",-0.0241,,,,,
2025-04-24,167.5,174.17,167.48,174,173.48,1065700,1065700,6.5,3.88,170.7875,"April 24, 25",0.0388,,,,,
2025-04-23,164.81,170.03,164.81,166.79,166.29,775900,775900,1.98,1.2,166.61,"April 23, 25",0.012,,,,,
2025-04-22,158.71,162.08,157.61,161.3,160.82,814600,814600,2.59,1.63,159.925,"April 22, 25",0.0163,,,,,
2025-04-21,175.07,175.68,153.99,157.05,156.58,1262000,1262000,-18.02,-10.29,165.4475,"April 21, 25",-0.1029,,,,,
2025-04-17,176.1,176.75,172.35,174.8,174.28,585700,585700,-1.3,-0.73822,175,"April 17, 25",-0.0073822,,,,,
2025-04-16,176,176.37,173,173.66,173.14,596400,596400,-2.34,-1.33,174.7575,"April 16, 25",-0.0133,,,,,
2025-04-15,176.87,178.19,174.83,175.5,174.98,533200,533200,-1.37,-0.77458,176.3475,"April 15, 25",-0.0077458,,,,,
2025-04-14,177.27,179.32,175.48,178.82,178.29,536700,536700,1.55,0.87437,177.7225,"April 14, 25",0.0087437,,,,,
2025-04-11,178.18,178.18,172.08,175.41,174.89,985907,985907,-2.77,-1.55,175.9625,"April 11, 25",-0.0155,,,,,
2025-04-10,181.12,182.66,172.93,178.24,177.71,652555,652555,-2.88,-1.59,178.7375,"April 10, 25",-0.0159,,,,,
2025-04-09,171.01,184.91,169.94,183.07,182.52,820534,820534,12.06,7.05,177.2325,"April 09, 25",0.0705,,,,,
2025-04-08,177.36,181.33,170.88,173.28,172.76,792009,792009,-4.08,-2.3,175.7125,"April 08, 25",-0.023,,,,,
2025-04-07,171.43,179.53,167.5,171.67,171.16,878366,878366,0.24,0.14,172.5325,"April 07, 25",0.0014,,,,,
2025-04-04,183.36,185.21,173.62,174.53,174.01,1577313,1577313,-8.83,-4.82,179.18,"April 04, 25",-0.0482,,,,,
2025-04-03,186.72,190.67,185.87,188.73,188.17,886738,886738,2.01,1.08,187.9975,"April 03, 25",0.0108,,,,,
2025-04-02,184.81,189.55,184.81,188.78,188.22,585501,585501,3.97,2.15,186.9875,"April 02, 25",0.0215,,,,,
2025-04-01,188.4,188.55,184.77,187.81,187.25,640322,640322,-0.59,-0.31316,187.3825,"April 01, 25",-0.0031316,,,,,
2025-03-31,184.77,189.59,183.23,187.9,187.34,654172,654172,3.13,1.69,186.3725,"March 31, 25",0.0169,,,,,
2025-03-28,187.29,188.4,185.64,186.18,185.62,733220,733220,-1.11,-0.59266,186.8775,"March 28, 25",-0.0059266,,,,,
2025-03-27,184.87,187.95,183.14,186.53,185.97,1006590,1006590,1.66,0.89793,185.6225,"March 27, 25",0.0089793,,,,,
2025-03-26,187.35,187.45,181,184.46,183.91,1056900,1056900,-2.89,-1.54,185.065,"March 26, 25",-0.0154,,,,,
2025-03-25,183.81,189.77,182.93,185.91,185.35,1221743,1221743,2.1,1.14,185.605,"March 25, 25",0.0114,,,,,
2025-03-24,175.15,182.84,174.6,181.58,181.04,951758,951758,6.43,3.67,178.5425,"March 24, 25",0.0367,,,,,
2025-03-21,177.21,178.19,173.89,174.14,173.62,1400564,1400564,-3.07,-1.73,175.8575,"March 21, 25",-0.0173,,,,,
2025-03-20,176.99,181.07,176.22,178.7,178.17,919188,919188,1.71,0.96616,178.245,"March 20, 25",0.0096616,,,,,
2025-03-19,176.13,179.8,176.13,178.08,177.55,855811,855811,1.95,1.11,177.535,"March 19, 25",0.0111,,,,,
2025-03-18,174.55,177.46,173.79,176.34,175.81,903140,903140,1.79,1.03,175.535,"March 18, 25",0.0103,,,,,
2025-03-17,166.79,175.25,166.79,174.58,174.06,897813,897813,7.79,4.67,170.8525,"March 17, 25",0.0467,,,,,
2025-03-14,165.68,169.77,164.67,167.67,167.17,757900,757900,1.99,1.2,166.9475,"March 14, 25",0.012,,,,,
2025-03-13,167.02,167.67,162.4,163.99,163.5,1101002,1101002,-3.03,-1.81,165.27,"March 13, 25",-0.0181,,,,,
2025-03-12,172.53,172.79,164.75,166.61,166.11,946100,946100,-5.92,-3.43,169.17,"March 12, 25",-0.0343,,,,,
2025-03-11,175,175.35,171,172.52,172,1225600,1225600,-2.48,-1.42,173.4675,"March 11, 25",-0.0142,,,,,
2025-03-10,171.14,179.55,171.14,174.55,174.03,1515853,1515853,3.41,1.99,174.095,"March 10, 25",0.0199,,,,,
2025-03-07,174.87,176.8,171.08,172.66,172.14,1876400,1876400,-2.21,-1.26,173.8525,"March 07, 25",-0.0126,,,,,
