date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,recordDate,dividend,adjDividend
2025-12-03,425,433.5,425,431.69,429.95,483900,483900,6.69,1.57,428.8,"December 03, 25",0.0157,,,,,
2025-12-02,423.14,428.57,420.01,424.64,422.93,645000,645000,1.5,0.35449,424.09,"December 02, 25",0.0035449,,,,,
2025-12-01,419.81,428.54,418.81,423.85,422.14,634700,634700,4.04,0.96234,422.75,"December 01, 25",0.0096234,,,,,
2025-11-28,416.16,423.99,415.04,419.63,417.94,243400,243400,3.47,0.83381,418.71,"November 28, 25",0.0083381,,,,,
2025-11-26,417.31,422.23,415.3,415.59,413.92,497000,497000,-1.72,-0.41216,417.61,"November 26, 25",-0.0041216,,,,,
2025-11-25,403.6,418.2,403.6,417.62,415.94,647600,647600,14.02,3.47,410.76,"November 25, 25",0.0347,,,,,
2025-11-24,409,413.57,401.25,402.67,401.05,667400,667400,-6.33,-1.55,406.62,"November 24, 25",-0.0155,,,,,
2025-11-21,398.67,413.65,398.17,407.4,405.76,476300,476300,8.73,2.19,404.47,"November 21, 25",0.0219,,,,,
2025-11-20,399.96,403,397.07,397.21,395.61,486500,486500,-2.75,-0.68757,399.31,"November 20, 25",-0.0068757,,,,,
2025-11-19,403.45,405.35,399.5,399.67,398.06,326000,326000,-3.78,-0.93692,401.99,"November 19, 25",-0.0093692,,,,,
2025-11-18,403.41,408,400,403.34,401.71,312400,312400,-0.07,-0.01735207,403.69,"November 18, 25",-0.0001735207,,,,,
2025-11-17,410.6,411.41,403.15,404.63,403,500600,500600,-5.97,-1.45,407.45,"November 17, 25",-0.0145,,,,,
2025-11-14,409.41,412.77,405.21,410.16,408.51,445400,445400,0.75,0.18319,409.39,"November 14, 25",0.0018319,,,,,
2025-11-13,404.63,412.3,403.99,408.68,407.03,486000,486000,4.05,1,407.4,"November 13, 25",0.01,,,,,
2025-11-12,409.04,411.51,402.2,403.76,402.13,544100,544100,-5.28,-1.29,406.63,"November 12, 25",-0.0129,,,,,
2025-11-11,409.03,410.86,406.41,409.23,407.58,279000,279000,0.2,0.04889617,408.88,"November 11, 25",0.0004889617,,,,,
2025-11-10,409,410.18,398.85,407.59,405.95,463700,463700,-1.41,-0.34474,406.4,"November 10, 25",-0.0034474,,,,,
2025-11-07,402.49,411.08,401,410.18,408.53,486400,486400,7.69,1.91,406.19,"November 07, 25",0.0191,,,,,
2025-11-06,400.8,405.99,397.72,401.46,399.84,516000,516000,0.66,0.16467,401.49,"November 06, 25",0.0016467,,,,,
2025-11-05,406.28,408.21,399.25,400.41,398.8,686300,686300,-5.87,-1.44,403.54,"November 05, 25",-0.0144,,,,,
2025-11-04,407.89,410.05,403.34,406.88,405.24,649000,649000,-1.01,-0.24762,407.04,"November 04, 25",-0.0024762,,,,,
2025-11-03,398.66,406.9,392.89,403.63,402,715000,715000,4.97,1.25,400.52,"November 03, 25",0.0125,,,,,
2025-10-31,403,403,394.3,398.46,396.85,716300,716300,-4.54,-1.13,399.69,"October 31, 25",-0.0113,,,,,
2025-10-30,402.83,407.08,401.84,403.96,402.33,685200,685200,1.13,0.28052,403.93,"October 30, 25",0.0028052,,,,,
2025-10-29,408.2,410.03,403.27,405.87,404.23,550200,550200,-2.33,-0.5708,406.84,"October 29, 25",-0.005708,,,,,
2025-10-28,412.71,414.99,409.95,410.97,409.31,430800,430800,-1.74,-0.4216,412.15,"October 28, 25",-0.004216,,,,,
2025-10-27,415.05,415.25,407.78,412.7,411.04,554900,554900,-2.35,-0.5662,412.69,"October 27, 25",-0.005662,,,,,
2025-10-24,422.25,423.69,414.24,414.86,413.19,482500,482500,-7.39,-1.75,418.76,"October 24, 25",-0.0175,,,,,
2025-10-23,423.11,424.81,420.53,421.76,420.06,689800,689800,-1.35,-0.31907,422.55,"October 23, 25",-0.0031907,,,,,
2025-10-22,420.52,425.24,416,424.82,423.11,635200,635200,4.3,1.02,421.64,"October 22, 25",0.0102,,,,,
2025-10-21,422.94,424.1,418.5,419.88,418.19,434400,434400,-3.06,-0.72351,421.36,"October 21, 25",-0.0072351,,,,,
2025-10-20,417.13,425.05,417.13,422.94,421.24,402900,402900,5.81,1.39,420.56,"October 20, 25",0.0139,,,,,
2025-10-17,417.71,420.71,415.52,416.26,414.58,514700,514700,-1.45,-0.34713,417.55,"October 17, 25",-0.0034713,,,,,
2025-10-16,417.22,426,414.32,416.95,415.27,661200,661200,-0.27,-0.06471406,418.62,"October 16, 25",-0.0006471406,,,,,
2025-10-15,421.48,425.62,413.01,417.46,415.78,873300,873300,-4.02,-0.95378,419.39,"October 15, 25",-0.0095378,,,,,
2025-10-14,407.25,428.26,398.81,424.23,422.52,1630700,1630700,16.98,4.17,414.64,"October 14, 25",0.0417,,,,,
2025-10-13,404.56,410.9,403.54,408.26,406.61,991900,991900,3.7,0.91457,406.82,"October 13, 25",0.0091457,,,,,
2025-10-10,407,412,404.37,406.37,404.73,881800,881800,-0.63,-0.15479,407.43,"October 10, 25",-0.0015479,,,,,
2025-10-09,415.56,415.78,405.11,405.33,403.7,883000,883000,-10.23,-2.46,410.44,"October 09, 25",-0.0246,,,,,
2025-10-08,414.14,417.15,411.29,413.5,411.83,557200,557200,-0.64,-0.15454,414.02,"October 08, 25",-0.0015454,,,,,
2025-10-07,423.37,424.98,409.83,411.43,409.77,789700,789700,-11.94,-2.82,417.4,"October 07, 25",-0.0282,,,,,
2025-10-06,426,430,421.38,422.91,421.21,442600,442600,-3.09,-0.72535,425.07,"October 06, 25",-0.0072535,,,,,
2025-10-03,430,431.24,426.12,426.71,424.99,541200,541200,-3.29,-0.76512,428.52,"October 03, 25",-0.0076512,,,,,
2025-10-02,426.52,432.98,423.38,431.24,429.5,492200,492200,4.72,1.11,428.53,"October 02, 25",0.0111,,,,,
2025-10-01,431.95,435.94,427.16,428.16,426.43,606700,606700,-3.79,-0.87742,430.8,"October 01, 25",-0.0087742,,,,,
2025-09-30,432.3,432.97,427.67,431.71,429.97,564900,564900,-0.59,-0.13648,431.16,"September 30, 25",-0.0013648,,,,,
2025-09-29,437.19,437.63,432,434.41,432.66,704800,704800,-2.78,-0.63588,435.31,"September 29, 25",-0.0063588,,,,,
2025-09-26,431,441.64,429.4,435.75,433.99,931900,931900,4.75,1.1,434.45,"September 26, 25",0.011,,,,,
2025-09-25,427.33,427.64,420.23,422.75,421.05,565100,565100,-4.58,-1.07,424.49,"September 25, 25",-0.0107,,,,,
2025-09-24,424,429,423.36,425.3,423.59,553900,553900,1.3,0.3066,425.41,"September 24, 25",0.003066,,,,,
2025-09-23,425,426.29,420.52,423.89,422.18,689100,689100,-1.11,-0.26118,423.93,"September 23, 25",-0.0026118,,,,,
2025-09-22,428.71,429.5,422.86,424.96,423.25,1033300,1033300,-3.75,-0.87472,426.51,"September 22, 25",-0.0087472,,,,,
2025-09-19,432.7,432.7,427.43,428.71,426.98,1485700,1485700,-3.99,-0.92212,430.39,"September 19, 25",-0.0092212,,,,,
2025-09-18,436.59,436.59,427.32,430.08,428.35,813600,813600,-6.51,-1.49,432.64,"September 18, 25",-0.0149,,,,,
2025-09-17,443.94,446.49,436.98,438.21,436.44,611100,611100,-5.73,-1.29,441.4,"September 17, 25",-0.0129,,,,,
2025-09-16,448.08,450.03,440.53,442.42,440.64,634900,634900,-5.66,-1.26,445.26,"September 16, 25",-0.0126,,,,,
2025-09-15,451.66,455.72,448.12,449.95,448.14,512800,512800,-1.71,-0.3786,451.36,"September 15, 25",-0.003786,2025-07-15,2025-09-30,2025-09-15,1.74,1.74
2025-09-12,455.84,458.27,451.13,452.05,448.5,437300,437300,-3.79,-0.83143,454.32,"September 12, 25",-0.0083143,,,,,
2025-09-11,449.5,458.29,446.88,456.62,453.03,533800,533800,7.12,1.58,452.82,"September 11, 25",0.0158,,,,,
2025-09-10,456.19,458.9,445.43,450.56,447.02,682900,682900,-5.63,-1.23,452.77,"September 10, 25",-0.0123,,,,,
2025-09-09,463.2,464.23,458,458.97,455.36,418700,418700,-4.23,-0.91321,461.1,"September 09, 25",-0.0091321,,,,,
2025-09-08,464.16,467.22,456.51,466.11,462.44,527700,527700,1.95,0.42011,463.5,"September 08, 25",0.0042011,,,,,
2025-09-05,463.06,466.6,458.76,463.83,460.18,329300,329300,0.77,0.16629,463.06,"September 05, 25",0.0016629,,,,,
2025-09-04,467.11,467.83,455.54,462.6,458.96,463500,463500,-4.51,-0.96551,463.27,"September 04, 25",-0.0096551,,,,,
2025-09-03,464.62,468.87,463.98,466.6,462.93,386700,386700,1.98,0.42615,466.02,"September 03, 25",0.0042615,,,,,
2025-09-02,459.21,469,459.21,467.3,463.63,597200,597200,8.09,1.76,463.68,"September 02, 25",0.0176,,,,,
2025-08-29,451.31,460.27,451.31,458.3,454.7,430500,430500,6.99,1.55,455.3,"August 29, 25",0.0155,,,,,
2025-08-28,454.08,455.28,447.01,448.96,445.43,477100,477100,-5.12,-1.13,451.33,"August 28, 25",-0.0113,,,,,
2025-08-27,452.84,465.6,451.2,452.55,448.99,855600,855600,-0.29,-0.06404028,455.55,"August 27, 25",-0.0006404028,,,,,
2025-08-26,460.24,461.15,444.47,451.22,447.67,754000,754000,-9.02,-1.96,454.27,"August 26, 25",-0.0196,,,,,
2025-08-25,451.22,463.08,450.6,460.66,457.04,817700,817700,9.44,2.09,456.39,"August 25, 25",0.0209,,,,,
2025-08-22,448.58,451.52,445.5,450.99,447.44,768800,768800,2.41,0.53725,449.15,"August 22, 25",0.0053725,,,,,
2025-08-21,440.47,448.64,437.45,446.86,443.35,713800,713800,6.39,1.45,443.36,"August 21, 25",0.0145,,,,,
2025-08-20,451,454.66,441.8,442.86,439.38,843600,843600,-8.14,-1.8,447.58,"August 20, 25",-0.018,,,,,
2025-08-19,444.85,456.17,444.45,450.56,447.02,687200,687200,5.71,1.28,449.01,"August 19, 25",0.0128,,,,,
2025-08-18,451.5,453.38,444.45,444.85,441.35,745800,745800,-6.65,-1.47,448.55,"August 18, 25",-0.0147,,,,,
2025-08-15,451.25,455.25,447.82,451.26,447.71,559600,559600,0.01,0.00221607,451.4,"August 15, 25",2.21607e-05,,,,,
2025-08-14,447.78,452.17,446.76,450.59,447.05,533900,533900,2.81,0.62754,449.33,"August 14, 25",0.0062754,,,,,
2025-08-13,440.2,451.69,439.95,450.98,447.43,449200,449200,10.78,2.45,445.71,"August 13, 25",0.0245,,,,,
2025-08-12,441.45,444.99,438.71,441.19,437.72,540500,540500,-0.26,-0.05889682,441.58,"August 12, 25",-0.0005889682,,,,,
2025-08-11,439.71,442.44,433.5,440.54,437.08,679100,679100,0.83,0.18876,439.05,"August 11, 25",0.0018876,,,,,
2025-08-08,440,446.91,439.55,440.04,436.58,469100,469100,0.04,0.00909091,441.63,"August 08, 25",9.09091e-05,,,,,
2025-08-07,446.39,448.09,439,442.42,438.94,645400,645400,-3.97,-0.88936,443.98,"August 07, 25",-0.0088936,,,,,
2025-08-06,447.1,451.5,439.38,443.78,440.29,749300,749300,-3.32,-0.74256,445.44,"August 06, 25",-0.0074256,,,,,
2025-08-05,464.61,465.49,446.81,447.13,443.61,855600,855600,-17.48,-3.76,456.01,"August 05, 25",-0.0376,,,,,
2025-08-04,466.36,468.49,461.5,467.98,464.3,512300,512300,1.62,0.34737,466.08,"August 04, 25",0.0034737,,,,,
2025-08-01,464.89,467.65,461.4,466.17,462.5,511500,511500,1.28,0.27533,465.03,"August 01, 25",0.0027533,,,,,
2025-07-31,470.13,477,461.49,463.21,459.57,848700,848700,-6.92,-1.47,467.96,"July 31, 25",-0.0147,,,,,
2025-07-30,470.05,475.9,469.76,475.38,471.64,515900,515900,5.33,1.13,472.77,"July 30, 25",0.0113,,,,,
2025-07-29,472.71,473.4,466.36,470.05,466.35,711200,711200,-2.66,-0.56271,470.63,"July 29, 25",-0.0056271,,,,,
2025-07-28,486,486.68,471.32,474.32,470.59,744800,744800,-11.68,-2.4,479.58,"July 28, 25",-0.024,,,,,
2025-07-25,478.1,486.45,477.34,485.53,481.71,422900,422900,7.43,1.55,481.86,"July 25, 25",0.0155,,,,,
2025-07-24,472.64,483.5,469.82,476.34,472.59,745500,745500,3.7,0.78284,475.58,"July 24, 25",0.0078284,,,,,
2025-07-23,483.03,484.44,474.74,478.05,474.29,727800,727800,-4.98,-1.03,480.06,"July 23, 25",-0.0103,,,,,
2025-07-22,465.15,482.7,458.12,480.97,477.19,1234500,1234500,15.82,3.4,471.74,"July 22, 25",0.034,,,,,
2025-07-21,488.98,496,452.83,462.24,458.6,2382100,2382100,-26.74,-5.47,475.01,"July 21, 25",-0.0547,,,,,
2025-07-18,469.72,472,464.34,465.95,462.29,1159400,1159400,-3.77,-0.80261,468,"July 18, 25",-0.0080261,,,,,
2025-07-17,465.41,472,460.29,468.71,465.02,852500,852500,3.3,0.70905,466.6,"July 17, 25",0.0070905,,,,,
2025-07-16,467.63,472.58,462.84,465.3,461.64,783200,783200,-2.33,-0.49826,467.09,"July 16, 25",-0.0049826,,,,,
2025-07-15,473.02,477.95,465.24,465.39,461.73,419200,419200,-7.63,-1.61,470.4,"July 15, 25",-0.0161,,,,,
2025-07-14,465,474.95,463.58,472.94,469.22,627400,627400,7.94,1.71,469.12,"July 14, 25",0.0171,,,,,
2025-07-11,470.79,470.79,462.94,464.48,460.83,421700,421700,-6.31,-1.34,467.25,"July 11, 25",-0.0134,,,,,
2025-07-10,463.48,473.46,462.67,469.92,466.22,476200,476200,6.44,1.39,467.38,"July 10, 25",0.0139,,,,,
2025-07-09,459.49,469.26,457.02,463.48,459.84,571500,571500,3.99,0.86835,462.31,"July 09, 25",0.0086835,,,,,
2025-07-08,453.07,460.2,448.36,459.43,455.82,600600,600600,6.36,1.4,455.26,"July 08, 25",0.014,,,,,
2025-07-07,451.97,455.5,448.2,453.22,449.66,512200,512200,1.25,0.27657,452.22,"July 07, 25",0.0027657,,,,,
2025-07-03,451.7,453.25,448.88,452.18,448.62,390500,390500,0.48,0.10627,451.5,"July 03, 25",0.0010627,,,,,
2025-07-02,455.23,457,445.44,453.94,450.37,510100,510100,-1.29,-0.28337,452.9,"July 02, 25",-0.0028337,,,,,
2025-07-01,451.19,462.02,449.11,457.53,453.93,434200,434200,6.34,1.41,454.96,"July 01, 25",0.0141,,,,,
2025-06-30,445.75,451.21,443.53,450.6,447.06,668800,668800,4.85,1.09,447.77,"June 30, 25",0.0109,,,,,
2025-06-27,454.27,454.27,439.32,446.39,442.88,963300,963300,-7.88,-1.73,448.56,"June 27, 25",-0.0173,,,,,
2025-06-26,458.04,458.65,448.06,454.72,451.14,604100,604100,-3.32,-0.72483,454.87,"June 26, 25",-0.0072483,,,,,
2025-06-25,459.66,465,451.81,453.13,449.57,571300,571300,-6.53,-1.42,457.4,"June 25, 25",-0.0142,,,,,
2025-06-24,458.03,463,452.13,459.97,456.35,459500,459500,1.94,0.42355,458.28,"June 24, 25",0.0042355,,,,,
2025-06-23,450.03,458.07,445,457.61,454.01,538700,538700,7.58,1.68,452.68,"June 23, 25",0.0168,,,,,
2025-06-20,450.7,453.99,446.28,447.28,443.76,861900,861900,-3.42,-0.75882,449.56,"June 20, 25",-0.0075882,,,,,
2025-06-18,458.43,458.43,446.75,446.77,443.26,586000,586000,-11.66,-2.54,452.59,"June 18, 25",-0.0254,,,,,
2025-06-17,452.77,463.97,452.77,458.78,455.17,501900,501900,6.01,1.33,457.07,"June 17, 25",0.0133,,,,,
2025-06-16,455,458.63,446.1,454.45,450.88,627500,627500,-0.55,-0.12088,453.55,"June 16, 25",-0.0012088,,,,,
2025-06-13,448.38,460.55,446.4,452.15,448.59,852900,852900,3.77,0.8408,451.87,"June 13, 25",0.008408,2025-04-23,2025-06-30,2025-06-13,1.74,1.74
2025-06-12,446.24,451.99,444.3,451,445.73,538500,538500,4.76,1.07,448.38,"June 12, 25",0.0107,,,,,
2025-06-11,455.65,457,445.86,446.9,441.67,741500,741500,-8.75,-1.92,451.35,"June 11, 25",-0.0192,,,,,
2025-06-10,461.14,462.75,452.05,455.49,450.16,626400,626400,-5.65,-1.23,457.86,"June 10, 25",-0.0123,,,,,
2025-06-09,468.69,470.05,461.12,467.95,462.48,501600,501600,-0.74,-0.15789,466.95,"June 09, 25",-0.0015789,,,,,
2025-06-06,463.94,468.56,462,468.21,462.74,432100,432100,4.27,0.92038,465.68,"June 06, 25",0.0092038,,,,,
2025-06-05,465.85,466.89,458.6,460.03,454.65,433300,433300,-5.82,-1.25,462.84,"June 05, 25",-0.0125,,,,,
2025-06-04,464,470.55,463.92,465.91,460.46,384600,384600,1.91,0.41164,466.1,"June 04, 25",0.0041164,,,,,
2025-06-03,463.89,467,458.52,464.53,459.1,559400,559400,0.64,0.13796,463.49,"June 03, 25",0.0013796,,,,,
2025-06-02,471.69,473.1,455.19,466,460.55,711500,711500,-5.69,-1.21,466.5,"June 02, 25",-0.0121,,,,,
2025-05-30,473.1,475.35,470.76,473.82,468.28,1229900,1229900,0.72,0.15219,473.26,"May 30, 25",0.0015219,,,,,
2025-05-29,483.82,485.47,471.1,474.52,468.97,592300,592300,-9.3,-1.92,478.73,"May 29, 25",-0.0192,,,,,
2025-05-28,484.32,488.81,482.96,483.11,477.46,373500,373500,-1.21,-0.24983,484.8,"May 28, 25",-0.0024983,,,,,
2025-05-27,483.31,486.35,480.76,484.56,478.89,389000,389000,1.25,0.25863,483.75,"May 27, 25",0.0025863,,,,,
2025-05-23,476.52,481.93,476.52,480.43,474.81,352300,352300,3.91,0.82053,478.85,"May 23, 25",0.0082053,,,,,
2025-05-22,480.39,485.06,477.01,482.26,476.62,416500,416500,1.87,0.38927,481.18,"May 22, 25",0.0038927,,,,,
2025-05-21,488.01,490.17,478.78,480.49,474.87,471500,471500,-7.52,-1.54,484.36,"May 21, 25",-0.0154,,,,,
2025-05-20,497,499.08,492.17,493.07,487.31,358000,358000,-3.93,-0.79074,495.33,"May 20, 25",-0.0079074,,,,,
2025-05-19,492.23,499.08,492.11,497.52,491.7,305200,305200,5.29,1.07,495.23,"May 19, 25",0.0107,,,,,
2025-05-16,490.5,495.85,484.99,495.05,489.26,349300,349300,4.55,0.92762,491.6,"May 16, 25",0.0092762,,,,,
2025-05-15,484.2,488.73,483.83,485.91,480.23,352800,352800,1.71,0.35316,485.67,"May 15, 25",0.0035316,,,,,
2025-05-14,483.37,486.4,481.21,483.23,477.58,454100,454100,-0.14,-0.02896332,483.55,"May 14, 25",-0.0002896332,,,,,
2025-05-13,484,489.68,481.17,484.4,478.74,681100,681100,0.4,0.08264463,484.81,"May 13, 25",0.0008264463,,,,,
2025-05-12,484.6,488,477.35,482.11,476.47,772700,772700,-2.49,-0.51383,483.01,"May 12, 25",-0.0051383,,,,,
2025-05-09,477.99,481.55,473.83,478.9,473.3,435100,435100,0.91,0.19038,478.07,"May 09, 25",0.0019038,,,,,
2025-05-08,477.95,481.31,475.02,476.82,471.25,435300,435300,-1.13,-0.23643,477.78,"May 08, 25",-0.0023643,,,,,
2025-05-07,480,482.13,475.28,476.68,471.11,493500,493500,-3.32,-0.69167,478.52,"May 07, 25",-0.0069167,,,,,
2025-05-06,474.6,480.35,470,479.49,473.88,458800,458800,4.89,1.03,476.11,"May 06, 25",0.0103,,,,,
2025-05-05,482,484.3,477.69,477.84,472.25,486000,486000,-4.16,-0.86307,480.46,"May 05, 25",-0.0086307,,,,,
2025-05-02,486.22,489.45,475,484.61,478.94,594900,594900,-1.61,-0.33113,483.82,"May 02, 25",-0.0033113,,,,,
2025-05-01,488.39,490.82,480.93,481.39,475.76,499200,499200,-7,-1.43,485.38,"May 01, 25",-0.0143,,,,,
2025-04-30,489.85,493.93,482.3,490.37,484.64,611600,611600,0.52,0.10615,489.11,"April 30, 25",0.0010615,,,,,
2025-04-29,489,498.36,485.95,493.43,487.66,650100,650100,4.43,0.90593,491.68,"April 29, 25",0.0090593,,,,,
2025-04-28,477.02,497.56,471,490.64,484.9,1432200,1432200,13.62,2.86,484.06,"April 28, 25",0.0286,,,,,
2025-04-25,486.96,488,480.11,487.58,481.88,1020600,1020600,0.62,0.12732,485.66,"April 25, 25",0.0012732,,,,,
2025-04-24,482.64,488.07,476.21,487.97,482.26,507000,507000,5.33,1.1,483.72,"April 24, 25",0.011,,,,,
2025-04-23,486.33,491.95,481.66,485.88,480.2,581400,581400,-0.45,-0.09252976,486.46,"April 23, 25",-0.0009252976,,,,,
2025-04-22,474.9,488.47,469.81,486.14,480.46,646000,646000,11.24,2.37,479.83,"April 22, 25",0.0237,,,,,
2025-04-21,466.77,474.09,462.93,468.27,462.8,569800,569800,1.5,0.32136,468.01,"April 21, 25",0.0032136,,,,,
2025-04-17,463.41,470.7,460.25,466.74,461.28,403800,403800,3.33,0.71859,465.28,"April 17, 25",0.0071859,,,,,
2025-04-16,467.85,469.78,457.4,462.25,456.85,368700,368700,-5.6,-1.2,464.32,"April 16, 25",-0.012,,,,,
2025-04-15,473.38,473.88,464.92,468.56,463.08,409400,409400,-4.82,-1.02,470.19,"April 15, 25",-0.0102,,,,,
2025-04-14,465.39,476.59,464.5,475.87,470.31,588000,588000,10.48,2.25,470.59,"April 14, 25",0.0225,,,,,
2025-04-11,452.18,465.89,445.33,462.17,456.77,625100,625100,9.99,2.21,456.39,"April 11, 25",0.0221,,,,,
2025-04-10,444.11,456.3,439.96,453.05,447.75,787600,787600,8.94,2.01,448.35,"April 10, 25",0.0201,,,,,
2025-04-09,428.24,461.44,425.97,456.35,451.01,1025800,1025800,28.11,6.56,443,"April 09, 25",0.0656,,,,,
2025-04-08,448.3,453.96,428.34,430.72,425.68,770200,770200,-17.58,-3.92,440.33,"April 08, 25",-0.0392,,,,,
2025-04-07,434.3,454,419.11,436.57,431.47,1147800,1147800,2.27,0.52268,435.99,"April 07, 25",0.0052268,,,,,
2025-04-04,453.66,455.48,432.06,444.21,439.02,1057700,1057700,-9.45,-2.08,446.35,"April 04, 25",-0.0208,,,,,
2025-04-03,455.85,475.96,454,463.78,458.36,740400,740400,7.93,1.74,462.4,"April 03, 25",0.0174,,,,,
2025-04-02,462.18,470.33,458.66,468.35,462.87,587700,587700,6.17,1.33,464.88,"April 02, 25",0.0133,,,,,
2025-04-01,459.26,466,456,465.47,460.03,503600,503600,6.21,1.35,461.68,"April 01, 25",0.0135,,,,,
2025-03-31,444.36,461.41,438.83,459.45,454.08,763400,763400,15.09,3.4,451.01,"March 31, 25",0.034,,,,,
2025-03-28,468.37,468.37,446.74,447.12,441.89,790100,790100,-21.25,-4.54,457.65,"March 28, 25",-0.0454,,,,,
2025-03-27,466.17,473.76,462.17,471.28,465.77,629600,629600,5.11,1.1,468.35,"March 27, 25",0.011,,,,,
2025-03-26,460.9,469.12,457.32,466.84,461.38,632800,632800,5.94,1.29,463.54,"March 26, 25",0.0129,,,,,
2025-03-25,467.23,469.15,455.22,460.27,454.89,664900,664900,-6.96,-1.49,462.97,"March 25, 25",-0.0149,,,,,
2025-03-24,468.52,468.52,452.02,466.04,460.59,808800,808800,-2.48,-0.52933,463.77,"March 24, 25",-0.0052933,,,,,
2025-03-21,460.96,464.25,456.75,461.4,456.01,705900,705900,0.44,0.09545297,460.84,"March 21, 25",0.0009545297,,,,,
2025-03-20,462,470,458.89,466.05,460.6,486100,486100,4.05,0.87662,464.24,"March 20, 25",0.0087662,,,,,
2025-03-19,454.31,463.77,452.5,461.67,456.27,474700,474700,7.36,1.62,458.06,"March 19, 25",0.0162,,,,,
2025-03-18,448.07,453.85,442.74,452.68,447.39,660500,660500,4.61,1.03,449.33,"March 18, 25",0.0103,,,,,
2025-03-17,428,451,427.23,449.6,444.34,925900,925900,21.6,5.05,438.96,"March 17, 25",0.0505,,,,,
2025-03-14,433.01,433.41,420.01,425.58,420.6,742700,742700,-7.43,-1.72,428,"March 14, 25",-0.0172,2025-02-24,2025-03-28,2025-03-14,1.74,1.74
2025-03-13,437,439,427.82,428.67,421.94,584000,584000,-8.33,-1.91,433.12,"March 13, 25",-0.0191,,,,,
2025-03-12,433.56,441.41,426.32,438.71,431.82,884900,884900,5.15,1.19,435,"March 12, 25",0.0119,,,,,
2025-03-11,443.2,444.53,426.96,430.56,423.8,866300,866300,-12.64,-2.85,436.31,"March 11, 25",-0.0285,,,,,
2025-03-10,464.9,468,436.92,440.03,433.12,1172300,1172300,-24.87,-5.35,452.46,"March 10, 25",-0.0535,,,,,
2025-03-07,480.5,485.79,459.22,472.05,464.64,788700,788700,-8.45,-1.76,474.39,"March 07, 25",-0.0176,,,,,
2025-03-06,469.67,481.17,466.56,480.24,472.7,671200,671200,10.57,2.25,474.41,"March 06, 25",0.0225,,,,,
2025-03-05,475.1,481.14,469.81,476.18,468.7,660600,660600,1.08,0.22732,475.56,"March 05, 25",0.0022732,,,,,
2025-03-04,480.95,488.73,476.99,481.77,474.2,725500,725500,0.82,0.1705,482.11,"March 04, 25",0.001705,,,,,
